售后单号,来源,脏数据类型,字段名,期望值,实际值,处理建议,是否已解决,解决人,解决说明,创建时间
AS20260525000004,WAREHOUSE_REVIEW,QUANTITY_CONFLICT,actual_quantity,1,0,团长申请1件，仓库复核0件，数量不一致,否,,,2026-05-24T17:15:09.727Z
AS20260525000008,WAREHOUSE_REVIEW,QUANTITY_CONFLICT,actual_quantity,2,1,团长申请2件，仓库复核1件，数量不一致,否,,,2026-05-24T17:15:09.727Z
AS20260525000012,WAREHOUSE_REVIEW,QUANTITY_CONFLICT,actual_quantity,5,4,团长申请5件，仓库复核4件，数量不一致,否,,,2026-05-24T17:15:09.727Z
AS20260525000025,WAREHOUSE_REVIEW,QUANTITY_CONFLICT,actual_quantity,10,8,团长申请10件，仓库复核8件，数量不一致,否,,,2026-05-24T17:15:09.727Z
AS20260525000025,WAREHOUSE_REVIEW,CROSS_DAY,review_time,退款提交后48小时内,提前93小时,复核时间早于退款提交时间，数据异常,否,,,2026-05-24T17:15:09.726Z
AS20260525000008,REFUND_FLOW,AMOUNT_CONFLICT,refund_amount,187,177,退款金额177与仓库复核金额187不一致，差异-10.00元,否,,,2026-05-24T17:15:09.726Z
AS20260525000024,REFUND_FLOW,AMOUNT_CONFLICT,refund_amount,120,150,退款金额150与仓库复核金额120不一致，差异30.00元,否,,,2026-05-24T17:15:09.726Z
AS20260525000023,WAREHOUSE_REVIEW,NAME_CHANGED,sku_name,标准商品名称,进口牛肉(新),商品名称可能已变更，建议核实,否,,,2026-05-24T17:15:09.725Z
AS20260525000023,WAREHOUSE_REVIEW,CROSS_DAY,review_time,退款提交后48小时内,提前21小时,复核时间早于退款提交时间，数据异常,否,,,2026-05-24T17:15:09.725Z
AS20260525000024,WAREHOUSE_REVIEW,CROSS_DAY,review_time,退款提交后48小时内,提前45小时,复核时间早于退款提交时间，数据异常,否,,,2026-05-24T17:15:09.725Z
AS20260525000025,LEADER_REFUND,CROSS_DAY,submit_time,订单创建后1天内（2026-04-29）,2026-04-21 18:15:08,退款提交时间跨日7天，建议核实,否,,,2026-05-24T17:15:09.713Z
AS20260525000022,LEADER_REFUND,CROSS_DAY,submit_time,订单创建后1天内（2026-05-22）,2026-05-17 04:15:08,退款提交时间跨日4天，建议核实,否,,,2026-05-24T17:15:09.712Z
AS20260525000023,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),05:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.712Z
AS20260525000024,LEADER_REFUND,CROSS_DAY,submit_time,订单创建后1天内（2026-05-11）,2026-05-07 09:15:08,退款提交时间跨日3天，建议核实,否,,,2026-05-24T17:15:09.712Z
AS20260525000020,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.711Z
AS20260525000021,LEADER_REFUND,MISSING_FIELD,leader_id,非空,null,请补充leader_id字段,否,,,2026-05-24T17:15:09.711Z
AS20260525000021,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.711Z
AS20260525000018,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.710Z
AS20260525000019,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.710Z
AS20260525000014,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.709Z
AS20260525000015,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.709Z
AS20260525000016,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.709Z
AS20260525000017,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.709Z
AS20260525000011,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.708Z
AS20260525000012,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.708Z
AS20260525000013,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.708Z
AS20260525000009,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.707Z
AS20260525000010,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.707Z
AS20260525000007,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.706Z
AS20260525000008,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.706Z
AS20260525000006,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.705Z
AS20260525000005,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.704Z
AS20260525000004,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.703Z
AS20260525000003,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.702Z
AS20260525000001,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.701Z
AS20260525000002,LEADER_REFUND,CROSS_DAY,submit_time,正常工作时间(06:00-23:00),02:15:08,深夜提交，建议核实是否异常,否,,,2026-05-24T17:15:09.701Z
