售后单号,城市,团长,商品,状态,当前处理人,创建时间,更新时间
AS20260525000021,北京,团长21,新鲜草莓,RECONCILED,,2026-05-24T17:15:08.287Z,2026-05-24T17:15:09.802Z
AS20260525000015,上海,团长15,有机牛奶,ABNORMAL,,2026-05-24T17:15:08.286Z,2026-05-24T17:15:09.791Z
AS20260525000017,深圳,团长17,进口牛肉,RECONCILED,,2026-05-24T17:15:08.286Z,2026-05-24T17:15:09.795Z
AS20260525000009,深圳,团长9,新鲜草莓,ABNORMAL,,2026-05-24T17:15:08.285Z,2026-05-24T17:15:09.778Z
AS20260525000005,上海,团长5,土鸡蛋,RECONCILED,,2026-05-23T17:15:08.284Z,2026-05-24T17:15:09.768Z
AS20260525000016,上海,团长16,进口牛肉,RECONCILED,,2026-05-22T17:15:08.286Z,2026-05-24T17:15:09.793Z
AS20260525000010,深圳,团长10,新鲜草莓,RECONCILED,,2026-05-22T17:15:08.285Z,2026-05-24T17:15:09.780Z
AS20260525000011,杭州,团长11,新鲜草莓,ABNORMAL,,2026-05-22T17:15:08.285Z,2026-05-24T17:15:09.782Z
AS20260525000002,深圳,团长2,进口牛肉,RECONCILED,,2026-05-22T17:15:08.284Z,2026-05-24T17:15:09.762Z
AS20260525000006,杭州,团长6,新鲜草莓,RECONCILED,,2026-05-22T17:15:08.284Z,2026-05-24T17:15:09.771Z
AS20260525000022,上海,团长22,有机牛奶,RECONCILED,,2026-05-21T18:15:08.287Z,2026-05-24T17:15:09.807Z
AS20260525000013,深圳,团长13,有机牛奶,ABNORMAL,,2026-05-21T17:15:08.286Z,2026-05-24T17:15:09.787Z
AS20260525000020,广州,团长20,进口牛肉,RECONCILED,,2026-05-21T17:15:08.286Z,2026-05-24T17:15:09.801Z
AS20260525000001,广州,团长1,新鲜草莓,RECONCILED,,2026-05-21T17:15:08.283Z,2026-05-24T17:15:09.760Z
AS20260525000019,北京,团长19,新鲜草莓,RECONCILED,,2026-05-20T17:15:08.286Z,2026-05-24T17:15:09.799Z
AS20260525000007,深圳,团长7,有机牛奶,ABNORMAL,,2026-05-20T17:15:08.285Z,2026-05-24T17:15:09.774Z
AS20260525000012,杭州,团长12,进口牛肉,ABNORMAL,,2026-05-19T17:15:08.286Z,2026-05-24T17:15:09.784Z
AS20260525000014,北京,团长14,新鲜草莓,ABNORMAL,,2026-05-19T17:15:08.286Z,2026-05-24T17:15:09.789Z
AS20260525000003,北京,团长3,精品水果礼盒,RECONCILED,,2026-05-19T17:15:08.284Z,2026-05-24T17:15:09.764Z
AS20260525000004,广州,团长4,新鲜草莓,RECONCILED,,2026-05-19T17:15:08.284Z,2026-05-24T17:15:09.766Z
AS20260525000018,北京,团长18,土鸡蛋,RECONCILED,,2026-05-18T17:15:08.286Z,2026-05-24T17:15:09.797Z
AS20260525000008,深圳,团长8,精品水果礼盒,ABNORMAL,,2026-05-18T17:15:08.285Z,2026-05-24T17:15:09.777Z
AS20260525000023,广州,团长23,进口牛肉,ABNORMAL,,2026-05-15T20:15:08.287Z,2026-05-24T17:15:09.810Z
AS20260525000024,深圳,团长24,精品水果礼盒,ABNORMAL,,2026-05-11T00:15:08.287Z,2026-05-24T17:15:09.811Z
AS20260525000025,杭州,团长25,土鸡蛋,ABNORMAL,,2026-04-29T09:15:08.287Z,2026-05-24T17:15:09.813Z
