售后单号,城市,问题类型,团长申请金额,仓库复核金额,实际退款金额,差异金额,是否平账,说明,对账时间
AS20260524000020,杭州,OTHER,64,0,0,0,是,对账一致,2026-05-23T20:19:17.988Z
AS20260524000019,北京,OTHER,137,0,0,0,是,对账一致,2026-05-23T20:19:17.983Z
AS20260524000018,深圳,OTHER,208,0,0,0,是,对账一致,2026-05-23T20:19:17.979Z
AS20260524000017,深圳,OTHER,86,0,0,0,是,对账一致,2026-05-23T20:19:17.975Z
AS20260524000016,深圳,OTHER,118,0,0,0,是,对账一致,2026-05-23T20:19:17.972Z
AS20260524000015,深圳,DAMAGED,214,194,0,-194,否,坏品，走赔付渠道,2026-05-23T20:19:17.965Z
AS20260524000014,北京,AMOUNT_MISMATCH,103,103,0,-103,否,补偿金额差异: -103.00元,2026-05-23T20:19:17.962Z
AS20260524000013,广州,AMOUNT_MISMATCH,182,182,0,-182,否,补偿金额差异: -182.00元,2026-05-23T20:19:17.959Z
AS20260524000012,北京,MISSING,158,158,0,-158,否,少发商品，走补发渠道,2026-05-23T20:19:17.955Z
AS20260524000011,深圳,AMOUNT_MISMATCH,103,103,0,-103,否,补偿金额差异: -103.00元,2026-05-23T20:19:17.948Z
AS20260524000010,广州,OTHER,226,206,206,0,是,对账一致,2026-05-23T20:19:17.945Z
AS20260524000009,广州,DAMAGED,222,222,0,-222,否,坏品，走赔付渠道,2026-05-23T20:19:17.942Z
AS20260524000008,杭州,AMOUNT_MISMATCH,118,118,108,-10,否,补偿金额差异: -10.00元,2026-05-23T20:19:17.932Z
AS20260524000007,杭州,AMOUNT_MISMATCH,224,224,0,-224,否,补偿金额差异: -224.00元,2026-05-23T20:19:17.929Z
AS20260524000006,深圳,MISSING,105,105,105,0,是,少发商品，走补发渠道,2026-05-23T20:19:17.924Z
AS20260524000005,上海,OTHER,85,65,65,0,是,对账一致,2026-05-23T20:19:17.919Z
AS20260524000004,深圳,OTHER,115,115,115,0,是,对账一致,2026-05-23T20:19:17.913Z
AS20260524000003,北京,DAMAGED,214,214,214,0,是,坏品，走赔付渠道,2026-05-23T20:19:17.908Z
AS20260524000002,杭州,OTHER,188,188,188,0,是,对账一致,2026-05-23T20:19:17.901Z
AS20260524000001,杭州,OTHER,148,148,148,0,是,对账一致,2026-05-23T20:19:17.895Z
