售后单号,原状态,新状态,操作人,角色,原因,操作时间
AS20260524000003,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务6,FINANCE,退款成功,2026-05-24T14:16:40.743Z
AS20260524000005,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务1,FINANCE,退款成功,2026-05-24T14:16:40.743Z
AS20260524000003,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-24T04:16:40.743Z
AS20260524000005,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员7,WAREHOUSE,仓库复核通过,2026-05-24T04:16:40.743Z
AS20260524000018,CREATED,LEADER_SUBMITTED,团长18,LEADER,团长提交退款申请,2026-05-23T22:16:40.744Z
AS20260524000003,CREATED,LEADER_SUBMITTED,团长3,LEADER,团长提交退款申请,2026-05-23T22:16:40.743Z
AS20260524000005,CREATED,LEADER_SUBMITTED,团长5,LEADER,团长提交退款申请,2026-05-23T22:16:40.743Z
AS20260524000018,无,CREATED,系统,SYSTEM,售后单创建,2026-05-23T21:16:40.744Z
AS20260524000003,无,CREATED,系统,SYSTEM,售后单创建,2026-05-23T21:16:40.743Z
AS20260524000005,无,CREATED,系统,SYSTEM,售后单创建,2026-05-23T21:16:40.743Z
AS20260524000020,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.990Z
AS20260524000019,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.987Z
AS20260524000018,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.981Z
AS20260524000017,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.977Z
AS20260524000016,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.974Z
AS20260524000015,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.970Z
AS20260524000014,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.964Z
AS20260524000013,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.961Z
AS20260524000012,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.957Z
AS20260524000011,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.954Z
AS20260524000010,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.947Z
AS20260524000009,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.944Z
AS20260524000008,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.938Z
AS20260524000007,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-23T20:19:17.931Z
AS20260524000006,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.927Z
AS20260524000005,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.923Z
AS20260524000004,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.915Z
AS20260524000003,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.912Z
AS20260524000002,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.905Z
AS20260524000001,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-23T20:19:17.898Z
AS20260524000017,CREATED,LEADER_SUBMITTED,团长17,LEADER,团长提交退款申请,2026-05-22T22:16:40.744Z
