"exception_type","exception_code","exception_message","record_type","batch_no","supplier_code","status","expected_value","actual_value","resolution","resolved_by","created_at"
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH006","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH006","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH005","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP004","pending",,,,,
