改价单号,工单号,备件编码,原价,调整价,改价原因,审批人,改价日期
MPA20240501001,RO20240501001,SP001,800,800,老客户优惠,主管A,2024-05-01
MPA20240501002,RO20240501002,SP003,200,180,促销活动,主管A,2024-05-01
MPA20240501003,RO20240501003,SP004,50,45,批量折扣,主管B,2024-05-02
MPA20240501004,RO20240501004,SP005,80,70,会员折扣,主管B,2024-05-02
MPA20240501005,RO20240501005,SP006,150,140,质保期内,主管A,2024-05-03
MPA20240501006,,SP007,120,100,配件涨价,主管A,2024-05-03
MPA20240501007,RO20240501007,,80,70,成本调整,主管B,2024-05-03
MPA20240501008,RO20240501008,SP009,180,170,安装优惠,主管A,2024-05-04
MPA20240501009,RO20240501009,SP010,60,55,套餐优惠,主管B,2024-05-04
MPA20240501010,RO20240501010,SP011,100,90,年中大促,主管A,2024-05-05
