device_id,device_name,certificate_no,calibration_date,expiry_date,calibration_agency,calibration_result,status,is_active
DEV001,心电图机,CAL20240001,2024-01-01,2025-01-01,省计量院,合格,valid,1
DEV002,血压计,CAL20240002,2024-01-02,2024-06-02,市计量所,合格,valid,1
DEV003,血糖仪,CAL20240003,2023-01-03,2023-07-03,省计量院,合格,valid,1
DEV004,B超机,CAL20240004,2024-01-04,2025-01-04,第三方检测机构,合格,valid,1
DEV005,X光机,CAL20240005,2023-06-05,2023-12-05,省计量院,合格,valid,1
DEV006,呼吸机,CAL20240006,2024-01-06,2025-01-06,省计量院,合格,valid,1
DEV007,监护仪,CAL20240007,2024-01-07,2024-06-07,市计量所,合格,valid,1
DEV008,输液泵,CAL20240008,2023-01-08,2023-07-08,省计量院,合格,valid,1
DEV009,注射泵,CAL20240009,2024-01-09,2025-01-09,第三方检测机构,合格,valid,1
DEV010,除颤仪,CAL20240010,2024-01-10,2025-01-10,省计量院,合格,valid,1
