"queueId","recordType","recordId","deviceId","deviceName","department","date","status","source","details","createdAt","updatedAt"
"3fdc6464-2d3c-40fc-8069-20f1b118abfd","inspection",,"DEV004","听诊器","","2026-05-24","dead_letter","external","缺少必填字段: department, inspector","2026-05-24T16:16:37+08:00","2026-05-24T16:16:37+08:00"
"3dbd1235-5721-41ab-98c1-375232dbf4f3","inspection",,"DEV005","体温计","发热门诊","2026-05-24","compensated","external","记录日期(2026-05-21)与当前日期相差3天","2026-05-24T16:16:37+08:00","2026-05-24T16:16:40+08:00"
"92eba129-285e-440a-8f62-fdf647dbaefc","calibration",,"DEV001","心电图机-新版","","2026-05-24","pending","external","","2026-05-24T16:16:37+08:00","2026-05-24T16:16:37+08:00"
"1cb8c796-6ee4-40a4-867d-3b268c1b1c9d","repair",,"DEV002","超声诊断仪","","2026-05-24","compensated","external","金额冲突，历史金额: 5000, 当前金额: 5500","2026-05-24T16:16:37+08:00","2026-05-24T16:16:40+08:00"
"16922a5a-8e66-4c7b-b8b9-3fcd46efa215","inspection",,"DEV001","心电图机","心内科","2026-05-24","pending","external","","2026-05-24T16:16:34+08:00","2026-05-24T16:16:34+08:00"
"7825c8d1-7c02-4685-8d1d-4c426a80b644","inspection",,"DEV002","超声诊断仪","超声科","2026-05-23","pending","external","","2026-05-24T16:16:34+08:00","2026-05-24T16:16:34+08:00"
"da24b9c6-d97e-42fd-a907-d7904dfa0439","calibration",,"DEV001","心电图机","","2026-04-24","compensated","external","记录日期(2026-04-24)与当前日期相差30天","2026-05-24T16:16:34+08:00","2026-05-24T16:16:40+08:00"
"d27dbe3d-b9a5-44eb-a4f1-e2b5578a4650","calibration",,"DEV003","血压计","","2026-05-17","compensated","external","记录日期(2026-05-17)与当前日期相差7天","2026-05-24T16:16:34+08:00","2026-05-24T16:16:40+08:00"
"e0a50c7b-7384-4a26-b62d-9d43f080487b","repair",,"DEV001","心电图机","","2026-05-23","pending","external","","2026-05-24T16:16:34+08:00","2026-05-24T16:16:34+08:00"
"55fb67f3-67fb-4560-b8d2-1b14c819fd79","repair",,"DEV002","超声诊断仪","","2026-05-24","pending","external","","2026-05-24T16:16:34+08:00","2026-05-24T16:16:34+08:00"
