"deviceCode","deviceName","hasInspection","hasValidCertificate","hasMaintenance","lastInspectionDate","certificateExpiryDate","issues"
"INF-0001","输液泵",true,false,true,"2026-04-02T16:27:40.399Z",,"无有效校准证书"
"VEN-0002","呼吸机",true,false,false,"2026-04-24T18:25:21.108Z","2026-11-18T04:20:29.999Z","无有效校准证书; 无维修记录"
"GLU-0003","血糖仪",false,false,true,,"2026-08-11T14:11:50.186Z","无巡检记录; 无有效校准证书"
"GLU-0004","血糖仪",true,true,false,"2026-05-21T20:01:42.290Z","2026-11-12T04:59:12.302Z","无维修记录"
"GLU-0005","血糖仪",true,true,true,"2026-05-14T08:06:35.101Z","2026-12-13T21:30:54.313Z",""
"SYR-0006","注射泵",true,false,true,"2026-05-18T22:01:11.389Z","2026-11-27T15:15:58.103Z","无有效校准证书"
"DEF-0007","除颤仪",true,false,true,"2026-05-03T02:37:35.916Z","2026-03-20T12:54:51.036Z","无有效校准证书; 证书已过期"
"GLU-0008","血糖仪",true,true,true,"2026-05-12T03:24:34.142Z","2026-09-15T08:04:15.473Z",""
"VEN-0009","呼吸机",true,false,false,"2026-04-24T07:26:26.821Z","2027-05-06T10:57:00.178Z","无有效校准证书; 无维修记录; 证书已过期"
"SYR-0010","注射泵",true,false,false,"2026-04-26T05:40:05.956Z","2027-03-06T00:50:58.371Z","无有效校准证书; 无维修记录"
"SYR-0011","注射泵",true,false,false,"2026-05-17T08:44:50.681Z","2025-11-29T10:57:17.713Z","无有效校准证书; 无维修记录; 证书已过期"
"DEF-0012","除颤仪",true,false,false,"2026-03-31T16:38:45.184Z",,"无有效校准证书; 无维修记录"
"VEN-0013","呼吸机",true,false,true,"2026-04-29T02:59:49.897Z",,"无有效校准证书"
"ECG-0014","心电监护仪",true,true,false,"2026-05-02T06:12:49.724Z","2026-10-18T02:45:02.284Z","无维修记录"
"VEN-0015","呼吸机",true,false,false,"2026-05-08T07:09:37.999Z","2027-04-28T08:12:53.037Z","无有效校准证书; 无维修记录"
"GLU-0016","血糖仪",false,false,false,,,"无巡检记录; 无有效校准证书; 无维修记录"
"GLU-0017","血糖仪",false,false,true,,,"无巡检记录; 无有效校准证书"
"SYR-0018","注射泵",true,false,true,"2026-04-21T08:43:12.878Z","2027-03-12T05:22:13.715Z","无有效校准证书"
"INF-0019","输液泵",true,false,true,"2026-03-22T04:45:59.648Z",,"无有效校准证书"
"GLU-0020","血糖仪",true,true,false,"2026-05-13T11:44:32.979Z","2026-11-11T06:16:19.866Z","无维修记录"
