tracking_number,declaration_number,supplier,sender,receiver,weight,declared_value,currency,origin_country,destination_country,item_description,hs_code
TRK202405000001,DEC202405001,供应商B,发件人1,收件人1,3.77,477.19,USD,US,CN,商品描述1,85258013
TRK202405000002,DEC202405002,供应商C,发件人2,收件人2,2.95,256.18,USD,JP,CN,商品描述2,62052000
TRK202405000003,DEC202405003,供应商D,发件人3,收件人3,4.8,146.72,USD,DE,CN,商品描述3,84713000
TRK202405000004,DEC202405004,供应商A,发件人4,收件人4,0.68,126.42,USD,UK,CN,商品描述4,85171210
TRK202405000005,DEC202405005,供应商B,发件人5,收件人5,4.21,473.28,USD,CN,CN,商品描述5,85258013
TRK202405000006,DEC202405006,供应商C,发件人6,收件人6,1.62,83.97,USD,US,CN,商品描述6,62052000
TRK202405000007,DEC202405007,供应商D,发件人7,收件人7,1.17,109.18,USD,JP,CN,商品描述7,84713000
TRK202405000008,DEC202405008,供应商A,发件人8,收件人8,1.04,304.11,USD,DE,CN,商品描述8,85171210
TRK202405000009,DEC202405009,供应商B,发件人9,收件人9,1.99,51.02,USD,UK,CN,商品描述9,85258013
TRK202405000010,DEC202405010,供应商C,发件人10,收件人10,2.14,281.07,USD,CN,CN,商品描述10,62052000
TRK202405000011,DEC202405011,供应商D,发件人11,收件人11,1.46,217.18,USD,US,CN,商品描述11,84713000
TRK202405000012,DEC202405012,供应商A,发件人12,收件人12,3.72,422.68,USD,JP,CN,商品描述12,85171210
TRK202405000013,DEC202405013,供应商B,发件人13,收件人13,2.98,60.4,USD,DE,CN,商品描述13,85258013
TRK202405000014,DEC202405014,供应商C,发件人14,收件人14,2.43,292.37,USD,UK,CN,商品描述14,62052000
TRK202405000015,DEC202405015,供应商D,发件人15,收件人15,1.6,280.16,USD,CN,CN,商品描述15,84713000
TRK202405000016,DEC202405016,供应商A,发件人16,收件人16,3.08,274.78,USD,US,CN,商品描述16,85171210
TRK202405000017,DEC202405017,供应商B,发件人17,收件人17,3.66,265.92,USD,JP,CN,商品描述17,85258013
TRK202405000018,DEC202405018,供应商C,发件人18,收件人18,2.85,303.48,USD,DE,CN,商品描述18,62052000
TRK202405000019,DEC202405019,供应商D,发件人19,收件人19,3.51,53.55,USD,UK,CN,商品描述19,84713000
TRK202405000020,DEC202405020,供应商A,发件人20,收件人20,2.24,319.38,USD,CN,CN,商品描述20,85171210
,DEC202405999,坏数据供应商,坏发件人,坏收件人,1.5,100.0,USD,US,CN,这行会因为缺少运单号导入失败,85171210
