tracking_number,declaration_number,supplier,sender,receiver,weight,declared_value,currency,origin_country,destination_country,item_description,hs_code,split_flag,parent_package_id,parent_package_tracking
SPLIT202405001,DEC-SPLIT001,供应商B,发件人拆分1,收件人拆分1,10.0,1000.0,USD,US,CN,大型商品1（需要拆分配送）,85171210,True,,
SPLIT202405001-1,DEC-SPLIT001-1,供应商B,发件人拆分1,收件人拆分1,3.33,333.33,USD,US,CN,大型商品1 拆分1,85171210,True,,SPLIT202405001
SPLIT202405001-2,DEC-SPLIT001-2,供应商B,发件人拆分1,收件人拆分1,3.33,333.33,USD,US,CN,大型商品1 拆分2,85171210,True,,SPLIT202405001
SPLIT202405001-3,DEC-SPLIT001-3,供应商B,发件人拆分1,收件人拆分1,3.33,333.33,USD,US,CN,大型商品1 拆分3,85171210,True,,SPLIT202405001
SPLIT202405002,DEC-SPLIT002,供应商A,发件人拆分2,收件人拆分2,10.0,1000.0,USD,US,CN,大型商品2（需要拆分配送）,85171210,True,,
SPLIT202405002-1,DEC-SPLIT002-1,供应商A,发件人拆分2,收件人拆分2,3.33,333.33,USD,US,CN,大型商品2 拆分1,85171210,True,,SPLIT202405002
SPLIT202405002-2,DEC-SPLIT002-2,供应商A,发件人拆分2,收件人拆分2,3.33,333.33,USD,US,CN,大型商品2 拆分2,85171210,True,,SPLIT202405002
SPLIT202405002-3,DEC-SPLIT002-3,供应商A,发件人拆分2,收件人拆分2,3.33,333.33,USD,US,CN,大型商品2 拆分3,85171210,True,,SPLIT202405002
SPLIT202405003,DEC-SPLIT003,供应商B,发件人拆分3,收件人拆分3,10.0,1000.0,USD,US,CN,大型商品3（需要拆分配送）,85171210,True,,
SPLIT202405003-1,DEC-SPLIT003-1,供应商B,发件人拆分3,收件人拆分3,3.33,333.33,USD,US,CN,大型商品3 拆分1,85171210,True,,SPLIT202405003
SPLIT202405003-2,DEC-SPLIT003-2,供应商B,发件人拆分3,收件人拆分3,3.33,333.33,USD,US,CN,大型商品3 拆分2,85171210,True,,SPLIT202405003
SPLIT202405003-3,DEC-SPLIT003-3,供应商B,发件人拆分3,收件人拆分3,3.33,333.33,USD,US,CN,大型商品3 拆分3,85171210,True,,SPLIT202405003
