notice_number,tracking_number,declaration_number,tax_type,tax_amount,tax_currency,issue_date,due_date,payer,tax_authority,status,remark
TAX202405001,TRK202405000001,DEC202405001,增值税,15.6,CNY,2024-05-15,2024-05-30,收件人1,深圳海关,unpaid,补税通知1
TAX202405002,TRK202405000002,DEC202405002,增值税,18.2,CNY,2024-05-15,2024-05-30,收件人2,深圳海关,unpaid,补税通知2
TAX202405003,TRK202405000003,DEC202405003,增值税,70.8,CNY,2024-05-15,2024-05-30,收件人3,深圳海关,unpaid,补税通知3
TAX202405004,TRK202405000004,DEC202405004,增值税,23.4,CNY,2024-05-15,2024-05-30,收件人4,深圳海关,unpaid,补税通知4
TAX202405005,TRK202405000005,DEC202405005,增值税,26.0,CNY,2024-05-15,2024-05-30,收件人5,深圳海关,unpaid,补税通知5
TAX202405006,TRK202405000006,DEC202405006,增值税,78.6,CNY,2024-05-15,2024-05-30,收件人6,深圳海关,unpaid,补税通知6
TAX202405007,TRK202405000007,DEC202405007,增值税,31.2,CNY,2024-05-15,2024-05-30,收件人7,深圳海关,unpaid,补税通知7
TAX202405008,TRK202405000008,DEC202405008,增值税,33.8,CNY,2024-05-15,2024-05-30,收件人8,深圳海关,unpaid,补税通知8
TAX202405009,TRK202405000009,DEC202405009,增值税,86.4,CNY,2024-05-15,2024-05-30,收件人9,深圳海关,unpaid,补税通知9
TAX202405010,TRK202405000010,DEC202405010,增值税,39.0,CNY,2024-05-15,2024-05-30,收件人10,深圳海关,unpaid,补税通知10
TAX202405011,TRK202405000011,DEC202405011,增值税,41.6,CNY,2024-05-15,2024-05-30,收件人11,深圳海关,unpaid,补税通知11
TAX202405012,TRK202405000012,DEC202405012,增值税,94.2,CNY,2024-05-15,2024-05-30,收件人12,深圳海关,unpaid,补税通知12
TAX202405013,TRK202405000013,DEC202405013,增值税,46.8,CNY,2024-05-15,2024-05-30,收件人13,深圳海关,unpaid,补税通知13
TAX202405014,TRK202405000014,DEC202405014,增值税,49.4,CNY,2024-05-15,2024-05-30,收件人14,深圳海关,unpaid,补税通知14
TAX202405015,TRK202405000015,DEC202405015,增值税,102.0,CNY,2024-05-15,2024-05-30,收件人15,深圳海关,unpaid,补税通知15
TAX202405999,TRK999999999999,DEC999999,增值税,150.0,CNY,2024-05-15,2024-05-30,未知,深圳海关,unpaid,这个运单号不存在，会触发'有补税但无申报'异常
