tracking_number,node_time,node_location,node_status,node_description,operator
TRK202405000001,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000001,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000001,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000001,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000001,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000002,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000002,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000002,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000002,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000002,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000003,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000003,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000003,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000003,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000003,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000004,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000004,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000004,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000004,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000004,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000005,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000005,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000005,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000005,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000005,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000006,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000006,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000006,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000006,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000006,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000007,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000007,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000007,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000007,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000007,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000008,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000008,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000008,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000008,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000008,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000009,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000009,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000009,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000009,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000009,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000010,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000010,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000010,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000010,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
TRK202405000010,2024-05-02 10:00:00,北京朝阳,派送中,派送中扫描,操作员4
TRK202405000011,2024-05-01 10:00:00,上海浦东,揽收,揽收扫描,操作员0
TRK202405000011,2024-05-01 16:00:00,上海浦东,离开始发地,离开始发地扫描,操作员1
TRK202405000011,2024-05-01 22:00:00,广州白云,到达中转站,到达中转站扫描,操作员2
TRK202405000011,2024-05-02 04:00:00,深圳海关,清关中,清关中扫描,操作员3
