差异ID,工单ID,商品ID,期望数量,实际数量,差异数量,差异类型,原因,创建时间
56bbdf9e-37d5-49e1-b735-a04e61f3ccbe,37d3204b-e975-4a9a-90fa-aef8ad44cebe,PROD004,3,1,-2,盘亏,,2026-05-25T21:02:20.357Z
c1d95d5b-1915-46f2-9830-b0e6082b631b,e03af6e2-7f99-4efe-8fac-7049a1d10014,PROD003,20,22,2,盘盈,入库时多录入,2026-05-25T21:02:20.356Z
2bef1704-92a9-47a6-a02c-7b02b3a531af,7cfdb2e9-e392-431b-bd5b-e95234c53be1,PROD002,5,5,0,无差异,盘点正常,2026-05-25T21:02:20.354Z
d833cfb7-bed1-4f9c-8814-e23ade82ed80,37d3204b-e975-4a9a-90fa-aef8ad44cebe,PROD001,10,8,-2,盘亏,配送途中丢失,2026-05-25T21:02:20.351Z



汇总,,,,,,,,
记录总数: 4,,,,,,,,
盘亏总数: 4,,,,,,,,
盘盈总数: 2,,,,,,,,
净差异: -2,,,,,,,,
未说明原因: 1,,,,,,,,
