会员ID,会员名称,门店ID,门店名称,交易类型,交易ID,变动金额,变动前余额,变动后余额,交易时间,是否跨店,是否撤销
M010,会员10号,S02,门店2,recharge,R10,776.0,0.0,776.0,2024-01-01 17:00:00,否,否
M004,会员4号,S02,门店2,refund,F4,-78.0,0.0,-78.0,2024-01-07 11:00:00,否,否
M001,会员1号,S02,门店2,refund,F1,-164.0,0.0,-164.0,2024-01-07 14:00:00,否,否
M001,会员1号,S02,门店2,recharge,R1,663.0,-164.0,499.0,2024-01-08 19:00:00,否,否
M002,会员2号,S03,门店3,recharge,R2,326.0,0.0,326.0,2024-01-09 09:00:00,否,否
M008,会员8号,S03,门店3,recharge,R8,273.0,0.0,273.0,2024-01-11 17:00:00,否,否
M005,会员5号,S03,门店3,refund,F5,-149.0,0.0,-149.0,2024-01-12 18:00:00,否,否
M005,会员5号,S03,门店3,recharge,R5,228.0,-149.0,79.0,2024-01-13 19:00:00,否,否
M003,会员3号,S01,门店1,recharge,R3,801.0,0.0,801.0,2024-01-14 10:00:00,否,否
nan,缺字段会员,S01,门店1,recharge,R11,550.0,0.0,550.0,2024-01-15 10:30:00,否,否
M003,会员3号,S01,门店1,refund,F3,-56.0,801.0,745.0,2024-01-15 19:00:00,否,否
M005,改名会员,S01,门店1,recharge,R12,330.0,79.0,409.0,2024-01-16 14:20:00,否,否
M011,无效金额,S02,门店2,recharge,R13,200.0,0.0,200.0,2024-01-17 09:15:00,否,否
M009,会员9号,S01,门店1,recharge,R9,845.0,0.0,845.0,2024-01-19 14:00:00,否,否
M007,会员7号,S02,门店2,recharge,R7,915.0,0.0,915.0,2024-01-20 14:00:00,否,否
M999,超额退款,S01,门店1,refund,F6,-99999.0,0.0,-99999.0,2024-01-20 16:00:00,否,否
nan,nan,S02,门店2,refund,F7,-100.0,550.0,450.0,2024-01-21 11:30:00,否,否
M006,会员6号,S01,门店1,recharge,R6,725.0,0.0,725.0,2024-01-21 13:00:00,否,否
M002,会员2号,S03,门店3,refund,F2,-164.0,326.0,162.0,2024-01-26 16:00:00,否,否
M004,会员4号,S02,门店2,recharge,R4,290.0,-78.0,212.0,2024-01-29 11:00:00,否,否
