事实键,波次号,订单号,SKU编码,数据源,状态,原始行号,来源文件,创建时间,更新时间,数据详情
customer_note:WAVE001:ORD002:缺货通知,WAVE001,ORD002,缺货通知,客服备注,valid,2,customer_note_20240501_001.csv,2026-05-26T06:45:39.569Z,2026-05-26T06:49:24.860Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":"""",""noteType"":""缺货通知"",""noteContent"":""SKU001缺货2件，已联系客户同意补发"",""operator"":""客服小王"",""noteTime"":""2024-05-01 16:00:00"",""isUrgent"":true}"
pick_diff:WAVE001:ORD001:SKU001,WAVE001,ORD001,SKU001,拣货差异,valid,2,pick_diff_20240501_001.csv,2026-05-26T06:45:39.574Z,2026-05-26T06:49:24.862Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU001"",""pickQty"":10,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""张拣货"",""pickTime"":""2024-05-01 09:30:00""}"
pick_diff:WAVE001:ORD001:SKU002,WAVE001,ORD001,SKU002,拣货差异,valid,3,pick_diff_20240501_001.csv,2026-05-26T06:45:39.575Z,2026-05-26T06:49:24.862Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU002"",""pickQty"":5,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""张拣货"",""pickTime"":""2024-05-01 09:32:00""}"
pick_diff:WAVE001:ORD002:SKU001,WAVE001,ORD002,SKU001,拣货差异,fixed,4,pick_diff_20240501_001.csv,2026-05-26T06:45:39.575Z,2026-05-26T06:54:15.528Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU001"",""pickQty"":6,""diffQty"":-2,""diffType"":""缺货"",""diffReason"":""库存不足，已补发"",""picker"":""李拣货"",""pickTime"":""2024-05-01 10:15:00"",""isSplit"":true,""splitFromWave"":""WAVE001"",""actualPickQty"":6,""shortageQty"":2}"
pick_diff:WAVE001:ORD002:SKU003,WAVE001,ORD002,SKU003,拣货差异,valid,5,pick_diff_20240501_001.csv,2026-05-26T06:45:39.576Z,2026-05-26T06:49:24.866Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU003"",""pickQty"":3,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""李拣货"",""pickTime"":""2024-05-01 10:18:00""}"
review_scan:WAVE001:ORD001:SKU001,WAVE001,ORD001,SKU001,复核扫描,valid,2,review_scan_20240501_001.csv,2026-05-26T06:45:39.608Z,2026-05-26T06:49:24.868Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU001"",""reviewQty"":10,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:00:00"",""isException"":false,""exceptionReason"":""""}"
review_scan:WAVE001:ORD001:SKU002,WAVE001,ORD001,SKU002,复核扫描,valid,3,review_scan_20240501_001.csv,2026-05-26T06:45:39.626Z,2026-05-26T06:49:24.869Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU002"",""reviewQty"":5,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:02:00"",""isException"":false,""exceptionReason"":""""}"
review_scan:WAVE001:ORD002:SKU001,WAVE001,ORD002,SKU001,复核扫描,valid,4,review_scan_20240501_001.csv,2026-05-26T06:45:39.635Z,2026-05-26T06:49:24.870Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU001"",""reviewQty"":6,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:30:00"",""isException"":true,""exceptionReason"":""缺货2件已登记""}"
review_scan:WAVE001:ORD002:SKU003,WAVE001,ORD002,SKU003,复核扫描,valid,5,review_scan_20240501_001.csv,2026-05-26T06:45:39.637Z,2026-05-26T06:49:24.870Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU003"",""reviewQty"":3,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:32:00"",""isException"":false,""exceptionReason"":""""}"
wave:WAVE001:ORD001:SKU001,WAVE001,ORD001,SKU001,波次单,valid,2,wave_20240501_001.csv,2026-05-26T06:45:39.649Z,2026-05-26T06:49:24.874Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU001"",""skuName"":""商品A"",""planQty"":10,""storeCode"":""STORE01"",""storeName"":""门店一"",""picker"":""张拣货"",""area"":""A区""}"
