type,severity,message,trade_index,symbol,datetime,expected,actual,diff,details
suspension_trade,critical,停牌期间仍有成交: 000001.SZ 在 2024-01-15 00:00:00,25,000001.SZ,2024-01-15T00:00:00,,,,"{'volume': 3449, 'price': 9.347195, 'amount': 32248.149999999998, 'match_method': '市价单-开盘价成交'}"
suspension_trade,critical,停牌期间仍有成交: 000001.SZ 在 2024-01-17 00:00:00,28,000001.SZ,2024-01-17T00:00:00,,,,"{'volume': 2705, 'price': 9.332799, 'amount': 25237.65, 'match_method': '市价单-开盘价成交'}"
suspension_trade,critical,停牌期间仍有成交: 000001.SZ 在 2024-01-18 00:00:00,29,000001.SZ,2024-01-18T00:00:00,,,,"{'volume': 2244, 'price': 9.272781, 'amount': 20801.879999999997, 'match_method': '限价单-挂单价格成交'}"
suspension_trade,critical,停牌期间仍有成交: 000001.SZ 在 2024-01-18 00:00:00,30,000001.SZ,2024-01-18T00:00:00,,,,"{'volume': 8516, 'price': 9.287213, 'amount': 79113.64, 'match_method': '限价单-挂单价格成交'}"
suspension_trade,critical,停牌期间仍有成交: 000001.SZ 在 2024-01-18 00:00:00,31,000001.SZ,2024-01-18T00:00:00,,,,"{'volume': 5350, 'price': 9.182754, 'amount': 49113.0, 'match_method': '市价单-开盘价成交'}"
suspension_trade,critical,停牌期间仍有成交: 600000.SH 在 2024-02-01 00:00:00,58,600000.SH,2024-02-01T00:00:00,,,,"{'volume': 3448, 'price': 6.541962, 'amount': 22549.920000000002, 'match_method': '限价单-挂单价格成交'}"
suspension_trade,critical,停牌期间仍有成交: 600000.SH 在 2024-02-01 00:00:00,59,600000.SH,2024-02-01T00:00:00,,,,"{'volume': 5815, 'price': 6.621986, 'amount': 38495.3, 'match_method': '限价单-挂单价格成交'}"
price_outside_range,warning,"成交价格超出K线范围: 000001.SZ 价格=9.56, 范围=[9.69, 10.04]",0,000001.SZ,2024-01-01T00:00:00,,9.56,,"{'kline_low': 9.69, 'kline_high': 10.04, 'kline_open': 10.0, 'kline_close': 9.73, 'match_method': '限价单-未成交'}"
price_outside_range,warning,"成交价格超出K线范围: 000001.SZ 价格=9.38, 范围=[9.46, 9.65]",21,000001.SZ,2024-01-11T00:00:00,,9.38,,"{'kline_low': 9.46, 'kline_high': 9.65, 'kline_open': 9.6, 'kline_close': 9.53, 'match_method': '限价单-未成交'}"
price_outside_range,warning,"成交价格超出K线范围: 000002.SZ 价格=14.64, 范围=[13.68, 14.43]",38,000002.SZ,2024-01-25T00:00:00,,14.64,,"{'kline_low': 13.68, 'kline_high': 14.43, 'kline_open': 13.73, 'kline_close': 14.33, 'match_method': '限价单-未成交'}"
price_outside_range,warning,"成交价格超出K线范围: 600519.SH 价格=1906.86, 范围=[1830.09, 1896.10]",69,600519.SH,2024-02-13T00:00:00,,1906.86,,"{'kline_low': 1830.09, 'kline_high': 1896.1, 'kline_open': 1851.56, 'kline_close': 1888.08, 'match_method': '限价单-未成交'}"
price_outside_range,warning,"成交价格超出K线范围: 600000.SH 价格=7.38, 范围=[7.03, 7.25]",74,600000.SH,2024-02-14T00:00:00,,7.38,,"{'kline_low': 7.03, 'kline_high': 7.25, 'kline_open': 7.1, 'kline_close': 7.2, 'match_method': '限价单-未成交'}"
fee_mismatch,warning,"手续费差异: 第1笔 重算=5.00, 原始=1.05",1,600000.SH,2024-01-01T00:00:00,1.05,5.0,3.95,"{'diff_pct': 5.610795454545455, 'amount': 7040.0, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第6笔 重算=14321.07, 原始=15684.64",6,600519.SH,2024-01-04T00:00:00,15684.64,14321.06676,-1363.5732399999997,"{'diff_pct': 1.1425740242830904, 'amount': 11934222.299999999, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第7笔 重算=69.06, 原始=76.53",7,000002.SZ,2024-01-04T00:00:00,76.53,69.057468,-7.472532000000001,"{'diff_pct': 1.298489310381319, 'amount': 57547.89, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第10笔 重算=61.25, 原始=3.67",10,000001.SZ,2024-01-05T00:00:00,3.67,61.245912000000004,57.575912,"{'diff_pct': 11.280931599157181, 'amount': 51038.26, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第11笔 重算=3659.77, 原始=7.98",11,600519.SH,2024-01-05T00:00:00,7.98,3659.7680639999994,3651.7880639999994,"{'diff_pct': 11.973834407447303, 'amount': 3049806.7199999997, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第12笔 重算=11.28, 原始=3878.18",12,000001.SZ,2024-01-05T00:00:00,3878.18,11.282319999999999,-3866.89768,"{'diff_pct': 6155.206484228756, 'amount': 6282.32, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第13笔 重算=5.00, 原始=66.35",13,600000.SH,2024-01-05T00:00:00,66.35,5.0,-61.349999999999994,"{'diff_pct': 50.102082482645976, 'amount': 12245.0, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第15笔 重算=5.00, 原始=3.45",15,000001.SZ,2024-01-08T00:00:00,3.45,5.0,1.5499999999999998,"{'diff_pct': 1.3553690101434066, 'amount': 11436.0, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第18笔 重算=1894.20, 原始=947.10",18,600519.SH,2024-01-10T00:00:00,947.1,1894.200285,947.1002849999999,"{'diff_pct': 1.5000002256889111, 'amount': 6314000.95, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第20笔 重算=2665.43, 原始=3998.14",20,600519.SH,2024-01-11T00:00:00,3998.14,2665.42626,-1332.7137399999997,"{'diff_pct': 1.000000457712906, 'amount': 13327131.3, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第22笔 重算=344.64, 原始=516.97",22,600519.SH,2024-01-11T00:00:00,516.97,344.644842,-172.32515800000004,"{'diff_pct': 1.0000158830173356, 'amount': 1723224.21, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第23笔 重算=9.27, 原始=118.44",23,000001.SZ,2024-01-12T00:00:00,118.44,9.272160000000001,-109.16784,"{'diff_pct': 23.54744525547445, 'amount': 46360.8, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第24笔 重算=113.38, 原始=13.91",24,000001.SZ,2024-01-12T00:00:00,13.91,113.376504,99.466504,"{'diff_pct': 10.527737281438842, 'amount': 94480.42, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第30笔 重算=94.94, 原始=102.85",30,000001.SZ,2024-01-18T00:00:00,102.85,94.936368,-7.913631999999993,"{'diff_pct': 1.0002866762292815, 'amount': 79113.64, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第31笔 重算=9.82, 原始=15.18",31,000001.SZ,2024-01-18T00:00:00,15.18,9.822600000000001,-5.357399999999998,"{'diff_pct': 1.0908313481155698, 'amount': 49113.0, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第32笔 重算=101.37, 原始=53.45",32,000001.SZ,2024-01-22T00:00:00,53.45,101.366928,47.916928,"{'diff_pct': 5.672492472100959, 'amount': 84472.44, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第34笔 重算=2165.03, 原始=3329.86",34,600519.SH,2024-01-22T00:00:00,3329.86,2165.03056,-1164.82944,"{'diff_pct': 1.0760397211206107, 'amount': 10825152.8, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第36笔 重算=16.29, 原始=43.91",36,600000.SH,2024-01-24T00:00:00,43.91,16.288,-27.621999999999996,"{'diff_pct': 24.470233876683203, 'amount': 11288.0, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第37笔 重算=41.50, 原始=14.28",37,000001.SZ,2024-01-24T00:00:00,14.28,41.498376,27.218376,"{'diff_pct': 7.870681782824464, 'amount': 34581.98, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第40笔 重算=17.45, 原始=26.41",40,000001.SZ,2024-01-25T00:00:00,26.41,17.448392,-8.961608000000002,"{'diff_pct': 1.0272130520680647, 'amount': 87241.95999999999, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第41笔 重算=30.21, 原始=33.80",41,000002.SZ,2024-01-26T00:00:00,33.8,30.213372,-3.5866279999999975,"{'diff_pct': 1.4245194478789052, 'amount': 25177.81, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第42笔 重算=8.08, 原始=12.15",42,000001.SZ,2024-01-26T00:00:00,12.15,8.08152,-4.068480000000001,"{'diff_pct': 1.0068600956255755, 'amount': 40407.6, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第46笔 重算=2658.99, 原始=12621.94",46,600519.SH,2024-01-29T00:00:00,12621.94,2658.9878400000002,-9962.95216,"{'diff_pct': 7.493792946416783, 'amount': 13294939.200000001, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第47笔 重算=8.43, 原始=188.16",47,000002.SZ,2024-01-29T00:00:00,188.16,8.428650000000001,-179.73135,"{'diff_pct': 524.2044244819389, 'amount': 3428.65, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第48笔 重算=5.00, 原始=0.10",48,000001.SZ,2024-01-29T00:00:00,0.1,5.0,4.9,"{'diff_pct': 2.8877360208529907, 'amount': 16968.309999999998, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第49笔 重算=173.68, 原始=2.55",49,000002.SZ,2024-01-29T00:00:00,2.55,173.683872,171.133872,"{'diff_pct': 11.823817838423132, 'amount': 144736.56, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第50笔 重算=11651.03, 原始=4.61",50,600519.SH,2024-01-29T00:00:00,4.61,11651.025732000002,11646.415732000001,"{'diff_pct': 11.995251920193768, 'amount': 9709188.110000001, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第51笔 重算=5.00, 原始=3866.27",51,600000.SH,2024-01-29T00:00:00,3866.27,5.0,-3861.27,"{'diff_pct': 59334.777798266645, 'amount': 650.76, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第52笔 重算=76.25, 原始=83.10",52,000002.SZ,2024-01-30T00:00:00,83.1,76.251132,-6.848867999999996,"{'diff_pct': 1.0778386345792212, 'amount': 63542.61, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第55笔 重算=86.38, 原始=93.58",55,000002.SZ,2024-01-30T00:00:00,93.58,86.379516,-7.200484000000003,"{'diff_pct': 1.0003043777184402, 'amount': 71982.93, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第59笔 重算=7.70, 原始=11.55",59,600000.SH,2024-02-01T00:00:00,11.55,7.699060000000001,-3.8509399999999996,"{'diff_pct': 1.0003662784807494, 'amount': 38495.3, 'direction': 1}"
