datetime,symbol,direction,volume,price,amount,fee,slippage,net_pnl
2024-01-01,000001.SZ,1,2705,9.56,25859.800000000003,7.76,7.76,1022.5
2024-01-01,600000.SH,1,880,7.95,6996.0,1.05,0.0,-1567.62
2024-01-01,000001.SZ,-1,2297,9.61,22074.17,28.7,6.62,-894.78
2024-01-02,600519.SH,-1,7645,1736.67,13276842.15,17259.89,3983.05,611.85
2024-01-03,000001.SZ,-1,2409,9.77,23535.93,30.6,7.06,1926.81
2024-01-03,000001.SZ,1,2771,9.98,27654.58,8.3,8.3,-1100.46
2024-01-04,600519.SH,-1,7098,1699.79,12065109.42,15684.64,3619.53,-2569.26
2024-01-04,000002.SZ,-1,3891,15.13,58870.83,76.53,17.66,-416.45
2024-01-04,600000.SH,1,8951,7.83,70086.33,21.03,21.03,286.4
2024-01-04,000001.SZ,-1,6629,9.77,64765.329999999994,84.19,19.43,-163.79
2024-01-05,600000.SH,1,1550,7.9,12245.0,3.67,3.67,1413.51
2024-01-05,000001.SZ,-1,649,9.46,6139.540000000001,7.98,1.84,888.7
2024-01-05,600519.SH,-1,1808,1650.01,2983218.08,3878.18,894.97,-497.76
2024-01-05,000001.SZ,-1,5278,9.67,51038.26,66.35,15.31,108.76
2024-01-08,000001.SZ,-1,5313,9.45,50207.85,65.27,15.06,-1184.78
2024-01-08,000001.SZ,1,1200,9.59,11508.0,3.45,3.45,76.87
2024-01-08,000001.SZ,1,9697,9.55,92606.35,27.78,27.78,105.66
2024-01-09,000001.SZ,-1,8054,9.43,75949.22,98.73,22.78,-1799.45
2024-01-10,600519.SH,1,3533,1787.15,6314000.95,947.1,0.0,1018.81
2024-01-10,000001.SZ,1,1770,9.69,17151.3,5.15,5.15,869.36
2024-01-11,600519.SH,1,7745,1720.74,13327131.3,3998.14,3998.14,2211.11
2024-01-11,000001.SZ,1,4428,9.38,41534.64000000001,12.46,12.46,-243.3
2024-01-11,600519.SH,1,1003,1718.07,1723224.21,516.97,516.97,-1383.97
2024-01-12,000001.SZ,-1,9914,9.19,91109.65999999999,118.44,27.33,588.56
2024-01-12,000001.SZ,1,4932,9.4,46360.8,13.91,13.91,-511.92
2024-01-15,000001.SZ,-1,3449,9.29,32041.209999999995,41.65,9.61,-894.4
2024-01-15,000002.SZ,1,1018,13.9,14150.2,4.25,4.25,1485.61
2024-01-16,600519.SH,1,9147,1583.18,14481347.46,4344.4,4344.4,-870.5
2024-01-17,000001.SZ,1,2705,9.29,25129.449999999997,7.54,7.54,846.4
2024-01-18,000001.SZ,1,2244,9.27,20801.879999999997,6.24,6.24,523.26
2024-01-18,000001.SZ,-1,8516,9.29,79113.64,102.85,23.73,-182.73
2024-01-18,000001.SZ,1,5350,9.46,50611.00000000001,15.18,15.18,236.96
