datetime,symbol,open,high,low,close,volume,amount
2024-01-01,000001.SZ,10.0,10.04,9.69,9.73,297046,2930134.08
2024-01-02,000001.SZ,9.73,10.13,9.6,10.13,389863,3870465.6
2024-01-03,000001.SZ,10.13,10.27,9.81,9.93,498194,4995616.66
2024-01-04,000001.SZ,9.93,9.98,9.64,9.68,681889,6683573.52
2024-01-05,000001.SZ,9.68,9.75,9.43,9.53,343389,3296914.75
2024-01-08,000001.SZ,9.53,9.53,9.43,9.45,892305,8467666.97
2024-01-09,000001.SZ,9.45,9.6,9.36,9.43,807510,7624288.69
2024-01-10,000001.SZ,9.43,9.73,9.32,9.6,268768,2557816.2
2024-01-11,000001.SZ,9.6,9.65,9.46,9.53,705440,6749055.85
2024-01-12,000001.SZ,9.53,9.58,9.31,9.35,839308,7924921.09
2024-01-15,000001.SZ,9.35,9.48,9.0,9.2,350147,3248128.71
2024-01-16,000001.SZ,9.2,9.41,9.13,9.33,528465,4896176.71
2024-01-17,000001.SZ,9.33,9.41,9.17,9.18,453139,4194448.14
2024-01-18,000001.SZ,9.18,9.46,9.14,9.37,824281,7646254.34
2024-01-19,000001.SZ,9.37,9.58,9.33,9.39,398807,3740228.72
2024-01-22,000001.SZ,9.39,9.46,9.11,9.15,566265,5248677.46
2024-01-23,000001.SZ,9.15,9.19,8.88,8.98,505858,4586803.83
2024-01-24,000001.SZ,8.98,9.03,8.8,8.84,321107,2861219.8
2024-01-25,000001.SZ,8.84,8.99,8.81,8.92,810242,7194279.22
2024-01-26,000001.SZ,8.92,8.95,8.82,8.85,573233,5092872.99
2024-01-29,000001.SZ,8.85,8.94,8.75,8.85,664662,5882843.14
2024-01-30,000001.SZ,8.85,9.14,8.7,8.96,461123,4107938.47
2024-01-31,000001.SZ,8.96,9.0,8.93,8.94,474151,4244262.71
2024-02-01,000001.SZ,8.94,9.25,8.91,9.16,708044,6407755.49
2024-02-02,000001.SZ,9.16,9.21,8.94,8.95,493337,4467205.06
2024-02-05,000001.SZ,8.95,9.17,8.81,9.1,506680,4571955.44
2024-02-06,000001.SZ,9.1,9.12,8.89,8.96,469104,4235339.39
2024-02-07,000001.SZ,8.96,9.2,8.88,9.13,923854,8354626.88
2024-02-08,000001.SZ,9.13,9.48,8.95,9.47,470344,4372379.47
2024-02-09,000001.SZ,9.47,9.71,9.33,9.67,802762,7683108.47
2024-02-12,000001.SZ,9.67,9.78,9.47,9.62,161457,1557900.74
2024-02-13,000001.SZ,9.62,9.72,9.5,9.6,728730,7003753.61
2024-02-14,000001.SZ,9.6,9.66,9.51,9.58,566621,5433486.28
2024-02-15,000001.SZ,9.58,9.67,9.4,9.5,492134,4695018.43
2024-02-16,000001.SZ,9.5,9.66,9.4,9.6,998868,9540343.03
2024-02-19,000001.SZ,9.6,9.79,9.39,9.75,523865,5069441.66
2024-02-20,000001.SZ,9.75,10.14,9.73,10.0,771793,7620932.27
2024-02-21,000001.SZ,10.0,10.01,9.54,9.6,224705,2201661.0
2024-02-22,000001.SZ,9.6,9.64,9.27,9.54,724522,6932001.07
2024-02-23,000001.SZ,9.54,10.01,9.43,9.78,286524,2767050.94
2024-02-26,000001.SZ,9.78,10.3,9.68,10.19,324671,3240838.34
2024-02-27,000001.SZ,10.19,10.38,9.96,9.97,518626,5227017.19
2024-02-28,000001.SZ,9.97,9.98,9.62,9.78,679684,6711738.56
2024-02-29,000001.SZ,9.78,9.81,9.26,9.4,882082,8458399.08
2024-01-01,600000.SH,8.0,8.04,7.83,7.97,852242,6804914.89
2024-01-02,600000.SH,7.97,8.05,7.75,7.88,855730,6783052.2
2024-01-03,600000.SH,7.88,7.92,7.77,7.91,285620,2255538.01
2024-01-04,600000.SH,7.91,7.93,7.8,7.86,139328,1098493.65
2024-01-05,600000.SH,7.86,8.06,7.85,7.92,898955,7092441.34
2024-01-08,600000.SH,7.92,8.01,7.78,7.9,135117,1069165.25
2024-01-09,600000.SH,7.9,7.94,7.64,7.72,355322,2776470.27
2024-01-10,600000.SH,7.72,7.86,7.61,7.63,909794,6982769.97
2024-01-11,600000.SH,7.63,7.65,7.44,7.46,660964,4985057.52
2024-01-12,600000.SH,7.46,7.51,7.4,7.41,225328,1674709.84
2024-01-15,600000.SH,7.41,7.42,7.28,7.3,925742,6808841.34
2024-01-16,600000.SH,7.3,7.35,7.13,7.15,740716,5351609.06
2024-01-17,600000.SH,7.15,7.3,7.09,7.24,313232,2253544.93
2024-01-18,600000.SH,7.24,7.34,7.2,7.24,341102,2469931.94
2024-01-19,600000.SH,7.24,7.26,7.1,7.14,634800,4565582.64
2024-01-22,600000.SH,7.14,7.17,6.76,6.77,242422,1686467.87
2024-01-23,600000.SH,6.77,6.78,6.54,6.64,942244,6317999.03
2024-01-24,600000.SH,6.64,6.77,6.56,6.61,716125,4743525.61
2024-01-25,600000.SH,6.61,6.64,6.48,6.54,381294,2506871.52
2024-01-26,600000.SH,6.54,6.6,6.35,6.38,918510,5933538.84
2024-01-29,600000.SH,6.38,6.51,6.35,6.46,788028,5059501.84
2024-01-30,600000.SH,6.46,6.5,6.13,6.13,841622,5299445.17
2024-01-31,600000.SH,6.13,6.45,6.12,6.4,461812,2892088.78
