datetime,symbol,direction,volume,price,order_type
2024-01-01,000001.SZ,1,2705,9.56,limit
2024-01-01,600000.SH,1,880,7.95,market
2024-01-01,000001.SZ,-1,2297,9.61,market
2024-01-02,600519.SH,-1,7645,1736.67,limit
2024-01-03,000001.SZ,-1,2409,9.77,market
2024-01-03,000001.SZ,1,2771,9.98,limit
2024-01-04,600519.SH,-1,7098,1699.79,market
2024-01-04,000002.SZ,-1,3891,15.13,market
2024-01-04,600000.SH,1,8951,7.83,market
2024-01-04,000001.SZ,-1,6629,9.77,limit
2024-01-05,600000.SH,1,1550,7.9,limit
2024-01-05,000001.SZ,-1,649,9.46,market
2024-01-05,600519.SH,-1,1808,1650.01,market
2024-01-05,000001.SZ,-1,5278,9.67,limit
2024-01-08,000001.SZ,-1,5313,9.45,limit
2024-01-08,000001.SZ,1,1200,9.59,market
2024-01-08,000001.SZ,1,9697,9.55,limit
2024-01-09,000001.SZ,-1,8054,9.43,limit
2024-01-10,600519.SH,1,3533,1787.15,limit
2024-01-10,000001.SZ,1,1770,9.69,market
2024-01-11,600519.SH,1,7745,1720.74,limit
2024-01-11,000001.SZ,1,4428,9.38,limit
2024-01-11,600519.SH,1,1003,1718.07,limit
2024-01-12,000001.SZ,-1,9914,9.19,market
2024-01-12,000001.SZ,1,4932,9.4,limit
2024-01-15,000001.SZ,-1,3449,9.29,market
2024-01-15,000002.SZ,1,1018,13.9,limit
2024-01-16,600519.SH,1,9147,1583.18,limit
2024-01-17,000001.SZ,1,2705,9.29,market
2024-01-18,000001.SZ,1,2244,9.27,limit
2024-01-18,000001.SZ,-1,8516,9.29,limit
2024-01-18,000001.SZ,1,5350,9.46,market
2024-01-22,000001.SZ,-1,8996,9.14,market
2024-01-22,000001.SZ,-1,4407,9.15,market
2024-01-22,600519.SH,1,6580,1686.86,market
2024-01-23,600000.SH,1,9003,6.58,market
2024-01-24,000001.SZ,-1,3851,8.77,market
2024-01-24,600000.SH,-1,1700,6.46,market
2024-01-25,000002.SZ,-1,1337,14.64,limit
2024-01-25,600000.SH,-1,7393,6.62,limit
2024-01-25,000001.SZ,1,9869,8.92,market
2024-01-26,000002.SZ,-1,1757,14.8,market
2024-01-26,000001.SZ,1,4530,8.94,market
2024-01-26,600000.SH,1,8927,6.34,market
2024-01-26,000001.SZ,1,5468,8.85,market
2024-01-26,000001.SZ,-1,9145,8.77,market
2024-01-29,600519.SH,-1,5771,1682.41,limit
2024-01-29,000002.SZ,-1,9806,14.76,limit
2024-01-29,600000.SH,1,102,6.44,market
2024-01-29,000001.SZ,1,1913,8.87,limit
2024-01-29,000002.SZ,-1,235,15.1,market
2024-01-29,600519.SH,1,7773,1657.99,market
2024-01-30,000002.SZ,-1,4239,15.08,market
2024-01-30,600519.SH,1,3439,1644.26,limit
2024-01-30,000001.SZ,-1,4406,8.91,limit
2024-01-30,000002.SZ,-1,4867,14.79,limit
2024-01-31,000001.SZ,-1,3437,8.93,market
2024-01-31,000001.SZ,1,5011,8.8,market
2024-02-01,600000.SH,1,3448,6.54,limit
2024-02-01,600000.SH,1,5815,6.62,limit
2024-02-02,600519.SH,1,7256,1709.82,market
2024-02-02,000002.SZ,1,4046,15.96,market
2024-02-05,600519.SH,1,7179,1728.72,limit
2024-02-06,000002.SZ,1,6781,15.82,market
2024-02-06,600000.SH,1,347,7.06,market
2024-02-07,600000.SH,1,2171,7.05,market
2024-02-07,000001.SZ,-1,7518,9.11,limit
2024-02-13,600519.SH,1,313,1874.46,limit
2024-02-13,600519.SH,1,6816,1922.18,market
2024-02-13,000002.SZ,-1,8266,14.67,market
2024-02-13,600519.SH,-1,3635,1855.23,market
2024-02-13,600519.SH,-1,1891,1906.86,limit
2024-02-13,600519.SH,1,7829,1873.28,limit
2024-02-14,600000.SH,-1,8745,7.38,limit
2024-02-14,600000.SH,-1,2069,7.21,market
2024-02-15,600000.SH,1,2941,7.37,market
2024-02-15,600000.SH,1,1917,7.38,market
2024-02-15,600000.SH,-1,7928,7.31,market
2024-02-16,000001.SZ,-1,2105,9.4,limit
2024-02-16,600519.SH,-1,5389,1895.92,market
2024-02-19,000002.SZ,-1,2704,14.39,market
2024-02-21,600000.SH,1,3427,7.69,market
2024-02-21,600000.SH,-1,7157,7.59,market
2024-02-22,600000.SH,-1,7230,7.5,market
2024-02-22,600000.SH,-1,4626,7.47,market
2024-02-22,000001.SZ,1,5871,9.51,limit
2024-02-23,000001.SZ,-1,4949,9.73,market
2024-02-26,600000.SH,1,6549,7.4,market
2024-02-27,600000.SH,-1,5928,7.7,market
2024-02-27,000001.SZ,-1,6843,9.94,market
2024-02-27,000001.SZ,-1,7841,9.96,market
2024-02-27,600000.SH,1,8097,7.67,limit
2024-02-28,600519.SH,1,2020,1872.78,market
2024-02-29,000001.SZ,1,1344,9.44,market
2024-02-29,000001.SZ,-1,5670,9.38,limit
2024-02-29,600000.SH,1,3499,7.6,market
2024-02-29,600519.SH,-1,3889,1921.7,market
2024-02-29,600000.SH,-1,219,7.61,limit
2024-02-29,000001.SZ,-1,7356,9.3,market
2024-02-29,000001.SZ,-1,9302,9.44,limit
