flow_id,trade_date,settlement_date,security_code,amount,fee_code,fee_name,direction
CF001,2024-01-15,2024-01-16,000001,10516.75,,,支出
CF002,2024-01-15,2024-01-16,000001,10.50,F001,印花税,支出
CF003,2024-01-15,2024-01-16,000001,5.25,F002,佣金,支出
CF004,2024-01-15,2024-01-16,000001,1.00,F003,过户费,支出
CF005,2024-01-15,2024-01-17,600036,17590.70,,,收入
CF006,2024-01-15,2024-01-17,600036,8.80,F002,佣金,支出
CF007,2024-01-15,2024-01-17,600036,0.50,F003,过户费,支出
CF008,2024-01-16,2024-01-17,600519,91355.00,,,支出
CF009,2024-01-16,2024-01-17,600519,1800.00,F002,印花税,支出
CF010,2024-01-16,2024-01-17,600519,900.00,F002,佣金,支出
CF011,2024-01-16,2024-01-17,600519,10.00,F003,过户费,支出
