异常ID,类型,严重程度,消息,涉及科目,详细信息,时间戳
ae_unbalanced_034857,assets_liabilities_equity_unbalanced,error,"资产负债表不平: 资产 297000.00, 负债+权益 295000.00, 差额 2000.00",,"{""total_assets"": 297000.0, ""total_liabilities"": 35000.0, ""total_equity"": 260000.0, ""difference"": 2000.0, ""suggestion"": ""请检查资产、负债、权益类科目余额""}",2026-05-28T03:48:57.388394
ni_reconcile_034857,net_income_reconciliation_failed,warning,"净利润与未分配利润变动不一致: 净利润 82000.00, 未分配利润变动 30000.00, 差额 52000.00",4104,"{""net_income"": 245000.0, ""total_expenses"": 163000.0, ""current_net_profit"": 82000.0, ""retained_earnings_change"": 30000.0, ""difference"": 52000.0, ""suggestion"": ""请检查利润分配、以前年度损益调整等科目""}",2026-05-28T03:48:57.388430
cf_unbalanced_034857,cash_flow_unbalanced,error,"现金流量表与货币资金变动不一致: 现金流量净额 75000.00, 货币资金变动 20000.00, 差额 55000.00","1001, 1002","{""cash_end_balance"": 80000.0, ""cash_opening_balance"": 60000.0, ""cash_change"": 20000.0, ""net_cash_flow"": 75000.0, ""difference"": 55000.0, ""suggestion"": ""请检查现金流量表编制是否正确""}",2026-05-28T03:48:57.388459
map_missing_101_034857,missing_mapping,warning,科目 101 缺少映射配置,101,"{""account_code"": ""101"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.374934
map_missing_6603_034857,missing_mapping,warning,科目 6603 缺少映射配置,6603,"{""account_code"": ""6603"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.374982
map_missing_6001_034857,missing_mapping,warning,科目 6001 缺少映射配置,6001,"{""account_code"": ""6001"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375001
map_missing_6602_034857,missing_mapping,warning,科目 6602 缺少映射配置,6602,"{""account_code"": ""6602"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375009
map_missing_6601_034857,missing_mapping,warning,科目 6601 缺少映射配置,6601,"{""account_code"": ""6601"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375016
map_missing_102_034857,missing_mapping,warning,科目 102 缺少映射配置,102,"{""account_code"": ""102"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375022
map_missing_6401_034857,missing_mapping,warning,科目 6401 缺少映射配置,6401,"{""account_code"": ""6401"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375028
map_missing_201_034857,missing_mapping,warning,科目 201 缺少映射配置,201,"{""account_code"": ""201"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375034
map_missing_301_034857,missing_mapping,warning,科目 301 缺少映射配置,301,"{""account_code"": ""301"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375039
map_missing_6051_034857,missing_mapping,warning,科目 6051 缺少映射配置,6051,"{""account_code"": ""6051"", ""suggestion"": ""请在科目映射表中添加该科目的映射关系""}",2026-05-28T03:48:57.375044
