rate_version,product_line,min_amount,max_amount,rate,effective_date,expiry_date
2023Q4,企业软件,0,50000,0.03,2023-10-01,2023-12-31
2023Q4,企业软件,50000,200000,0.05,2023-10-01,2023-12-31
2023Q4,企业软件,200000,500000,0.07,2023-10-01,2023-12-31
2023Q4,企业软件,500000,,0.1,2023-10-01,2023-12-31
2023Q4,云服务,0,50000,0.02,2023-10-01,2023-12-31
2023Q4,云服务,50000,200000,0.04,2023-10-01,2023-12-31
2023Q4,云服务,200000,500000,0.06,2023-10-01,2023-12-31
2023Q4,云服务,500000,,0.08,2023-10-01,2023-12-31
2023Q4,硬件设备,0,50000,0.015,2023-10-01,2023-12-31
2023Q4,硬件设备,50000,200000,0.03,2023-10-01,2023-12-31
2023Q4,硬件设备,200000,500000,0.045,2023-10-01,2023-12-31
2023Q4,硬件设备,500000,,0.06,2023-10-01,2023-12-31
2023Q4,解决方案,0,50000,0.04,2023-10-01,2023-12-31
2023Q4,解决方案,50000,200000,0.06,2023-10-01,2023-12-31
2023Q4,解决方案,200000,500000,0.08,2023-10-01,2023-12-31
2023Q4,解决方案,500000,,0.12,2023-10-01,2023-12-31
2023Q4,咨询服务,0,50000,0.05,2023-10-01,2023-12-31
2023Q4,咨询服务,50000,200000,0.07,2023-10-01,2023-12-31
2023Q4,咨询服务,200000,500000,0.09,2023-10-01,2023-12-31
2023Q4,咨询服务,500000,,0.15,2023-10-01,2023-12-31
2024Q1,企业软件,0,50000,0.03,2024-01-01,2024-03-31
2024Q1,企业软件,50000,200000,0.05,2024-01-01,2024-03-31
2024Q1,企业软件,200000,500000,0.07,2024-01-01,2024-03-31
2024Q1,企业软件,500000,,0.1,2024-01-01,2024-03-31
2024Q1,云服务,0,50000,0.02,2024-01-01,2024-03-31
2024Q1,云服务,50000,200000,0.04,2024-01-01,2024-03-31
2024Q1,云服务,200000,500000,0.06,2024-01-01,2024-03-31
2024Q1,云服务,500000,,0.08,2024-01-01,2024-03-31
2024Q1,硬件设备,0,50000,0.015,2024-01-01,2024-03-31
2024Q1,硬件设备,50000,200000,0.03,2024-01-01,2024-03-31
2024Q1,硬件设备,200000,500000,0.045,2024-01-01,2024-03-31
2024Q1,硬件设备,500000,,0.06,2024-01-01,2024-03-31
2024Q1,解决方案,0,50000,0.04,2024-01-01,2024-03-31
2024Q1,解决方案,50000,200000,0.06,2024-01-01,2024-03-31
2024Q1,解决方案,200000,500000,0.08,2024-01-01,2024-03-31
2024Q1,解决方案,500000,,0.12,2024-01-01,2024-03-31
2024Q1,咨询服务,0,50000,0.05,2024-01-01,2024-03-31
2024Q1,咨询服务,50000,200000,0.07,2024-01-01,2024-03-31
2024Q1,咨询服务,200000,500000,0.09,2024-01-01,2024-03-31
2024Q1,咨询服务,500000,,0.15,2024-01-01,2024-03-31
2024Q2,企业软件,0,50000,0.03,2024-04-01,2024-06-30
2024Q2,企业软件,50000,200000,0.05,2024-04-01,2024-06-30
2024Q2,企业软件,200000,500000,0.07,2024-04-01,2024-06-30
2024Q2,企业软件,500000,,0.1,2024-04-01,2024-06-30
2024Q2,云服务,0,50000,0.02,2024-04-01,2024-06-30
2024Q2,云服务,50000,200000,0.04,2024-04-01,2024-06-30
2024Q2,云服务,200000,500000,0.06,2024-04-01,2024-06-30
2024Q2,云服务,500000,,0.08,2024-04-01,2024-06-30
2024Q2,硬件设备,0,50000,0.015,2024-04-01,2024-06-30
2024Q2,硬件设备,50000,200000,0.03,2024-04-01,2024-06-30
2024Q2,硬件设备,200000,500000,0.045,2024-04-01,2024-06-30
2024Q2,硬件设备,500000,,0.06,2024-04-01,2024-06-30
2024Q2,解决方案,0,50000,0.04,2024-04-01,2024-06-30
