source,target,edge_index,edge,weight,cumulative_weight,is_forbidden,is_negative,source_file,forbidden_reason
N01,N10,0,N01->N03,3.0,3.0,False,False,examples/edges.csv,
N01,N10,1,N03->N04,1.0,4.0,False,False,examples/edges.csv,
N01,N10,2,N04->N05,1.0,5.0,False,False,examples/edges.csv,
N01,N10,3,N05->N08,2.0,7.0,False,False,examples/edges.csv,
N01,N10,4,N08->N10,3.0,10.0,False,False,examples/edges.csv,
N01,N08,0,N01->N03,3.0,3.0,False,False,examples/edges.csv,
N01,N08,1,N03->N04,1.0,4.0,False,False,examples/edges.csv,
N01,N08,2,N04->N05,1.0,5.0,False,False,examples/edges.csv,
N01,N08,3,N05->N08,2.0,7.0,False,False,examples/edges.csv,
N03,N10,0,N03->N04,1.0,1.0,False,False,examples/edges.csv,
N03,N10,1,N04->N05,1.0,2.0,False,False,examples/edges.csv,
N03,N10,2,N05->N08,2.0,4.0,False,False,examples/edges.csv,
N03,N10,3,N08->N10,3.0,7.0,False,False,examples/edges.csv,
N01,N05,0,N01->N03,3.0,3.0,False,False,examples/edges.csv,
N01,N05,1,N03->N04,1.0,4.0,False,False,examples/edges.csv,
N01,N05,2,N04->N05,1.0,5.0,False,False,examples/edges.csv,
