date,metric,value,tags,source,remark
2026-04-01,daily_tx_amount,100.0,,risk_system,
2026-04-02,daily_tx_amount,102.0,,risk_system,
2026-04-03,daily_tx_amount,114.0,friday_peak,risk_system,
2026-04-04,daily_tx_amount,106.0,,risk_system,
2026-04-05,daily_tx_amount,108.0,,risk_system,
2026-04-06,daily_tx_amount,110.0,,risk_system,
2026-04-07,daily_tx_amount,112.0,,risk_system,
2026-04-08,daily_tx_amount,100.0,,risk_system,
2026-04-09,daily_tx_amount,102.0,,risk_system,
2026-04-10,daily_tx_amount,114.0,friday_peak,risk_system,
2026-04-11,daily_tx_amount,106.0,,risk_system,
2026-04-12,daily_tx_amount,108.0,,risk_system,
2026-04-13,daily_tx_amount,110.0,,risk_system,
2026-04-14,daily_tx_amount,112.0,,risk_system,
2026-04-15,daily_tx_amount,100.0,,risk_system,
2026-04-16,daily_tx_amount,50.0,,risk_system,异常波动
2026-04-17,daily_tx_amount,114.0,friday_peak,risk_system,
2026-04-18,daily_tx_amount,106.0,,risk_system,
2026-04-19,daily_tx_amount,108.0,,risk_system,
2026-04-20,daily_tx_amount,110.0,,risk_system,
2026-04-21,daily_tx_amount,112.0,,risk_system,
2026-04-22,daily_tx_amount,100.0,,risk_system,
2026-04-23,daily_tx_amount,180.0,,risk_system,异常波动
2026-04-24,daily_tx_amount,114.0,friday_peak,risk_system,
2026-04-25,daily_tx_amount,106.0,,risk_system,
2026-04-26,daily_tx_amount,108.0,,risk_system,
2026-04-27,daily_tx_amount,110.0,,risk_system,
2026-04-28,daily_tx_amount,112.0,,risk_system,
2026-04-29,daily_tx_amount,100.0,,risk_system,
2026-04-30,daily_tx_amount,102.0,,risk_system,
