参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,0,-0.21,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,1,0.81,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,2,1.83,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,3,2.85,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,4,3.87,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,5,4.89,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,6,5.91,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,7,6.92,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,8,7.94,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,9,8.96,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,10,9.98,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,11,11.0,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,12,12.02,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,13,13.03,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,14,14.05,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,15,15.07,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,16,16.09,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,17,17.11,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,18,18.13,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,19,19.15,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,20,20.16,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,21,21.18,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,22,22.2,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,23,23.22,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,24,24.24,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,25,25.26,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,26,26.27,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,27,27.29,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,28,28.31,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,29,29.33,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,30,30.35,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,31,31.37,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,32,32.39,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,33,33.4,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,34,34.42,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,35,35.44,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,36,36.46,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,37,37.48,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,38,38.5,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,39,39.51,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,40,40.53,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,41,41.55,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,42,42.57,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,43,43.59,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,44,44.61,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,45,45.63,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,46,46.64,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,47,47.66,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,48,48.68,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,49,49.7,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,50,50.72,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,51,51.74,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,52,52.75,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,53,53.77,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,54,54.79,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,55,55.81,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,56,56.83,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,57,57.85,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,58,58.87,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,59,59.88,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,60,60.9,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,61,61.92,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,62,62.94,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,63,63.96,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,64,64.98,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,65,66.0,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,66,67.01,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,67,68.03,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,68,69.05,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,69,70.07,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,70,71.09,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,71,72.11,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,72,73.12,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,73,74.14,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,74,75.16,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,75,76.18,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,76,77.2,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,77,78.22,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,78,79.24,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,79,80.25,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,80,81.27,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,81,82.29,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,82,83.31,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,83,84.33,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,84,85.35,anchor_mean_sigma,1.0185,-0.2056,1.121
