学生ID,试卷版本,原始分,满分,锚题得分,能力估计值,等值分,是否有效,排除原因,修正次数
S0001,A卷,68.0,100.0,3.49,0.3574,68.0,是,,0
S0002,A卷,41.0,100.0,1.8,-1.2934,41.0,是,,0
S0003,A卷,61.0,100.0,3.2,0.0,0.0,否,缺考标记: 病假,1
S0004,A卷,69.0,100.0,3.31,0.1644,69.0,是,,0
S0005,A卷,43.0,100.0,1.92,0.0,0.0,否,缺考标记: 作弊,1
S0006,A卷,43.0,100.0,2.34,-0.771,43.0,是,,0
S0007,A卷,25.0,100.0,1.15,0.0,0.0,否,缺考标记: 事假,1
S0008,A卷,67.0,100.0,3.81,0.7359,67.0,是,,0
S0009,A卷,61.0,100.0,3.35,0.2065,61.0,是,,0
S0010,A卷,54.0,100.0,2.48,-0.6397,54.0,是,,0
S0011,A卷,50.0,100.0,2.96,-0.1857,50.0,是,,0
S0012,A卷,75.0,100.0,3.9,0.854,75.0,是,,0
S0013,A卷,100.0,100.0,4.99,5.7628,100.0,是,,0
S0014,A卷,69.0,100.0,3.54,0.4131,69.0,是,,0
S0015,A卷,57.0,100.0,3.54,0.4131,57.0,是,,0
S0016,A卷,83.0,100.0,3.73,0.6358,83.0,是,,0
S0017,A卷,54.0,100.0,2.83,-0.3104,54.0,是,,0
S0018,A卷,72.0,100.0,3.2,0.0515,72.0,是,,0
S0019,A卷,26.0,100.0,0.73,-2.6726,26.0,是,,0
S0020,A卷,59.0,100.0,2.92,-0.2243,59.0,是,,0
S0021,A卷,65.0,100.0,3.02,-0.1273,65.0,是,,0
S0022,A卷,42.0,100.0,1.49,-1.6212,42.0,是,,0
S0023,A卷,65.0,100.0,3.36,0.217,65.0,是,,0
S0024,A卷,75.0,100.0,3.99,0.9791,75.0,是,,0
S0025,A卷,57.0,100.0,3.25,0.1025,57.0,是,,0
S0026,A卷,58.0,100.0,2.7,-0.4334,58.0,是,,0
S0027,A卷,52.0,100.0,2.42,-0.6959,52.0,是,,0
S0028,A卷,28.0,100.0,1.45,-1.6661,28.0,是,,0
S0029,A卷,64.0,100.0,3.09,-0.0585,64.0,是,,0
S0030,A卷,49.0,100.0,2.56,-0.5648,49.0,是,,0
S0031,A卷,86.0,100.0,4.31,1.5071,86.0,是,,0
S0032,A卷,52.0,100.0,2.42,-0.6959,52.0,是,,0
S0033,A卷,59.0,100.0,2.57,-0.5555,59.0,是,,0
S0034,A卷,58.0,100.0,2.92,-0.2243,58.0,是,,0
S0035,A卷,88.0,100.0,4.68,2.4799,88.0,是,,0
S0036,A卷,76.0,100.0,3.59,0.47,76.0,是,,0
S0037,A卷,70.0,100.0,3.16,0.0112,70.0,是,,0
S0038,A卷,65.0,100.0,3.38,0.2382,65.0,是,,0
S0039,A卷,49.0,100.0,3.05,-0.0979,49.0,是,,0
S0040,A卷,69.0,100.0,2.88,-0.2626,69.0,是,,0
S0041,A卷,68.0,100.0,3.28,0.1333,68.0,是,,0
S0042,A卷,60.0,100.0,3.14,-0.0088,60.0,是,,0
S0043,A卷,66.0,100.0,2.69,-0.4428,66.0,是,,0
S0044,A卷,43.0,100.0,2.38,-0.7334,43.0,是,,0
S0045,A卷,80.0,100.0,4.57,2.1159,80.0,是,,0
S0046,A卷,87.0,100.0,3.73,0.6358,87.0,是,,0
S0047,A卷,72.0,100.0,3.03,-0.1175,72.0,是,,0
S0048,A卷,84.0,100.0,4.28,1.4502,84.0,是,,0
S0049,A卷,43.0,100.0,2.75,-0.3863,43.0,是,,0
