参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,0,-0.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,1,1.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,2,2.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,3,3.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,4,4.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,5,5.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,6,6.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,7,7.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,8,8.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,9,9.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,10,10.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,11,11.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,12,12.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,13,13.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,14,14.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,15,15.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,16,16.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,17,17.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,18,18.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,19,19.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,20,20.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,21,21.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,22,22.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,23,23.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,24,24.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,25,25.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,26,26.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,27,27.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,28,28.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,29,29.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,30,30.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,31,31.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,32,32.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,33,33.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,34,34.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,35,35.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,36,36.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,37,37.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,38,38.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,39,39.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,40,40.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,41,41.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,42,42.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,43,43.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,44,44.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,45,45.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,46,46.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,47,47.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,48,48.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,49,49.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,50,50.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,51,51.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,52,52.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,53,53.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,54,54.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,55,55.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,56,56.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,57,57.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,58,58.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,59,59.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,60,60.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,61,61.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,62,62.0,irt_true_score,1.0,-0.0,19.4276
