参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,0,-3.26,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,1,3.35,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,2,9.96,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,3,16.57,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,4,23.18,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,5,29.78,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,6,36.39,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,7,43.0,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,8,49.61,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,9,56.22,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,10,62.83,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,11,69.44,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,12,76.05,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,13,82.66,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,14,89.26,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,15,95.87,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,16,102.48,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,17,109.09,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,18,115.7,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,19,122.31,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,20,128.92,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,21,135.53,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,22,142.14,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,23,148.74,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,24,155.35,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,25,161.96,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,26,168.57,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,27,175.18,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,28,181.79,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,29,188.4,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,30,195.01,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,31,201.62,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,32,208.22,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,33,214.83,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,34,221.44,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,35,228.05,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,36,234.66,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,37,241.27,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,38,247.88,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,39,254.49,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,40,261.1,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,41,267.7,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,42,274.31,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,43,280.92,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,44,287.53,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,45,294.14,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,46,300.75,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,47,307.36,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,48,313.97,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,49,320.58,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,50,327.18,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,51,333.79,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,52,340.4,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,53,347.01,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,54,353.62,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,55,360.23,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,56,366.84,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,57,373.45,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,58,380.06,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,59,386.66,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,60,393.27,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,61,399.88,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,62,406.49,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,63,413.1,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,64,419.71,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,65,426.32,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,66,432.93,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,67,439.54,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,68,446.14,anchor_mean_sigma,6.6089,-3.2596,0.1948
