学生ID,试卷版本,原始分,满分,锚题得分
S0001,A卷,68,100,3.49
S0002,A卷,41,100,1.8
S0003,A卷,61,100,3.2
S0004,A卷,69,100,3.31
S0005,A卷,43,100,1.92
S0006,A卷,43,100,2.34
S0007,A卷,25,100,1.15
S0008,A卷,67,100,3.81
S0009,A卷,61,100,3.35
S0010,A卷,54,100,2.48
S0011,A卷,50,100,2.96
S0012,A卷,75,100,3.9
S0013,A卷,100,100,4.99
S0014,A卷,69,100,3.54
S0015,A卷,57,100,3.54
S0016,A卷,83,100,3.73
S0017,A卷,54,100,2.83
S0018,A卷,72,100,3.2
S0019,A卷,26,100,0.73
S0020,A卷,59,100,2.92
S0021,A卷,65,100,3.02
S0022,A卷,42,100,1.49
S0023,A卷,65,100,3.36
S0024,A卷,75,100,3.99
S0025,A卷,57,100,3.25
S0026,A卷,58,100,2.7
S0027,A卷,52,100,2.42
S0028,A卷,28,100,1.45
S0029,A卷,64,100,3.09
S0030,A卷,49,100,2.56
S0031,A卷,86,100,4.31
S0032,A卷,52,100,2.42
S0033,A卷,59,100,2.57
S0034,A卷,58,100,2.92
S0035,A卷,88,100,4.68
S0036,A卷,76,100,3.59
S0037,A卷,70,100,3.16
S0038,A卷,65,100,3.38
S0039,A卷,49,100,3.05
S0040,A卷,69,100,2.88
S0041,A卷,68,100,3.28
S0042,A卷,60,100,3.14
S0043,A卷,66,100,2.69
S0044,A卷,43,100,2.38
S0045,A卷,80,100,4.57
S0046,A卷,87,100,3.73
S0047,A卷,72,100,3.03
S0048,A卷,84,100,4.28
S0049,A卷,43,100,2.75
S0050,A卷,70,100,2.93
S0051,A卷,64,100,2.98
S0052,A卷,62,100,2.96
S0053,A卷,81,100,3.62
S0054,A卷,65,100,3.79
S0055,A卷,48,100,2.46
S0056,A卷,63,100,2.94
S0057,A卷,70,100,3.53
S0058,A卷,46,100,2.83
S0059,A卷,72,100,3.55
S0060,A卷,50,100,2.26
S0061,A卷,78,100,3.86
S0062,A卷,67,100,3.29
S0063,A卷,69,100,3.42
S0064,A卷,71,100,3.5
S0065,A卷,72,100,3.8
S0066,A卷,58,100,2.64
S0067,A卷,46,100,2.08
S0068,A卷,45,100,2.51
S0069,A卷,59,100,3.42
S0070,A卷,94,100,4.71
S0071,A卷,37,100,1.74
S0072,A卷,59,100,2.5
S0073,A卷,56,100,2.89
S0074,A卷,53,100,2.42
S0075,A卷,49,100,2.99
S0076,A卷,58,100,2.65
S0077,A卷,54,100,2.99
S0078,A卷,50,100,2.64
S0079,A卷,71,100,3.77
S0080,A卷,81,100,3.88
S0081,A卷,77,100,3.61
S0082,A卷,54,100,3.06
S0083,A卷,72,100,3.6
S0084,A卷,42,100,2.27
S0085,A卷,51,100,2.27
S0086,A卷,50,100,2.57
S0087,A卷,28,100,1.51
S0088,A卷,63,100,2.97
S0089,A卷,76,100,3.98
S0090,A卷,51,100,2.35
S0091,A卷,70,100,3.05
S0092,A卷,55,100,2.56
S0093,A卷,61,100,3.11
S0094,A卷,61,100,3.39
S0095,A卷,63,100,3.06
S0096,A卷,42,100,2.32
S0097,A卷,68,100,3.84
S0098,A卷,49,100,2.46
S0099,A卷,59,100,2.92
S0100,A卷,60,100,2.49
S0101,B卷,74,100,3.75
S0102,B卷,78,100,4.42
S0103,B卷,58,100,2.77
S0104,B卷,62,100,3.56
S0105,B卷,38,100,1.97
S0106,B卷,41,100,1.19
S0107,B卷,34,100,1.22
S0108,B卷,77,100,3.44
S0109,B卷,59,100,2.48
S0110,B卷,71,100,3.08
S0111,B卷,80,100,3.54
S0112,B卷,51,100,2.48
S0113,B卷,62,100,3.4
S0114,B卷,64,100,2.71
S0115,B卷,54,100,2.42
S0116,B卷,72,100,3.57
S0117,B卷,60,100,3.14
S0118,B卷,55,100,2.6
S0119,B卷,65,100,3.58
S0120,B卷,61,100,2.82
S0121,B卷,47,100,2.46
S0122,B卷,54,100,2.7
S0123,B卷,35,100,1.99
S0124,B卷,43,100,1.83
S0125,B卷,77,100,3.3
S0126,B卷,61,100,2.95
S0127,B卷,48,100,2.71
S0128,B卷,83,100,3.39
S0129,B卷,42,100,2.26
S0130,B卷,44,100,2.0
S0131,B卷,64,100,3.28
S0132,B卷,59,100,2.86
S0133,B卷,51,100,2.84
S0134,B卷,55,100,2.74
S0135,B卷,55,100,2.67
S0136,B卷,60,100,2.83
S0137,B卷,48,100,2.54
S0138,B卷,82,100,4.01
S0139,B卷,72,100,3.71
S0140,B卷,75,100,3.69
S0141,B卷,65,100,3.38
S0142,B卷,63,100,2.73
S0143,B卷,62,100,2.41
S0144,B卷,62,100,3.1
S0145,B卷,79,100,3.84
S0146,B卷,75,100,3.6
S0147,B卷,48,100,1.88
S0148,B卷,48,100,1.89
S0149,B卷,71,100,3.35
S0150,B卷,70,100,3.38
S0151,B卷,77,100,4.01
S0152,B卷,53,100,2.46
S0153,B卷,55,100,2.15
S0154,B卷,71,100,3.76
S0155,B卷,62,100,2.83
S0156,B卷,77,100,2.99
S0157,B卷,64,100,3.11
S0158,B卷,54,100,3.01
S0159,B卷,76,100,3.57
S0160,B卷,61,100,2.81
S0161,B卷,55,100,2.25
