题目ID,试卷版本,难度参数b,区分度参数a,来源
Q1,A卷,0.568,1.443,教师标定
Q1,B卷,-1.517,1.968,教师标定
Q2,A卷,-0.916,1.795,教师标定
Q2,B卷,1.351,1.542,教师标定
Q3,A卷,0.847,1.645,教师标定
Q3,B卷,-0.903,0.855,教师标定
Q4,A卷,0.114,0.896,教师标定
Q4,B卷,1.282,1.079,教师标定
Q5,A卷,0.65,1.563,教师标定
Q5,B卷,0.874,1.238,教师标定
Q6,A卷,-0.47,1.12,教师标定
Q6,B卷,0.899,1.924,教师标定
Q7,A卷,-0.819,1.005,教师标定
Q7,B卷,-1.019,1.675,教师标定
Q8,A卷,0.506,1.987,教师标定
Q8,B卷,1.303,1.568,教师标定
Q9,A卷,-1.423,1.811,教师标定
Q9,B卷,-0.338,1.731,教师标定
Q10,A卷,0.034,1.179,教师标定
Q10,B卷,0.604,1.121,教师标定
Q11,A卷,0.581,1.852,教师标定
Q11,B卷,3.086,1.178,教师标定
Q12,A卷,-0.562,1.897,教师标定
Q12,B卷,-0.698,1.351,教师标定
Q13,A卷,-0.07,1.474,教师标定
Q13,B卷,1.199,1.115,教师标定
Q14,A卷,-1.841,1.279,教师标定
Q14,B卷,-0.999,1.063,教师标定
Q15,A卷,1.193,0.909,教师标定
Q15,B卷,0.278,0.857,教师标定
Q16,A卷,1.085,1.75,教师标定
Q16,B卷,1.372,1.307,教师标定
Q17,A卷,0.903,1.995,教师标定
Q17,B卷,0.757,1.435,教师标定
Q18,A卷,1.953,0.814,教师标定
Q18,B卷,-0.131,1.665,教师标定
Q19,A卷,-0.516,1.12,教师标定
Q19,B卷,-1.054,1.569,教师标定
Q20,A卷,0.816,1.344,教师标定
Q20,B卷,1.127,1.945,教师标定
Q21,A卷,0.556,1.401,教师标定
Q21,B卷,-0.36,1.014,教师标定
Q22,A卷,1.725,1.158,教师标定
Q22,B卷,-0.966,1.567,教师标定
Q23,A卷,-0.446,1.715,教师标定
Q23,B卷,-0.137,1.447,教师标定
Q24,A卷,0.22,0.801,教师标定
Q24,B卷,-1.152,1.189,教师标定
Q25,A卷,2.283,1.854,教师标定
Q25,B卷,0.637,1.798,教师标定
Q26,A卷,-0.122,1.854,教师标定
Q26,B卷,0.688,1.936,教师标定
Q27,A卷,0.991,0.883,教师标定
Q27,B卷,1.01,1.713,教师标定
Q28,A卷,0.052,1.37,教师标定
Q28,B卷,-0.326,1.46,教师标定
Q29,A卷,-0.192,1.308,教师标定
Q29,B卷,2.724,1.054,教师标定
Q30,A卷,-1.569,1.041,教师标定
Q30,B卷,-0.175,1.174,教师标定
Q31,A卷,1.448,1.326,教师标定
Q31,B卷,0.247,1.421,教师标定
Q32,A卷,0.517,1.206,教师标定
Q32,B卷,0.89,1.506,教师标定
Q33,A卷,0.088,0.885,教师标定
Q33,B卷,1.14,1.557,教师标定
Q34,A卷,0.287,1.832,教师标定
Q34,B卷,2.883,0.885,教师标定
Q35,A卷,0.112,1.057,教师标定
Q35,B卷,2.079,0.959,教师标定
Q36,A卷,1.196,1.367,教师标定
Q36,B卷,-0.315,1.742,教师标定
Q37,A卷,0.23,0.916,教师标定
Q37,B卷,-0.43,1.317,教师标定
Q38,A卷,-0.995,1.675,教师标定
Q38,B卷,0.922,1.608,教师标定
Q39,A卷,0.453,1.283,教师标定
Q39,B卷,0.246,1.207,教师标定
Q40,A卷,0.488,1.028,教师标定
Q40,B卷,-0.393,1.338,教师标定
Q41,A卷,-0.713,1.1,教师标定
Q41,B卷,0.757,1.908,教师标定
Q42,A卷,-1.862,1.46,教师标定
Q42,B卷,1.134,0.861,教师标定
Q43,A卷,1.902,1.963,教师标定
Q43,B卷,0.29,1.912,教师标定
Q44,A卷,0.351,1.383,教师标定
Q44,B卷,-0.289,1.056,教师标定
Q45,A卷,-0.283,1.255,教师标定
Q45,B卷,0.543,1.982,教师标定
Q46,A卷,-0.167,1.346,教师标定
Q46,B卷,2.391,1.308,教师标定
Q47,A卷,3.165,1.467,教师标定
Q47,B卷,-0.744,1.662,教师标定
Q48,A卷,0.472,1.962,教师标定
Q48,B卷,1.132,1.495,教师标定
Q49,A卷,-1.602,0.869,教师标定
Q49,B卷,-0.222,1.501,教师标定
Q50,A卷,-1.957,0.989,教师标定
Q50,B卷,0.258,1.953,教师标定
