sku_id,date,quantity
SKU001,2024-01-01,15
SKU001,2024-01-02,18
SKU001,2024-01-03,12
SKU001,2024-01-04,20
SKU001,2024-01-05,16
SKU001,2024-01-06,14
SKU001,2024-01-07,17
SKU001,2024-01-08,19
SKU001,2024-01-09,13
SKU001,2024-01-10,21
SKU001,2024-01-11,15
SKU001,2024-01-12,18
SKU001,2024-01-13,16
SKU001,2024-01-14,14
SKU001,2024-01-15,17
SKU001,2024-01-16,19
SKU001,2024-01-17,15
SKU001,2024-01-18,20
SKU001,2024-01-19,16
SKU001,2024-01-20,18
SKU001,2024-01-21,14
SKU001,2024-01-22,17
SKU001,2024-01-23,15
SKU001,2024-01-24,19
SKU001,2024-01-25,16
SKU001,2024-01-26,18
SKU001,2024-01-27,14
SKU001,2024-01-28,17
SKU001,2024-01-29,20
SKU001,2024-01-30,15
SKU001,2024-01-31,16
SKU002,2024-01-01,25
SKU002,2024-01-02,28
SKU002,2024-01-03,22
SKU002,2024-01-04,30
SKU002,2024-01-05,26
SKU002,2024-01-06,24
SKU002,2024-01-07,27
SKU002,2024-01-08,29
SKU002,2024-01-09,23
SKU002,2024-01-10,31
SKU002,2024-01-11,120
SKU002,2024-01-12,115
SKU002,2024-01-13,26
SKU002,2024-01-14,24
SKU002,2024-01-15,27
SKU002,2024-01-16,29
SKU002,2024-01-17,25
SKU002,2024-01-18,30
SKU002,2024-01-19,26
SKU002,2024-01-20,28
SKU002,2024-01-21,24
SKU002,2024-01-22,27
SKU002,2024-01-23,25
SKU002,2024-01-24,29
SKU002,2024-01-25,26
SKU002,2024-01-26,28
SKU002,2024-01-27,24
SKU002,2024-01-28,27
SKU002,2024-01-29,30
SKU002,2024-01-30,25
SKU002,2024-01-31,26
SKU003,2024-01-28,10
SKU003,2024-01-29,12
SKU003,2024-01-30,8
SKU003,2024-01-31,15
SKU004,2024-01-01,50
SKU004,2024-01-02,55
SKU004,2024-01-03,48
SKU004,2024-01-04,52
SKU004,2024-01-05,58
SKU004,2024-01-06,54
SKU004,2024-01-07,51
SKU004,2024-01-08,56
SKU004,2024-01-09,49
SKU004,2024-01-10,53
SKU004,2024-01-11,57
SKU004,2024-01-12,55
SKU004,2024-01-13,50
SKU004,2024-01-14,52
SKU004,2024-01-15,54
SKU004,2024-01-16,58
SKU004,2024-01-17,51
SKU004,2024-01-18,53
SKU004,2024-01-19,56
SKU004,2024-01-20,59
SKU004,2024-01-21,52
SKU004,2024-01-22,54
SKU004,2024-01-23,57
SKU004,2024-01-24,51
SKU004,2024-01-25,53
SKU004,2024-01-26,55
SKU004,2024-01-27,58
SKU004,2024-01-28,54
SKU004,2024-01-29,52
SKU004,2024-01-30,56
SKU004,2024-01-31,50
