time,displacement,student_id,mass,spring_constant
0.0000,0.1487,S001,0.5,25.0
0.0503,0.1423,S001,0.5,25.0
0.1005,0.1289,S001,0.5,25.0
0.1508,0.1092,S001,0.5,25.0
0.2010,0.0845,S001,0.5,25.0
0.2513,0.0568,S001,0.5,25.0
0.3015,0.0283,S001,0.5,25.0
0.3518,0.0019,S001,0.5,25.0
0.4020,-0.0201,S001,0.5,25.0
0.4523,-0.0361,S001,0.5,25.0
0.5025,-0.0449,S001,0.5,25.0
0.5528,-0.0467,S001,0.5,25.0
0.6030,-0.0420,S001,0.5,25.0
0.6533,-0.0319,S001,0.5,25.0
0.7035,-0.0182,S001,0.5,25.0
0.7538,-0.0029,S001,0.5,25.0
0.8040,0.0123,S001,0.5,25.0
0.8543,0.0254,S001,0.5,25.0
0.9045,0.0348,S001,0.5,25.0
0.9548,0.0397,S001,0.5,25.0
1.0050,0.0398,S001,0.5,25.0
1.0553,0.0354,S001,0.5,25.0
1.1055,0.0273,S001,0.5,25.0
1.1558,0.0166,S001,0.5,25.0
1.2060,0.0047,S001,0.5,25.0
1.2563,-0.0072,S001,0.5,25.0
1.3065,-0.0174,S001,0.5,25.0
1.3568,-0.0248,S001,0.5,25.0
1.4070,-0.0289,S001,0.5,25.0
1.4573,-0.0295,S001,0.5,25.0
1.5075,-0.0269,S001,0.5,25.0
1.5578,-0.0214,S001,0.5,25.0
1.6080,-0.0138,S001,0.5,25.0
1.6583,-0.0050,S001,0.5,25.0
1.7085,0.0041,S001,0.5,25.0
1.7588,0.0123,S001,0.5,25.0
1.8090,0.0188,S001,0.5,25.0
1.8593,0.0232,S001,0.5,25.0
1.9095,0.0252,S001,0.5,25.0
1.9598,0.0248,S001,0.5,25.0
2.0100,0.0222,S001,0.5,25.0
2.0603,0.0178,S001,0.5,25.0
2.1105,0.0121,S001,0.5,25.0
2.1608,0.0057,S001,0.5,25.0
2.2110,-0.0010,S001,0.5,25.0
2.2613,-0.0072,S001,0.5,25.0
2.3115,-0.0124,S001,0.5,25.0
2.3618,-0.0161,S001,0.5,25.0
2.4120,-0.0182,S001,0.5,25.0
2.4623,-0.0186,S001,0.5,25.0
2.5125,-0.0175,S001,0.5,25.0
2.5628,-0.0151,S001,0.5,25.0
2.6130,-0.0117,S001,0.5,25.0
2.6633,-0.0076,S001,0.5,25.0
2.7135,-0.0032,S001,0.5,25.0
2.7638,0.0012,S001,0.5,25.0
2.8140,0.0051,S001,0.5,25.0
2.8643,0.0082,S001,0.5,25.0
2.9145,0.0103,S001,0.5,25.0
2.9648,0.0112,S001,0.5,25.0
3.0150,0.0110,S001,0.5,25.0
3.0653,0.0098,S001,0.5,25.0
3.1155,0.0078,S001,0.5,25.0
3.1658,0.0052,S001,0.5,25.0
3.2160,0.0024,S001,0.5,25.0
3.2663,-0.0005,S001,0.5,25.0
3.3165,-0.0031,S001,0.5,25.0
3.3668,-0.0052,S001,0.5,25.0
3.4170,-0.0067,S001,0.5,25.0
3.4673,-0.0076,S001,0.5,25.0
3.5175,-0.0078,S001,0.5,25.0
3.5678,-0.0074,S001,0.5,25.0
