sample_id,mass,mass_unit,volume,volume_unit,liquid_density,liquid_density_unit,observed_state,source
S001,10,g,20,cm³,1.0,g/cm³,漂浮,正常样例-木块浮水
S002,27,g,10,cm³,1.0,g/cm³,下沉,正常样例-铝块沉水
S003,10,g,10,cm³,1.0,g/cm³,悬浮,正常样例-密度等于水
S004,0.05,kg,100,cm³,0.8,g/cm³,漂浮,正常样例-酒精中漂浮
S005,100,g,50,mL,13.6,g/cm³,漂浮,正常样例-铅块浮水银
C001,9.9,g,10,cm³,1.0,g/cm³,漂浮,临界样例-接近悬浮（略轻）
C002,10.1,g,10,cm³,1.0,g/cm³,下沉,临界样例-接近悬浮（略重）
C003,995,kg,1,m³,1000,kg/m³,漂浮/悬浮,临界样例-大单位接近悬浮
U001,10,克,20,cm³,1.0,g/cm³,漂浮,错误样例-中文单位
U002,10,g,20,立方厘米,1.0,g/cm³,漂浮,错误样例-中文体积单位
U003,10,g,20,cm³,1.0,g/cm^3,漂浮,错误样例-密度单位格式
M001,10,g,,cm³,1.0,g/cm³,漂浮,错误样例-体积值缺失
M002,10,g,20,,1.0,g/cm³,漂浮,错误样例-体积单位缺失
M003,10,g,,,1.0,g/cm³,漂浮,错误样例-体积完全缺失
I001,50,g,20,cm³,1.0,g/cm³,漂浮,错误样例-密度2.5应下沉却记漂浮
I002,5,g,20,cm³,1.0,g/cm³,下沉,错误样例-密度0.25应漂浮却记下沉
I003,10,g,10,cm³,1.0,g/cm³,上浮,特殊样例-悬浮却记上浮
F001,abc,g,20,cm³,1.0,g/cm³,漂浮,错误样例-质量非数字
F002,10,g,-5,cm³,1.0,g/cm³,漂浮,错误样例-体积为负
F003,10,g,20,cm³,1.0,g/cm³,浮起来了,错误样例-状态描述无效
