# 电磁感应模拟数据
# 生成时间: 2026-05-27 16:39:34
# 参数: v=1.0m/s, N=100匝, B=0.5T, dt=0.01s
# 列: 时间(s), 磁通量(Wb), 感应电动势(V), 感应电流(A)
0.00000000,-2.83624858,30.47209476,3.04720948
0.01005025,-3.07548625,16.49968897,1.64996890
0.02010050,-3.17005728,1.64383870,0.16438387
0.03015075,-3.11001579,-14.30448779,-1.43044878
0.04020101,-2.88320164,-31.58850937,-3.15885094
0.05025126,-2.48173158,-18.09222980,-1.80922298
0.06030151,-2.49463906,-4.24020937,-0.42402094
0.07035176,-2.39661266,-15.17217727,-1.51721773
0.08040201,-2.18964433,-25.92518614,-2.59251861
0.09045226,-1.87536332,-36.53182292,-3.65318229
0.10050251,-1.44833761,-49.90424716,-4.99042472
0.11055276,-1.02317432,-37.50560047,-3.75056005
0.12060302,-0.69400212,-27.91602933,-2.79160293
0.13065327,-0.46155014,-18.26095280,-1.82609528
0.14070352,-0.32641474,-8.55229886,-0.85522989
0.15075377,-0.28908368,-2.50508962,-0.25050896
0.16080402,-0.23644395,-4.72919425,-0.47291942
0.17085427,-0.19338947,-3.86804733,-0.38680473
0.18090452,-0.15817486,-3.16370810,-0.31637081
0.19095477,-0.12937253,-2.58762318,-0.25876232
0.20100503,-0.10581487,-2.11643853,-0.21164385
0.21105528,-0.08654686,-1.73105269,-0.17310527
0.22110553,-0.07078740,-1.41584240,-0.14158424
0.23115578,-0.05789760,-1.15802928,-0.11580293
0.24120603,-0.04735493,-0.94716178,-0.09471618
0.25125628,-0.03873199,-0.77469150,-0.07746915
0.26130653,-0.03167922,-0.63362663,-0.06336266
0.27135678,-0.02591070,-0.51824849,-0.05182485
0.28140704,-0.02119257,-0.42387975,-0.04238798
0.29145729,-0.01733358,-0.34669478,-0.03466948
0.30150754,-0.01417728,-0.28356454,-0.02835645
0.31155779,-0.01159572,-0.23192980,-0.02319298
0.32160804,-0.00948423,-0.18969731,-0.01896973
0.33165829,-0.00775723,-0.15515501,-0.01551550
0.34170854,-0.00634471,-0.12690257,-0.01269026
0.35175879,-0.00518939,-0.10379467,-0.01037947
0.36180905,-0.00424444,-0.08489453,-0.00848945
0.37185930,-0.00347157,-0.06943594,-0.00694359
0.38190955,-0.00283942,-0.05679223,-0.00567922
0.39195980,-0.00232239,-0.04645084,-0.00464508
0.40201005,-0.00189950,-0.03799253,-0.00379925
0.41206030,-0.00155362,-0.03107440,-0.00310744
0.42211055,-0.00127072,-0.02541601,-0.00254160
0.43216080,-0.00103933,-0.02078797,-0.00207880
0.44221106,-0.00085008,-0.01700265,-0.00170027
0.45226131,-0.00069528,-0.01390661,-0.00139066
0.46231156,-0.00056868,-0.01137433,-0.00113743
0.47236181,-0.00046513,-0.00930316,-0.00093032
0.48241206,-0.00038043,-0.00760913,-0.00076091
0.49246231,-0.00031116,-0.00622357,-0.00062236
0.50251256,-0.00025450,-0.00509031,-0.00050903
0.51256281,-0.00020816,-0.00416341,-0.00041634
0.52261307,-0.00017025,-0.00340529,-0.00034053
0.53266332,-0.00013925,-0.00278521,-0.00027852
0.54271357,-0.00011389,-0.00227805,-0.00022780
0.55276382,-0.00009316,-0.00186323,-0.00018632
0.56281407,-0.00007619,-0.00152396,-0.00015240
0.57286432,-0.00006232,-0.00124646,-0.00012465
0.58291457,-0.00005097,-0.00101949,-0.00010195
0.59296482,-0.00004169,-0.00083385,-0.00008338
0.60301508,-0.00003410,-0.00068201,-0.00006820
0.61306533,-0.00002789,-0.00055782,-0.00005578
0.62311558,-0.00002281,-0.00045625,-0.00004562
0.63316583,-0.00001866,-0.00037317,-0.00003732
0.64321608,-0.00001526,-0.00030522,-0.00003052
0.65326633,-0.00001248,-0.00024964,-0.00002496
0.66331658,-0.00001021,-0.00020418,-0.00002042
0.67336683,-0.00000835,-0.00016700,-0.00001670
0.68341709,-0.00000683,-0.00013659,-0.00001366
0.69346734,-0.00000559,-0.00011172,-0.00001117
0.70351759,-0.00000457,-0.00009138,-0.00000914
0.71356784,-0.00000374,-0.00007474,-0.00000747
0.72361809,-0.00000306,-0.00006113,-0.00000611
0.73366834,-0.00000250,-0.00005000,-0.00000500
0.74371859,-0.00000204,-0.00004089,-0.00000409
0.75376884,-0.00000167,-0.00003345,-0.00000334
0.76381910,-0.00000137,-0.00002736,-0.00000274
0.77386935,-0.00000112,-0.00002238,-0.00000224
0.78391960,-0.00000091,-0.00001830,-0.00000183
0.79396985,-0.00000075,-0.00001497,-0.00000150
0.80402010,-0.00000061,-0.00001224,-0.00000122
0.81407035,-0.00000050,-0.00001001,-0.00000100
0.82412060,-0.00000041,-0.00000819,-0.00000082
0.83417085,-0.00000033,-0.00000670,-0.00000067
0.84422111,-0.00000027,-0.00000548,-0.00000055
0.85427136,-0.00000022,-0.00000448,-0.00000045
0.86432161,-0.00000018,-0.00000367,-0.00000037
0.87437186,-0.00000015,-0.00000300,-0.00000030
0.88442211,-0.00000012,-0.00000245,-0.00000025
0.89447236,-0.00000010,-0.00000201,-0.00000020
0.90452261,-0.00000008,-0.00000164,-0.00000016
0.91457286,-0.00000007,-0.00000134,-0.00000013
0.92462312,-0.00000005,-0.00000110,-0.00000011
0.93467337,-0.00000004,-0.00000090,-0.00000009
0.94472362,-0.00000004,-0.00000073,-0.00000007
0.95477387,-0.00000003,-0.00000060,-0.00000006
0.96482412,-0.00000002,-0.00000049,-0.00000005
0.97487437,-0.00000002,-0.00000040,-0.00000004
0.98492462,-0.00000002,-0.00000033,-0.00000003
0.99497487,-0.00000001,-0.00000027,-0.00000003
1.00502513,-0.00000001,-0.00000022,-0.00000002
1.01507538,-0.00000001,-0.00000018,-0.00000002
1.02512563,-0.00000001,-0.00000015,-0.00000001
1.03517588,-0.00000001,-0.00000012,-0.00000001
1.04522613,-0.00000000,-0.00000010,-0.00000001
1.05527638,-0.00000000,-0.00000008,-0.00000001
1.06532663,-0.00000000,-0.00000007,-0.00000001
1.07537688,-0.00000000,-0.00000005,-0.00000001
1.08542714,-0.00000000,-0.00000004,-0.00000000
1.09547739,-0.00000000,-0.00000004,-0.00000000
1.10552764,-0.00000000,-0.00000003,-0.00000000
1.11557789,-0.00000000,-0.00000002,-0.00000000
1.12562814,-0.00000000,-0.00000002,-0.00000000
1.13567839,-0.00000000,-0.00000002,-0.00000000
1.14572864,-0.00000000,-0.00000001,-0.00000000
1.15577889,-0.00000000,-0.00000001,-0.00000000
1.16582915,-0.00000000,-0.00000001,-0.00000000
1.17587940,-0.00000000,-0.00000001,-0.00000000
1.18592965,-0.00000000,-0.00000001,-0.00000000
1.19597990,-0.00000000,-0.00000000,-0.00000000
1.20603015,-0.00000000,-0.00000000,-0.00000000
1.21608040,-0.00000000,-0.00000000,-0.00000000
1.22613065,-0.00000000,-0.00000000,-0.00000000
1.23618090,-0.00000000,-0.00000000,-0.00000000
1.24623116,-0.00000000,-0.00000000,-0.00000000
1.25628141,-0.00000000,-0.00000000,-0.00000000
1.26633166,-0.00000000,-0.00000000,-0.00000000
1.27638191,-0.00000000,-0.00000000,-0.00000000
1.28643216,-0.00000000,-0.00000000,-0.00000000
1.29648241,-0.00000000,-0.00000000,-0.00000000
1.30653266,-0.00000000,-0.00000000,-0.00000000
1.31658291,-0.00000000,-0.00000000,-0.00000000
1.32663317,-0.00000000,-0.00000000,-0.00000000
1.33668342,-0.00000000,-0.00000000,-0.00000000
1.34673367,-0.00000000,-0.00000000,-0.00000000
1.35678392,-0.00000000,-0.00000000,-0.00000000
1.36683417,-0.00000000,-0.00000000,-0.00000000
1.37688442,-0.00000000,-0.00000000,-0.00000000
1.38693467,-0.00000000,-0.00000000,-0.00000000
1.39698492,-0.00000000,-0.00000000,-0.00000000
1.40703518,-0.00000000,-0.00000000,-0.00000000
1.41708543,-0.00000000,-0.00000000,-0.00000000
1.42713568,-0.00000000,-0.00000000,-0.00000000
1.43718593,-0.00000000,-0.00000000,-0.00000000
1.44723618,-0.00000000,-0.00000000,-0.00000000
1.45728643,-0.00000000,-0.00000000,-0.00000000
1.46733668,-0.00000000,-0.00000000,-0.00000000
1.47738693,-0.00000000,-0.00000000,-0.00000000
1.48743719,-0.00000000,-0.00000000,-0.00000000
1.49748744,-0.00000000,-0.00000000,-0.00000000
1.50753769,-0.00000000,-0.00000000,-0.00000000
1.51758794,-0.00000000,-0.00000000,-0.00000000
1.52763819,-0.00000000,-0.00000000,-0.00000000
1.53768844,-0.00000000,-0.00000000,-0.00000000
1.54773869,-0.00000000,-0.00000000,-0.00000000
1.55778894,-0.00000000,-0.00000000,-0.00000000
1.56783920,-0.00000000,-0.00000000,-0.00000000
1.57788945,-0.00000000,-0.00000000,-0.00000000
1.58793970,-0.00000000,-0.00000000,-0.00000000
1.59798995,-0.00000000,-0.00000000,-0.00000000
1.60804020,-0.00000000,-0.00000000,-0.00000000
1.61809045,-0.00000000,-0.00000000,-0.00000000
1.62814070,-0.00000000,-0.00000000,-0.00000000
1.63819095,-0.00000000,-0.00000000,-0.00000000
1.64824121,-0.00000000,-0.00000000,-0.00000000
1.65829146,-0.00000000,-0.00000000,-0.00000000
1.66834171,-0.00000000,-0.00000000,-0.00000000
1.67839196,-0.00000000,-0.00000000,-0.00000000
1.68844221,-0.00000000,-0.00000000,-0.00000000
1.69849246,-0.00000000,-0.00000000,-0.00000000
1.70854271,-0.00000000,-0.00000000,-0.00000000
1.71859296,-0.00000000,-0.00000000,-0.00000000
1.72864322,-0.00000000,-0.00000000,-0.00000000
1.73869347,-0.00000000,-0.00000000,-0.00000000
1.74874372,-0.00000000,-0.00000000,-0.00000000
1.75879397,-0.00000000,-0.00000000,-0.00000000
1.76884422,-0.00000000,-0.00000000,-0.00000000
1.77889447,-0.00000000,-0.00000000,-0.00000000
1.78894472,-0.00000000,-0.00000000,-0.00000000
1.79899497,-0.00000000,-0.00000000,-0.00000000
1.80904523,-0.00000000,-0.00000000,-0.00000000
1.81909548,-0.00000000,-0.00000000,-0.00000000
1.82914573,-0.00000000,-0.00000000,-0.00000000
1.83919598,-0.00000000,-0.00000000,-0.00000000
1.84924623,-0.00000000,-0.00000000,-0.00000000
1.85929648,-0.00000000,-0.00000000,-0.00000000
1.86934673,-0.00000000,-0.00000000,-0.00000000
1.87939698,-0.00000000,-0.00000000,-0.00000000
1.88944724,-0.00000000,-0.00000000,-0.00000000
1.89949749,-0.00000000,-0.00000000,-0.00000000
1.90954774,-0.00000000,-0.00000000,-0.00000000
1.91959799,-0.00000000,-0.00000000,-0.00000000
1.92964824,-0.00000000,-0.00000000,-0.00000000
1.93969849,-0.00000000,-0.00000000,-0.00000000
1.94974874,-0.00000000,-0.00000000,-0.00000000
1.95979899,-0.00000000,-0.00000000,-0.00000000
1.96984925,-0.00000000,-0.00000000,-0.00000000
1.97989950,-0.00000000,-0.00000000,-0.00000000
1.98994975,-0.00000000,-0.00000000,-0.00000000
2.00000000,-0.00000000,-0.00000000,-0.00000000
