timestamp,severity,correction_type,description,source_file,asset,before_value,after_value,details
2026-05-27T23:34:59.946548,warning,order_drop_extra,Found 7 extra assets not in reference order,merged,,,,"{'extra_assets': ['STOCK_F_2', 'STOCK_A_2', 'STOCK_C_2', 'STOCK_B_2', 'STOCK_D_2', 'STOCK_E_2', 'STOCK_G_2']}"
2026-05-27T23:34:59.946560,warning,order_drop_extra,Asset 'STOCK_F_2' not in reference order will be dropped,merged,STOCK_F_2,,,{}
2026-05-27T23:34:59.946565,warning,order_drop_extra,Asset 'STOCK_A_2' not in reference order will be dropped,merged,STOCK_A_2,,,{}
2026-05-27T23:34:59.946570,warning,order_drop_extra,Asset 'STOCK_C_2' not in reference order will be dropped,merged,STOCK_C_2,,,{}
2026-05-27T23:34:59.946574,warning,order_drop_extra,Asset 'STOCK_B_2' not in reference order will be dropped,merged,STOCK_B_2,,,{}
2026-05-27T23:34:59.946578,warning,order_drop_extra,Asset 'STOCK_D_2' not in reference order will be dropped,merged,STOCK_D_2,,,{}
2026-05-27T23:34:59.946581,warning,order_drop_extra,Asset 'STOCK_E_2' not in reference order will be dropped,merged,STOCK_E_2,,,{}
2026-05-27T23:34:59.946585,warning,order_drop_extra,Asset 'STOCK_G_2' not in reference order will be dropped,merged,STOCK_G_2,,,{}
2026-05-27T23:34:59.975170,warning,missing_drop_row,Row 2023-01-16 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-16 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975456,warning,missing_drop_row,Row 2023-01-18 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-18 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975560,warning,missing_drop_row,Row 2023-01-19 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-19 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975661,warning,missing_drop_row,Row 2023-01-20 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-20 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975759,warning,missing_drop_row,Row 2023-01-23 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-23 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975859,warning,missing_drop_row,Row 2023-01-24 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-24 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.975958,warning,missing_drop_row,Row 2023-01-25 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-25 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.976627,warning,missing_drop_row,Row 2023-01-26 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-26 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.978211,warning,missing_drop_row,Row 2023-01-27 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-01-27 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.979097,warning,missing_drop_row,Row 2023-02-01 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-02-01 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.979866,warning,missing_drop_row,Row 2023-02-13 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-02-13 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.980747,warning,missing_drop_row,Row 2023-02-24 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-02-24 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.981033,warning,missing_drop_row,Row 2023-03-01 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-03-01 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.981444,warning,missing_drop_row,Row 2023-03-03 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-03-03 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
