settlement_id,contract_id,show_id,city,show_date,gross_box_office,total_refunds,net_box_office,sponsor_deduction,base_for_split,artist_raw_share,guarantee_amount,is_guarantee_triggered,final_artist_payment,promoter_share,refund_transfers_in,refund_transfers_out
ee1d9dcae719,CTR001,SHOW001,北京,2026-01-15,1200000.0,50000.0,1150000.0,167251.46000000002,982748.54,589649.12,500000.0,False,589649.12,393099.42,0.0,-0.0
225ffc8284d9,CTR001,SHOW002,上海,2026-01-22,800000.0,0.0,800000.0,126783.63,673216.37,403929.82,500000.0,True,500000.0,173216.37,0.0,-0.0
a5880b025cd0,CTR001,SHOW003,广州,2026-01-29,600000.0,80000.0,520000.0,30409.36,489590.64,293754.38,500000.0,True,500000.0,-10409.36,0.0,-0.0
c86dad1f362b,CTR001,SHOW004,成都,2026-02-05,300000.0,50000.0,250000.0,14619.88,235380.12,141228.07,500000.0,True,500000.0,-264619.88,0.0,-0.0
8a60b330efb9,CTR001,SHOW005,深圳,2026-02-12,700000.0,0.0,700000.0,40935.67,659064.33,395438.6,500000.0,True,500000.0,159064.33,0.0,-0.0
551dcf6baf39,CTR002,SHOW006,武汉,2026-03-01,900000.0,30000.0,870000.0,0,870000.0,435000.0,300000.0,False,435000.0,435000.0,0.0,-0.0
4ea0fdd8927f,CTR002,SHOW007,杭州,2026-03-08,500000.0,0.0,500000.0,0,500000.0,250000.0,300000.0,True,300000.0,200000.0,0.0,-0.0
7b35a6bfe4f5,CTR003,SHOW009,南京,2026-04-01,150000.0,200000.0,0.0,0,50000.0,27500.0,200000.0,True,200000.0,-150000.0,50000.0,0.0
c9725ea0e6b8,CTR003,SHOW010,苏州,2026-04-08,800000.0,10000.0,790000.0,28519.86,691480.14,380314.08,200000.0,False,380314.08,311166.06,0.0,70000.0
a0a517394e4a,CTR003,SHOW011,无锡,2026-04-15,600000.0,5000.0,595000.0,21480.14,573519.86,315435.92,200000.0,False,315435.92,258083.94,0.0,-0.0
b663040dbf9a,CTR003,SHOW012,常州,2026-04-22,100000.0,120000.0,0.0,0,20000.0,11000.0,200000.0,True,200000.0,-180000.0,20000.0,0.0
