名称,星期,节次,开始时间,结束时间
周一1-2节,周一,1-2,08:00,09:40
周一3-4节,周一,3-4,10:00,11:40
周一5-6节,周一,5-6,14:00,15:40
周一7-8节,周一,7-8,16:00,17:40
周一1-4节,周一,1-4,08:00,11:40
周二1-2节,周二,1-2,08:00,09:40
周二3-4节,周二,3-4,10:00,11:40
周二5-6节,周二,5-6,14:00,15:40
周二7-8节,周二,7-8,16:00,17:40
周二1-4节,周二,1-4,08:00,11:40
周三1-2节,周三,1-2,08:00,09:40
周三3-4节,周三,3-4,10:00,11:40
周三5-6节,周三,5-6,14:00,15:40
周三7-8节,周三,7-8,16:00,17:40
周三1-4节,周三,1-4,08:00,11:40
周四1-2节,周四,1-2,08:00,09:40
周四3-4节,周四,3-4,10:00,11:40
周四5-6节,周四,5-6,14:00,15:40
周四7-8节,周四,7-8,16:00,17:40
周四1-4节,周四,1-4,08:00,11:40
周五1-2节,周五,1-2,08:00,09:40
周五3-4节,周五,3-4,10:00,11:40
周五5-6节,周五,5-6,14:00,15:40
周五7-8节,周五,7-8,16:00,17:40
周五1-4节,周五,1-4,08:00,11:40
