资产名称,来源文件,当前顺序,备注,原始顺序_returns_high_corr.csv,原始顺序_returns_good.csv,原始顺序_returns_with_missing.csv
高度相关1,returns_high_corr.csv,1,,1.0,,
高度相关2,returns_high_corr.csv,2,,2.0,,
高度相关3,returns_high_corr.csv,3,,3.0,,
高度相关4,returns_high_corr.csv,4,,4.0,,
高度相关5,returns_high_corr.csv,5,,5.0,,
资产1,returns_good.csv,6,,,1.0,
资产2,returns_good.csv,7,,,2.0,
资产3,returns_good.csv,8,,,3.0,
资产4,returns_good.csv,9,,,4.0,
资产5,returns_good.csv,10,,,5.0,
资产6,returns_good.csv,11,,,6.0,
资产7,returns_good.csv,12,,,7.0,
资产8,returns_good.csv,13,,,8.0,
资产10,returns_with_missing.csv,14,,,,1.0
资产11,returns_with_missing.csv,15,,,,2.0
资产12,returns_with_missing.csv,16,,,,3.0
资产13,returns_with_missing.csv,17,,,,4.0
资产14,returns_with_missing.csv,18,,,,5.0
资产15,returns_with_missing.csv,19,,,,6.0
