,高度相关1,高度相关2,高度相关3,高度相关4,高度相关5,资产1,资产2,资产3,资产4,资产5,资产6,资产7,资产8,资产11,资产12,资产13,资产14
高度相关1,0.00042229259856012914,0.0004221629650984755,0.00042848611463499275,0.0004223218973586829,0.00042171609496914115,1.223553907002301e-05,-2.948826324509328e-05,-3.1948450586284502e-06,-4.8642402220692916e-05,3.4744467581695576e-05,3.279874895306656e-05,-1.892370418297101e-05,2.366046627756892e-06,-4.503074732950927e-05,7.686703973800508e-06,-4.594927658025762e-06,-2.9885491401925986e-05
高度相关2,0.0004221629650984755,0.00043075780744665417,0.0004319585860789518,0.00042722969067848706,0.0004258150133748486,1.4075918651355673e-05,-3.135375927917118e-05,-4.971271987337918e-06,-4.7317706234308686e-05,2.997579884772701e-05,2.747850784678389e-05,-1.8111952540892154e-05,1.837150293169997e-06,-4.777142222683652e-05,6.523586292016395e-06,-1.1045790997680079e-05,-2.7617049529324594e-05
高度相关3,0.00042848611463499275,0.0004319585860789518,0.000442429929960334,0.0004326780104944959,0.00043161868274594077,1.2020729375445508e-05,-3.0165360639951584e-05,-2.973922290417905e-06,-5.204119506526032e-05,3.337276402518636e-05,2.543062942204627e-05,-1.9249853805556635e-05,-3.610199491231348e-06,-5.126862718573458e-05,9.055880909019409e-06,-4.563927303134978e-06,-2.6274896762751774e-05
高度相关4,0.0004223218973586829,0.00042722969067848706,0.0004326780104944959,0.00043094344860099173,0.0004260186297335537,1.2995092417467649e-05,-3.39553504144154e-05,-5.691423581087017e-06,-5.3989086509542925e-05,3.324480231235789e-05,2.5636316720213353e-05,-1.5069937412704012e-05,1.7671231411045173e-06,-4.619712784726642e-05,4.870055074433707e-06,-7.75581610788219e-06,-3.030736232584744e-05
高度相关5,0.00042171609496914115,0.0004258150133748486,0.00043161868274594077,0.0004260186297335537,0.00042820032597790184,1.4328153301983972e-05,-3.5483646449214504e-05,-6.241123180216159e-06,-5.198050290446394e-05,3.2502798378142936e-05,3.078722326043974e-05,-1.424809750856877e-05,3.032134693912975e-06,-4.596464028099572e-05,7.854660166771626e-06,-4.791454982723937e-06,-3.012760207747234e-05
资产1,1.223553907002301e-05,1.4075918651355673e-05,1.2020729375445508e-05,1.2995092417467649e-05,1.4328153301983972e-05,0.00031950413349781086,1.7352325501759334e-06,-1.7924327514560359e-06,-6.002077172969999e-06,-7.302555792696375e-10,-8.26975304676328e-06,-2.4098961745549304e-05,-4.766202642311106e-05,-4.5867273488138806e-05,1.6667575715077514e-05,2.3101186393452347e-05,-1.8787600765778597e-05
资产2,-2.948826324509328e-05,-3.135375927917118e-05,-3.0165360639951584e-05,-3.39553504144154e-05,-3.5483646449214504e-05,1.7352325501759334e-06,0.00038687759523165584,-9.999582781267526e-06,1.3039350758806238e-05,2.7568238042383356e-05,-3.555368553569226e-05,1.2896293993248148e-06,3.4107676227194714e-05,2.3917606447652558e-05,-3.992123610205665e-06,3.0090210753702523e-05,3.9203063258925405e-05
资产3,-3.1948450586284502e-06,-4.971271987337918e-06,-2.973922290417905e-06,-5.691423581087017e-06,-6.241123180216159e-06,-1.7924327514560359e-06,-9.999582781267526e-06,0.00036691478507482457,-1.1491084600993146e-05,4.3191971347146985e-06,-3.3643480072159797e-05,7.5087846146677325e-06,1.9520969282458054e-06,-6.260436959578939e-06,-6.147965617279572e-06,-2.2642597530647738e-05,-2.1461365985937394e-05
资产4,-4.8642402220692916e-05,-4.7317706234308686e-05,-5.204119506526032e-05,-5.3989086509542925e-05,-5.198050290446394e-05,-6.002077172969999e-06,1.3039350758806238e-05,-1.1491084600993146e-05,0.00040694625381728944,-5.5665580541652975e-05,-1.1760875340329384e-05,3.7036000957348197e-05,1.6097794187032207e-05,6.004621837113733e-06,2.1102792896250056e-05,-2.3257821864277495e-05,2.4515036243689644e-05
资产5,3.4744467581695576e-05,2.997579884772701e-05,3.337276402518636e-05,3.324480231235789e-05,3.2502798378142936e-05,-7.302555792696375e-10,2.7568238042383356e-05,4.3191971347146985e-06,-5.5665580541652975e-05,0.00035054976499751024,-2.0943063166011527e-05,-2.459861330632216e-05,2.2187881441982394e-05,-1.2380654424926057e-07,-5.334683413034957e-05,2.3204097730716057e-05,-3.02275983831877e-05
