From,To,Common Tones,Common Tone Count,Difficulty Score,Modulation Type,Is Enharmonic,Needs Confirmation
C major,C minor,"C, D, F, G",4,1.71,common_tone,False,False
C major,C dorian,"C, D, F, G, A",5,1.14,common_tone,False,False
C major,C phrygian,"C, F, G",3,2.29,common_tone,False,False
C major,C mixolydian,"C, D, E, F, G, A",6,0.57,common_tone,False,False
C major,C locrian,"C, F",2,4.36,nearby_key,False,False
C major,C harmonic_minor,"C, D, F, G, B",5,1.14,common_tone,False,False
C major,C melodic_minor,"C, D, F, G, A, B",6,0.57,common_tone,False,False
C major,C# major,"C, F",2,5.36,nearby_key,False,False
C major,C# minor,"A, B, E",3,6.79,common_tone,False,False
C major,C# dorian,"B, E",2,7.36,nearby_key,False,False
C major,C# phrygian,"A, D, B, E",4,6.21,common_tone,False,False
C major,C# lydian,"C, F, G",3,3.79,common_tone,False,False
C major,C# mixolydian,"B, F",2,7.36,nearby_key,False,False
C major,C# locrian,"D, E, G, A, B",5,4.14,common_tone,False,False
C major,C# harmonic_minor,"C, A, E",3,5.29,common_tone,False,False
C major,C# melodic_minor,"C, E",2,5.86,nearby_key,False,False
C major,D major,"D, E, G, A, B",5,3.14,closely_related,False,False
C major,D minor,"C, D, E, F, G, A",6,3.57,common_tone,False,False
C major,D dorian,"C, D, E, F, G, A, B",7,3.0,common_tone,False,False
C major,D phrygian,"C, D, F, G, A",5,4.14,common_tone,False,False
C major,D lydian,"A, D, B, E",4,4.71,common_tone,False,False
C major,D mixolydian,"C, D, E, G, A, B",6,3.57,common_tone,False,False
C major,D locrian,"C, D, F, G",4,4.71,common_tone,False,False
C major,D harmonic_minor,"D, E, F, G, A",5,4.14,common_tone,False,False
C major,D melodic_minor,"D, E, F, G, A, B",6,3.57,common_tone,False,False
C major,D# major,"C, D, F, G",4,4.71,closely_related,False,False
C major,D# minor,"B, F",2,10.36,distant_modulation,False,False
C major,D# dorian,"C, F",2,8.86,distant_modulation,False,False
C major,D# phrygian,"B, E",2,10.36,distant_modulation,False,False
C major,D# lydian,"C, D, F, G, A",5,5.64,common_tone,False,False
C major,D# mixolydian,"C, F, G",3,6.79,common_tone,False,False
C major,D# locrian,"A, B, E",3,8.29,common_tone,False,False
C major,D# harmonic_minor,"D, B, F",3,9.79,common_tone,False,False
C major,D# melodic_minor,"C, D, F",3,8.29,common_tone,False,False
C major,E major,"A, B, E",3,6.29,common_tone,False,False
C major,E minor,"C, D, E, G, A, B",6,6.57,common_tone,False,False
C major,E dorian,"D, E, G, A, B",5,7.14,common_tone,False,False
C major,E phrygian,"C, D, E, F, G, A, B",7,6.0,common_tone,False,False
C major,E lydian,"B, E",2,8.86,distant_modulation,False,False
C major,E mixolydian,"A, D, B, E",4,7.71,common_tone,False,False
C major,E locrian,"C, D, E, F, G, A",6,6.57,common_tone,False,False
C major,E harmonic_minor,"C, E, G, A, B",5,7.14,common_tone,False,False
C major,E melodic_minor,"A, B, E, G",4,7.71,common_tone,False,False
C major,F major,"C, D, E, F, G, A",6,5.57,diatonic_common_tone,False,False
C major,F minor,"C, F, G",3,9.79,common_tone,False,False
C major,F dorian,"C, D, F, G",4,9.21,common_tone,False,False
C major,F phrygian,"C, F",2,10.36,distant_modulation,False,False
C major,F lydian,"C, D, E, F, G, A, B",7,7.5,common_tone,False,False
C major,F mixolydian,"C, D, F, G, A",5,8.64,common_tone,False,False
C major,F locrian,"B, F",2,10.36,distant_modulation,False,False
C major,F harmonic_minor,"C, E, F, G",4,9.21,common_tone,False,False
C major,F melodic_minor,"C, D, E, F, G",5,8.64,common_tone,False,False
C major,F# major,"B, F",2,11.86,distant_modulation,False,False
C major,F# minor,"A, D, B, E",4,13.71,common_tone,False,False
C major,F# dorian,"A, B, E",3,14.29,common_tone,False,False
C major,F# phrygian,"D, E, G, A, B",5,11.64,common_tone,False,False
C major,F# lydian,"C, F",2,13.36,distant_modulation,False,False
C major,F# mixolydian,"B, E",2,14.86,distant_modulation,False,False
C major,F# locrian,"C, D, E, G, A, B",6,9.57,common_tone,False,False
C major,F# harmonic_minor,"A, D, B, F",4,13.71,common_tone,False,False
C major,F# melodic_minor,"A, B, F",3,14.29,common_tone,False,False
C major,G minor,"C, D, F, G, A",5,8.64,common_tone,False,False
C major,G dorian,"C, D, E, F, G, A",6,8.07,common_tone,False,False
C major,G phrygian,"C, D, F, G",4,9.21,common_tone,False,False
C major,G lydian,"D, E, G, A, B",5,8.64,common_tone,False,False
C major,G mixolydian,"C, D, E, F, G, A, B",7,7.5,common_tone,False,False
C major,G locrian,"C, F, G",3,9.79,common_tone,False,False
C major,G harmonic_minor,"C, A, D, G",4,9.21,common_tone,False,False
C major,G melodic_minor,"C, D, E, G, A",5,8.64,common_tone,False,False
C major,G# major,"C, F, G",3,6.29,common_tone,False,False
C major,G# minor,"B, E",2,11.86,distant_modulation,False,False
C major,G# dorian,"B, F",2,11.86,distant_modulation,False,False
C major,G# phrygian,"A, B, E",3,11.29,common_tone,False,False
C major,G# lydian,"C, D, F, G",4,7.71,common_tone,False,False
C major,G# mixolydian,"C, F",2,10.36,distant_modulation,False,False
C major,G# locrian,"A, D, B, E",4,9.21,common_tone,False,False
C major,G# harmonic_minor,"B, E, G",3,9.79,common_tone,False,False
C major,G# melodic_minor,"B, F, G",3,9.79,common_tone,False,False
C major,A major,"A, D, B, E",4,4.71,closely_related,False,False
C major,A minor,"C, D, E, F, G, A, B",7,4.5,common_tone,False,False
C major,A dorian,"C, D, E, G, A, B",6,5.07,common_tone,False,False
C major,A phrygian,"C, D, E, F, G, A",6,5.07,common_tone,False,False
C major,A lydian,"A, B, E",3,6.79,common_tone,False,False
C major,A mixolydian,"D, E, G, A, B",5,5.64,common_tone,False,False
C major,A locrian,"C, D, F, G, A",5,5.64,common_tone,False,False
C major,A harmonic_minor,"C, D, E, F, A, B",6,5.07,common_tone,False,False
C major,A melodic_minor,"C, D, E, A, B",5,5.64,common_tone,False,False
C major,A# major,"C, D, F, G, A",5,3.14,closely_related,False,False
C major,A# minor,"C, F",2,5.86,nearby_key,False,False
C major,A# dorian,"C, F, G",3,5.29,common_tone,False,False
C major,A# phrygian,"B, F",2,7.36,nearby_key,False,False
C major,A# lydian,"C, D, E, F, G, A",6,3.57,common_tone,False,False
C major,A# mixolydian,"C, D, F, G",4,4.71,common_tone,False,False
C major,A# locrian,"B, E",2,7.36,nearby_key,False,False
C major,A# harmonic_minor,"C, A, F",3,5.29,common_tone,False,False
C major,A# melodic_minor,"C, A, F, G",4,4.71,common_tone,False,False
C major,B major,"B, E",2,5.36,nearby_key,False,False
C major,B minor,"D, E, G, A, B",5,2.64,common_tone,False,False
C major,B dorian,"A, D, B, E",4,4.71,common_tone,False,False
C major,B phrygian,"C, D, E, G, A, B",6,2.07,common_tone,False,False
C major,B lydian,"B, F",2,5.86,nearby_key,False,False
C major,B mixolydian,"A, B, E",3,5.29,common_tone,False,False
C major,B locrian,"C, D, E, F, G, A, B",7,1.5,common_tone,False,False
C major,B harmonic_minor,"D, B, E, G",4,3.21,common_tone,False,False
C major,B melodic_minor,"D, B, E",3,5.29,common_tone,False,False
C major,G major,"C, D, E, G, A, B",6,5.57,diatonic_common_tone,False,False
C major,C lydian,"C, D, E, G, A, B",6,0.57,common_tone,False,False
C minor,C major,"C, D, F, G",4,1.71,common_tone,False,False
C minor,C dorian,"C, D, D#, F, G, A#",6,0.57,common_tone,False,False
C minor,C phrygian,"C, D#, F, G, G#, A#",6,0.57,common_tone,False,False
C minor,C lydian,"C, D, G",3,2.29,common_tone,False,False
C minor,C mixolydian,"C, D, F, G, A#",5,1.14,common_tone,False,False
C minor,C locrian,"C, D#, F, G#, A#",5,2.64,common_tone,False,False
C minor,C harmonic_minor,"C, D, D#, F, G, G#",6,0.57,common_tone,False,False
C minor,C melodic_minor,"C, D, D#, F, G",5,1.14,common_tone,False,False
C minor,C# major,"C, D#, F, G#, A#",5,2.64,common_tone,False,False
C minor,C# minor,"G#, D#",2,5.36,nearby_key,False,False
C minor,C# dorian,"G#, A#, D#",3,5.29,common_tone,False,False
C minor,C# phrygian,"G#, D",2,5.86,nearby_key,False,False
C minor,C# lydian,"C, D#, F, G, G#, A#",6,2.07,common_tone,False,False
C minor,C# mixolydian,"G#, A#, D#, F",4,4.71,common_tone,False,False
C minor,C# locrian,"D, G",2,5.86,nearby_key,False,False
C minor,C# harmonic_minor,"C, G#, D#",3,3.79,common_tone,False,False
C minor,C# melodic_minor,"C, G#, A#, D#",4,3.21,common_tone,False,False
C minor,D major,"D, G",2,5.86,nearby_key,False,False
C minor,D minor,"C, D, F, G, A#",5,3.14,closely_related,False,False
C minor,D dorian,"C, D, F, G",4,4.71,common_tone,False,False
C minor,D phrygian,"C, D, D#, F, G, A#",6,3.57,common_tone,False,False
C minor,D lydian,"G#, D",2,7.36,nearby_key,False,False
C minor,D mixolydian,"C, D, G",3,5.29,common_tone,False,False
C minor,D locrian,"C, D, D#, F, G, G#, A#",7,3.0,common_tone,False,False
C minor,D harmonic_minor,"D, A#, F, G",4,4.71,common_tone,False,False
C minor,D melodic_minor,"D, F, G",3,5.29,common_tone,False,False
C minor,D# major,"C, D, D#, F, G, G#, A#",7,4.5,common_tone,False,False
C minor,D# minor,"G#, A#, D#, F",4,4.71,closely_related,False,False
C minor,D# dorian,"C, D#, F, G#, A#",5,5.64,common_tone,False,False
C minor,D# phrygian,"G#, A#, D#",3,6.79,common_tone,False,False
C minor,D# lydian,"C, D, D#, F, G, A#",6,5.07,common_tone,False,False
C minor,D# mixolydian,"C, D#, F, G, G#, A#",6,5.07,common_tone,False,False
C minor,D# locrian,"G#, D#",2,8.86,distant_modulation,False,False
C minor,D# harmonic_minor,"D, D#, F, G#, A#",5,5.64,common_tone,False,False
C minor,D# melodic_minor,"C, D, D#, F, G#, A#",6,5.07,common_tone,False,False
C minor,E major,"G#, D#",2,11.86,distant_modulation,False,False
C minor,E minor,"C, D, G",3,6.29,common_tone,False,False
C minor,E dorian,"D, G",2,10.36,distant_modulation,False,False
C minor,E phrygian,"C, D, F, G",4,7.71,common_tone,False,False
C minor,E lydian,"G#, A#, D#",3,11.29,common_tone,False,False
C minor,E mixolydian,"G#, D",2,11.86,distant_modulation,False,False
C minor,E locrian,"C, D, F, G, A#",5,7.14,common_tone,False,False
C minor,E harmonic_minor,"C, D#, G",3,8.29,common_tone,False,False
C minor,E melodic_minor,"D#, G",2,10.36,distant_modulation,False,False
C minor,F major,"C, D, F, G, A#",5,8.64,common_tone,False,False
C minor,F minor,"C, D#, F, G, G#, A#",6,5.57,diatonic_common_tone,False,False
C minor,F dorian,"C, D, D#, F, G, G#, A#",7,7.5,common_tone,False,False
C minor,F phrygian,"C, D#, F, G#, A#",5,8.64,common_tone,False,False
C minor,F lydian,"C, D, F, G",4,9.21,common_tone,False,False
C minor,F mixolydian,"C, D, D#, F, G, A#",6,8.07,common_tone,False,False
C minor,F locrian,"G#, A#, D#, F",4,10.71,common_tone,False,False
C minor,F harmonic_minor,"C, F, G, G#, A#",5,8.64,common_tone,False,False
C minor,F melodic_minor,"C, D, F, G, G#, A#",6,8.07,common_tone,False,False
C minor,F# major,"G#, A#, D#, F",4,13.71,common_tone,False,False
C minor,F# minor,"G#, D",2,11.86,distant_modulation,False,False
C minor,F# dorian,"G#, D#",2,14.86,distant_modulation,False,False
C minor,F# phrygian,"D, G",2,13.36,distant_modulation,False,False
C minor,F# lydian,"C, D#, F, G#, A#",5,11.64,common_tone,False,False
C minor,F# mixolydian,"G#, A#, D#",3,14.29,common_tone,False,False
C minor,F# locrian,"C, D, G",3,11.29,common_tone,False,False
C minor,F# harmonic_minor,"G#, D, F",3,14.29,common_tone,False,False
C minor,F# melodic_minor,"G#, D#, F",3,14.29,common_tone,False,False
C minor,G major,"C, D, G",3,9.79,common_tone,False,False
C minor,G minor,"C, D, D#, F, G, A#",6,5.57,diatonic_common_tone,False,False
C minor,G dorian,"C, D, F, G, A#",5,8.64,common_tone,False,False
C minor,G phrygian,"C, D, D#, F, G, G#, A#",7,7.5,common_tone,False,False
C minor,G lydian,"D, G",2,10.36,distant_modulation,False,False
C minor,G mixolydian,"C, D, F, G",4,9.21,common_tone,False,False
C minor,G locrian,"C, D#, F, G, G#, A#",6,8.07,common_tone,False,False
C minor,G harmonic_minor,"C, D, D#, G, A#",5,8.64,common_tone,False,False
C minor,G melodic_minor,"C, D, A#, G",4,9.21,common_tone,False,False
C minor,G# major,"C, D#, F, G, G#, A#",6,6.57,common_tone,False,False
C minor,G# minor,"G#, A#, D#",3,6.29,common_tone,False,False
C minor,G# dorian,"G#, A#, D#, F",4,7.71,common_tone,False,False
C minor,G# phrygian,"G#, D#",2,8.86,distant_modulation,False,False
C minor,G# lydian,"C, D, D#, F, G, G#, A#",7,6.0,common_tone,False,False
C minor,G# mixolydian,"C, D#, F, G#, A#",5,7.14,common_tone,False,False
C minor,G# locrian,"G#, D",2,8.86,distant_modulation,False,False
C minor,G# harmonic_minor,"G#, A#, D#, G",4,7.71,common_tone,False,False
C minor,G# melodic_minor,"D#, F, G, G#, A#",5,7.14,common_tone,False,False
C minor,A major,"G#, D",2,10.36,distant_modulation,False,False
C minor,A minor,"C, D, F, G",4,4.71,closely_related,False,False
C minor,A dorian,"C, D, G",3,6.79,common_tone,False,False
C minor,A phrygian,"C, D, F, G, A#",5,5.64,common_tone,False,False
C minor,A lydian,"G#, D#",2,10.36,distant_modulation,False,False
C minor,A mixolydian,"D, G",2,8.86,distant_modulation,False,False
C minor,A locrian,"C, D, D#, F, G, A#",6,5.07,common_tone,False,False
C minor,A harmonic_minor,"C, G#, D, F",4,7.71,common_tone,False,False
C minor,A melodic_minor,"C, G#, D",3,8.29,common_tone,False,False
C minor,A# major,"C, D, D#, F, G, A#",6,3.57,common_tone,False,False
C minor,A# minor,"C, D#, F, G#, A#",5,3.14,closely_related,False,False
C minor,A# dorian,"C, D#, F, G, G#, A#",6,3.57,common_tone,False,False
C minor,A# phrygian,"G#, A#, D#, F",4,4.71,common_tone,False,False
C minor,A# lydian,"C, D, F, G, A#",5,4.14,common_tone,False,False
C minor,A# mixolydian,"C, D, D#, F, G, G#, A#",7,3.0,common_tone,False,False
C minor,A# locrian,"G#, A#, D#",3,6.79,common_tone,False,False
C minor,A# harmonic_minor,"C, A#, D#, F",4,4.71,common_tone,False,False
C minor,A# melodic_minor,"C, D#, F, G, A#",5,4.14,common_tone,False,False
C minor,B major,"G#, A#, D#",3,6.79,common_tone,False,False
C minor,B minor,"D, G",2,5.36,nearby_key,False,False
C minor,B dorian,"G#, D",2,7.36,nearby_key,False,False
C minor,B phrygian,"C, D, G",3,3.79,common_tone,False,False
C minor,B lydian,"G#, A#, D#, F",4,6.21,common_tone,False,False
C minor,B mixolydian,"G#, D#",2,7.36,nearby_key,False,False
C minor,B locrian,"C, D, F, G",4,3.21,common_tone,False,False
C minor,B harmonic_minor,"D, A#, G",3,5.29,common_tone,False,False
C minor,B melodic_minor,"G#, D, A#",3,6.79,common_tone,False,False
C dorian,C major,"C, D, F, G, A",5,1.14,common_tone,False,False
C dorian,C minor,"C, D, D#, F, G, A#",6,0.57,common_tone,False,False
C dorian,C phrygian,"C, D#, F, G, A#",5,1.14,common_tone,False,False
C dorian,C lydian,"C, A, D, G",4,1.71,common_tone,False,False
C dorian,C mixolydian,"C, D, F, G, A, A#",6,0.57,common_tone,False,False
