园区电费预付摊销表 - 2026-05
"公摊版本: 公共照明:V1,电梯使用费:V1,中央空调:V1"
生成时间: 2026-05-29T20:10:40.338499

企业编码,企业名称,楼层,房间,面积,电表用量(度),电费(元),公摊(元),合计(元),抵扣预缴,期末余额,状态,变动记录
ENT001,科技创新有限公司,A栋1层,101室,200.0,2000.0,2400.0,766.6700000000001,3166.67,0.0,-4233.34,reviewed,total_amount:2900.0->3166.67; status:draft->reviewed
ENT002,环球贸易有限公司,A栋2层,201室,300.0,3500.0,4200.0,1150.0,5350.0,0.0,-7650.0,reviewed,total_amount:4950.0->5350.0; status:draft->reviewed
ENT003,智慧咨询服务有限公司,B栋1层,101室,100.0,50.0,60.0,383.33000000000004,443.33,443.33,1246.67,draft,total_amount:310.0->443.33

合计,,,,,,6660.0,2300.0,8960.0,,,,

--- 余额账本追溯 ---
企业编码,企业名称,交易类型,金额,余额,备注,时间
ENT001,科技创新有限公司,prepayment,5000.0,5000.0,预缴入账,2026-05-29 12:09:12
ENT001,科技创新有限公司,amortization,-2900.0,2100.0,2026-05电费摊销,2026-05-29 12:09:22
ENT001,科技创新有限公司,amortization,-3166.67,-1066.67,2026-05电费摊销,2026-05-29 12:09:25
ENT001,科技创新有限公司,amortization,-3166.67,-4233.34,2026-05电费摊销,2026-05-29 12:09:29
ENT002,环球贸易有限公司,prepayment,8000.0,8000.0,预缴入账,2026-05-29 12:09:12
ENT002,环球贸易有限公司,amortization,-4950.0,3050.0,2026-05电费摊销,2026-05-29 12:09:22
ENT002,环球贸易有限公司,amortization,-5350.0,-2300.0,2026-05电费摊销,2026-05-29 12:09:25
ENT002,环球贸易有限公司,amortization,-5350.0,-7650.0,2026-05电费摊销,2026-05-29 12:09:29
ENT003,智慧咨询服务有限公司,prepayment,2000.0,2000.0,预缴入账,2026-05-29 12:09:13
ENT003,智慧咨询服务有限公司,amortization,-310.0,1690.0,2026-05电费摊销,2026-05-29 12:09:22
ENT003,智慧咨询服务有限公司,amortization,-443.33,1246.67,2026-05电费摊销,2026-05-29 12:09:25
