学生ID,颜色编号,颜色标签,置信度,回溯次数,是否覆盖,覆盖原因,约束数量,冲突违反数量,分配时间
S002,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.122691
S012,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.122739
S047,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.122765
S049,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.122788
S003,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122810
S007,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122850
S015,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122881
S018,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122910
S046,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.122940
S048,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122959
S050,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.122988
S003|S007,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.123239
S015|S018,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.123301
S047|S049,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.123339
S046|S050,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.123372
S046|S048,1,二班,1.0,0,否,,0,0,2026-05-31T02:51:26.123402
S004,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123433
S006,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123451
S008,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123468
S009,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123486
S011,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123503
S013,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123520
S014,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123538
S016,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123554
S017,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123570
S019,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123585
S020,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123601
S029,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123617
S030,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123634
S032,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123651
S033,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123668
S034,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123684
S035,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123700
S036,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123716
S037,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123732
S038,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123749
S040,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123765
S041,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123781
S042,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123797
S043,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123812
S044,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123828
S045,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123844
S051,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123861
S052,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123879
S053,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123895
S054,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123911
S055,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123927
S056,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123943
S057,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123959
S058,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123974
S059,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.123991
S060,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.124007
S005|S010,0,一班,1.0,0,否,,0,0,2026-05-31T02:51:26.124024
S010,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124951
S028,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124956
S021,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124960
S022,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124963
S026,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124966
S039,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124969
S027,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124971
S005,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124974
S001,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124977
S025,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124980
S024,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124983
S023,2,隔离组-3,0.3,0,是,冲突闭环，已隔离等待人工复核,1,0,2026-05-31T02:51:26.124986
