区间序号,x_i,x_i+1,f(x_i),f(x_i+1),步长h,梯形面积
1,0.00000000,0.12500000,1.00000000,1.13314845,0.12500000,0.1333217783
2,0.12500000,0.25000000,1.13314845,1.28402542,0.12500000,0.1510733669
3,0.25000000,0.37500000,1.28402542,1.45499141,0.12500000,0.1711885520
4,0.37500000,0.50000000,1.45499141,1.64872127,0.12500000,0.1939820428
5,0.50000000,0.62500000,1.64872127,1.86824596,0.12500000,0.2198104518
6,0.62500000,0.75000000,1.86824596,2.11700002,0.12500000,0.2490778734
7,0.75000000,0.87500000,2.11700002,2.39887529,0.12500000,0.2822422069
8,0.87500000,1.00000000,2.39887529,2.71828183,0.12500000,0.3198223202

梯形公式总和,,,,,,1.7205185922
精确值,,,,,,1.7182818285
绝对误差,,,,,,2.24e-03
