sample_id,diameter,diameter_unit,particle_density,density_unit,liquid_density,liquid_density_unit,viscosity,temperature,source
S001,50,μm,2650,kg/m³,998.2,kg/m³,0,20,实验组A
S002,100,μm,2650,kg/m³,998.2,kg/m³,0,25,实验组A
S003,200,μm,2650,kg/m³,998.2,kg/m³,0,20,实验组A
S004,10,μm,2650,kg/m³,998.2,kg/m³,0,20,实验组A
S005,500,μm,2650,kg/m³,998.2,kg/m³,0,30,实验组A
S006,0.05,μm,2650,kg/m³,998.2,kg/m³,0,20,边界测试组
S007,1200,μm,2650,kg/m³,998.2,kg/m³,0,20,边界测试组
S008,950,μm,2650,kg/m³,998.2,kg/m³,0,20,边界测试组
S009,0.12,μm,2650,kg/m³,998.2,kg/m³,0,20,边界测试组
S010,100,,2650,kg/m³,998.2,kg/m³,0,20,异常测试组
S011,100,um,2650,kg/m³,998.2,kg/m³,0,20,异常测试组
S012,100,毫米,2650,kg/m³,998.2,kg/m³,0,20,异常测试组
S013,-50,μm,2650,kg/m³,998.2,kg/m³,0,20,异常测试组
S014,100,μm,2650,kg/m³,998.2,kg/m³,0,,异常测试组
S015,100,μm,2650,kg/m³,998.2,kg/m³,0,,异常测试组
S016,75,μm,2650,kg/m³,998.2,kg/m³,0,22,实验组B
S017,75,μm,2650,kg/m³,998.2,kg/m³,0,22,实验组B
S018,150,μm,2650,kg/m³,998.2,kg/m³,0,25,实验组B
S019,250,μm,2650,kg/m³,998.2,kg/m³,0,20,实验组B
S020,800,μm,2650,kg/m³,998.2,kg/m³,0,20,实验组B
