样本编号,沉降速度(m/s),沉降1米时间(s),沉降1米时间(分钟),雷诺数,流态,粒径(μm),颗粒密度(kg/m³),液体密度(kg/m³),温度(°C),备注
S002,1.011496e-02,98.86,1.65,1.1345,紊流,100.00,2650.00,998.20,25.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S003,3.593737e-02,27.83,0.46,7.1602,紊流,200.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S005,2.820273e-01,3.55,0.06,176.3907,紊流,500.00,2650.00,998.20,30.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S006,2.246085e-09,445219060.44,7420317.67,0.0000,层流,0.05,2650.00,998.20,20.0,
S007,1.293745e+00,0.77,0.01,1546.6065,紊流,1200.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S008,8.108368e-01,1.23,0.02,767.3737,紊流,950.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S012,8.984341e+03,0.00,0.00,895026896.5064,紊流,100000.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S018,2.275865e-02,43.94,0.73,3.8288,紊流,150.00,2650.00,998.20,25.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S019,5.615213e-02,17.81,0.30,13.9848,紊流,250.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
S020,5.749978e-01,1.74,0.03,458.2538,紊流,800.00,2650.00,998.20,20.0,警告：雷诺数大于1，Stokes定律假设不成立，结果可能不准确
