# 滑雪场雪道数据样例
# 说明: 本文件包含各种数据质量问题用于测试系统
# 数据格式: 区域,坡段编号,坡度,气温,表面类型,摩擦系数,事故点,事故数,备注

区域,坡段编号,坡度,气温,表面类型,摩擦系数,事故点,事故数,备注

# 初级雪道区 - 正常数据
初级道,A001,8,-5,packed,0.06,,0,正常雪况
初级道,A002,10,-3,packed,0.05,弯道入口,1,曾发生过轻微碰撞

# 中级雪道区 - 含气温突变
中级道,B001,18,-2,ice,0.02,陡坡底部,3,结冰严重，需关注
中级道,B002,20,4,packed,0.05,,0,气温升高
中级道,B003,22,-8,crust,0.04,,0,有薄壳层

# 高级雪道区 - 含缺失数据和重复数据
高级道,C001,30,-4,ice,0.015,转弯处,5,事故高发区
高级道,C002,35,,packed,0.03,,0,气温缺失
高级道,C001,30,-4,ice,0.015,转弯处,5,重复的记录
高级道,C003,28,-2,ice,,陡坡顶部,2,摩擦系数缺失

# 专家雪道区 - 极端条件
专家道,D001,40,-10,ice,0.018,,0,极陡冰面
专家道,D002,42,-1,ice,0.022,悬崖边,4,高危区域

# 测试坏数据
坏数据行，缺少列
,,15,-3,packed,0.05,,0,缺少区域和段号
测试区,X999,999,-5,packed,0.05,,0,坡度超出范围
测试区,X888,20,100,packed,0.05,,0,气温超出范围

# 空行测试（上面是空行）

# 更多缺失摩擦系数的记录
练习区,E001,12,-6,packed,,起点,1,缺少摩擦系数
练习区,E002,15,-4,crust,,中间,0,缺少摩擦系数
练习区,E003,10,-8,packed,,终点,0,缺少摩擦系数

# 更多正常数据
休闲道,F001,5,-7,powder,0.08,,0,粉雪区域
休闲道,F002,7,-5,powder,0.09,,0,雪质良好
