trace_id,坡段编号,行号,区域,摩擦系数,坡度,气温,估算速度(km/h),安全速度(km/h),风险等级,风险分区,结冰风险分,是否有事故,事故数,原始数据链接
A001-0001,A001,8,初级道,0.06,8.0,-5.0,33.8,64.8,MEDIUM,初级-R3,0.5,否,0,raw_data#row_8
A002-0002,A002,9,初级道,0.05,10.0,-3.0,42.2,64.8,MEDIUM,初级-R3,0.55,是,1,raw_data#row_9
B001-0003,B001,12,中级道,0.02,18.0,-2.0,64.4,12.8,CRITICAL,中级-R1,0.8,是,3,raw_data#row_12
B002-0004,B002,13,中级道,0.05,20.0,4.0,65.0,51.8,CRITICAL,中级-R1,0.68,否,0,raw_data#row_13
B003-0005,B003,14,中级道,0.04,22.0,-8.0,69.5,21.5,CRITICAL,中级-R1,0.7,否,0,raw_data#row_14
C001-0006,C001,17,高级道,0.015,30.0,-4.0,83.5,9.6,CRITICAL,高级-R1,0.93,是,5,raw_data#row_17
C001-0007,C001,19,高级道,0.015,30.0,-4.0,83.5,9.6,CRITICAL,高级-R1,0.93,是,5,raw_data#row_19
D001-0008,D001,23,专家道,0.018,40.0,-10.0,94.9,5.1,CRITICAL,专家-R1,0.88,否,0,raw_data#row_23
D002-0009,D002,24,专家道,0.022,42.0,-1.0,96.6,6.4,CRITICAL,专家-R1,0.87,是,4,raw_data#row_24
F001-0010,F001,40,休闲道,0.08,5.0,-7.0,10.3,64.0,LOW,休闲-R4,0.28,否,0,raw_data#row_40
F002-0011,F002,41,休闲道,0.09,7.0,-5.0,21.6,80.0,LOW,休闲-R4,0.27,否,0,raw_data#row_41
