时间,速度,电流,电压,区间,车站,列车号,坡度,坡度版本,运行方向,备注
2026-05-31 08:00:00,0,0,1500,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:05,10,120,1500,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:10,25,150,1490,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:15,40,180,1485,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:20,55,200,1480,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:25,65,150,1490,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:30,70,-80,1505,车站A-车站B,车站A,T01,0.5,V1,上行,开始制动
2026-05-31 08:00:35,60,-120,1510,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:40,45,-100,1508,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:45,30,-60,1505,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:50,15,-30,1502,车站A-车站B,车站A,T01,0.5,V1,上行,
2026-05-31 08:00:55,0,0,1500,车站A-车站B,车站B,T01,0.5,V1,上行,
,,,,,,,,,,
,,,,,,,,,,空行测试
2026-05-31 08:01:00,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
2026-05-31 08:01:05,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
2026-05-31 08:01:10,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
2026-05-31 08:01:15,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
2026-05-31 08:01:20,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
2026-05-31 08:01:25,0,0,1500,车站B-车站C,车站B,T01,-0.3,V1,上行,
,,,,,,,,,,
,,,,,,,,,,电流缺采区间开始
2026-05-31 08:02:00,45,0.3,1500,车站C-车站D,车站C,T01,0.8,V2,下行,电流异常低
2026-05-31 08:02:05,50,0.2,1500,车站C-车站D,车站C,T01,0.8,V2,下行,
2026-05-31 08:02:10,55,0.1,1500,车站C-车站D,车站C,T01,0.8,V2,下行,
2026-05-31 08:02:15,60,0.4,1500,车站C-车站D,车站C,T01,0.8,V2,下行,
2026-05-31 08:02:20,62,0.2,1500,车站C-车站D,车站C,T01,0.8,V2,下行,
2026-05-31 08:02:25,58,0.3,1500,车站C-车站D,车站C,T01,0.8,V2,下行,
,,,,,,,,,,电流缺采区间结束
2026-05-31 08:03:00,50,180,1480,车站D-车站E,车站D,T01,0.2,V1,下行,恢复正常
2026-05-31 08:03:05,60,160,1485,车站D-车站E,车站D,T01,0.2,V1,下行,
2026-05-31 08:03:10,70,120,1490,车站D-车站E,车站D,T01,0.2,V1,下行,
2026-05-31 08:03:15,75,-100,1510,车站D-车站E,车站D,T01,0.2,V1,下行,
2026-05-31 08:03:20,65,-130,1515,车站D-车站E,车站D,T01,0.2,V1,下行,
2026-05-31 08:03:25,50,-110,1512,车站D-车站E,车站D,T01,0.2,V1,下行,
2026-05-31 08:03:30,30,-70,1508,车站D-车站E,车站E,T01,0.2,V1,下行,
2026-05-31 08:03:35,10,-30,1503,车站D-车站E,车站E,T01,0.2,V1,下行,
2026-05-31 08:03:40,0,0,1500,车站D-车站E,车站E,T01,0.2,V1,下行,
,,,,,,,,,,
2026-05-31 08:04:00,0,0,1500,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:05,15,80,1495,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:10,30,120,1490,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:15,45,150,1485,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:20,55,130,1488,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:25,60,-90,1508,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:30,50,-120,1510,车站E-车站F,车站E,T01,-0.5,V1,下行,
2026-05-31 08:04:35,35,-100,1508,车站E-车站F,车站F,T01,-0.5,V1,下行,
2026-05-31 08:04:40,20,-60,1505,车站E-车站F,车站F,T01,-0.5,V1,下行,
2026-05-31 08:04:45,5,-20,1502,车站E-车站F,车站F,T01,-0.5,V1,下行,
2026-05-31 08:04:50,0,0,1500,车站E-车站F,车站F,T01,-0.5,V1,下行,
,,,,,,,,,,
,,,,,,,,,,坡度版本错误
2026-05-31 08:05:00,0,0,1500,车站F-车站G,车站F,T02,1.2,V3,上行,错误版本
2026-05-31 08:05:05,10,90,1495,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:10,25,130,1490,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:15,40,160,1485,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:20,50,180,1480,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:25,55,140,1485,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:30,45,-100,1508,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:35,30,-80,1505,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:40,15,-40,1502,车站F-车站G,车站F,T02,1.2,V3,上行,
2026-05-31 08:05:45,0,0,1500,车站F-车站G,车站G,T02,1.2,V3,上行,
,,,,,,,,,,
2026-05-31 08:06:00,0,0,1500,车站F-车站G,车站F,T02,1.2,V1,上行,正确版本
2026-05-31 08:06:05,12,95,1495,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:10,28,135,1490,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:15,42,165,1485,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:20,52,185,1480,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:25,57,145,1485,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:30,47,-105,1508,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:35,32,-85,1505,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:40,17,-45,1502,车站F-车站G,车站F,T02,1.2,V1,上行,
2026-05-31 08:06:45,2,-10,1501,车站F-车站G,车站G,T02,1.2,V1,上行,
2026-05-31 08:06:50,0,0,1500,车站F-车站G,车站G,T02,1.2,V1,上行,
,,,,,,,,,,
,,,,,,,,,,站间重复
2026-05-31 08:07:00,0,0,1500,车站G-车站H,车站G,T02,0.0,V1,上行,重复1
