电动车续航衰减诊断报告

诊断ID,DIAG_66F0B075253D
车辆VIN,LBV1Z3108KM000001
诊断时间,2026-05-31T11:16:39.538864
数据包ID,d6b6a5ab-7097-43d2-93c1-dc2e11c72a51
数据质量评分,1.00

=== 续航估算结果 ===
标称续航(km),605.0
实际估算续航(km),135.0
电池健康度(%),99.9
基础能耗(kWh/100km),50.0
调整后能耗(kWh/100km),63.22
置信度,1.0
估算方法,weighted_moving_average

=== 异常检测结果 ===
异常类型,严重程度,描述,影响续航(km),关联行程数
低温影响,中,"2024-03 期间共12次低温行驶, 平均温度-10.5°C, 其中7次极寒天气(< -10°C)",31.8,12

=== 改进建议 ===
1.,"[low_temperature] 低温天气建议提前预热电池, 可提升续航约5-10%"
2.,"[low_temperature] 建议使用车棚或地下车库停放, 减少低温对电池的影响"
3.,"低温是主要影响因素(贡献61.2%), 建议做好车辆保温, 出行前预热电池"
4.,"频繁快充是主要影响因素(贡献38.8%), 建议优先使用慢充"
5.,"实际续航(135km)较标称值(605km)低470km, 建议综合采取上述改善措施"
6.,定期进行电池校准（满充后慢充至涓流充电结束），可提升SOC估算准确性
7.,避免长期停放时电池电量低于20%或高于80%
