行程ID,开始时间,结束时间,起始SOC(%),结束SOC(%),行驶距离(km),平均速度(km/h),平均温度(°C),7天快充次数,来源文件,来源行号
TRIP001,2024-01-15T08:00:00,2024-01-15T09:30:00,95.0,62.0,45.2,30.1,-12.5,4,test_trip_data_low_temp.csv,2
TRIP002,2024-01-15T14:00:00,2024-01-15T15:15:00,60.0,28.0,38.5,28.4,-10.2,4,test_trip_data_low_temp.csv,3
TRIP003,2024-01-16T07:30:00,2024-01-16T09:00:00,90.0,55.0,42.8,29.2,-15.8,4,test_trip_data_low_temp.csv,4
TRIP004,2024-01-16T17:00:00,2024-01-16T18:20:00,52.0,18.0,35.6,26.7,-13.5,4,test_trip_data_low_temp.csv,5
TRIP005,2024-01-17T08:15:00,2024-01-17T09:45:00,92.0,58.0,48.3,32.2,-8.5,3,test_trip_data_low_temp.csv,6
TRIP006,2024-01-17T16:30:00,2024-01-17T17:45:00,55.0,25.0,40.2,26.8,-10.8,3,test_trip_data_low_temp.csv,7
TRIP007,2024-01-18T07:45:00,2024-01-18T09:10:00,93.0,60.0,46.5,31.0,-5.2,3,test_trip_data_low_temp.csv,8
TRIP008,2024-01-18T18:00:00,2024-01-18T19:20:00,57.0,22.0,37.8,25.2,-7.8,3,test_trip_data_low_temp.csv,9
TRIP009,2024-01-19T08:30:00,2024-01-19T09:50:00,91.0,56.0,43.5,29.0,-18.2,5,test_trip_data_low_temp.csv,10
TRIP010,2024-01-19T17:15:00,2024-01-19T18:35:00,53.0,15.0,39.2,26.1,-16.5,5,test_trip_data_low_temp.csv,11
TRIP011,2024-01-20T09:00:00,2024-01-20T10:30:00,94.0,62.0,47.2,31.5,-2.5,3,test_trip_data_low_temp.csv,12
TRIP012,2024-01-20T16:00:00,2024-01-20T17:15:00,58.0,28.0,36.8,24.5,-4.8,3,test_trip_data_low_temp.csv,13
