order_id,item_id,user_id,group_id,order_time,total_amount,status,product_id,product_name,product_category,quantity,unit_price,subsidy_applied,trace_link,refund_amount,refund_time,original_group_id,trace_id
order_001,item_001_01,user_001,group_001,2024-06-15T10:30:00,496.0,paid,prod_001,兰蔻小黑瓶精华,beauty,1,298.0,20.0,group_001|group_003|group_005,0.0,,,
order_001,item_001_02,user_001,group_001,2024-06-15T10:30:00,496.0,paid,prod_002,雅诗兰黛眼霜,beauty,1,198.0,15.0,group_001|group_003|group_005,0.0,,,
order_002,item_002_01,user_002,group_002,2024-06-10T14:20:00,456.0,paid,prod_003,帮宝适纸尿裤XL,baby,2,128.0,22.8,,0.0,,,
order_002,item_002_02,user_002,group_002,2024-06-10T14:20:00,456.0,paid,prod_004,贝亲宽口径奶瓶,baby,1,200.0,10.0,,0.0,,,
order_003,item_003_01,user_003,group_003,2024-06-08T09:15:00,1299.0,refunded,prod_005,戴森吹风机HD08,home,1,1299.0,65.0,,1299.0,2024-06-12T16:30:00,group_001,
order_004,item_004_01,user_004,group_004,2024-06-12T18:45:00,168.0,paid,prod_006,小龙虾3斤装,food,3,56.0,6.0,group_004|group_002,0.0,,,
order_005,item_005_01,user_005,group_005,2024-06-18T20:00:00,4798.0,paid,prod_007,iPhone 15 128G,digital,1,3299.0,98.97,,0.0,,,
order_005,item_005_02,user_005,group_005,2024-06-18T20:00:00,4798.0,paid,prod_008,AirPods Pro 2代,digital,1,1499.0,15.0,,0.0,,,
order_006,item_006_01,user_006,group_002,2024-06-05T11:30:00,320.0,partial_refund,prod_009,花王纸尿裤L,baby,3,80.0,12.0,group_002|group_001,160.0,2024-06-09T10:00:00,,
order_007,item_007_01,user_007,group_003,2024-06-20T15:00:00,799.0,paid,prod_010,飞利浦空气炸锅,home,1,799.0,15.0,,,0.0,,,
order_008,item_008_01,user_008,group_999,2024-06-22T12:00:00,256.0,paid,prod_011,SK-II神仙水,beauty,1,256.0,20.0,,0.0,,,
order_009,item_009_01,user_009,group_001,2024-06-25T09:30:00,588.0,paid,prod_012,海蓝之谜面霜,beauty,1,588.0,35.0,group_001|group_003,0.0,,,
order_010,item_010_01,user_010,group_002,2024-06-28T16:40:00,890.0,refunded,prod_013,婴儿安全座椅,baby,1,890.0,44.5,,890.0,2024-06-30T14:20:00,group_005,
