policy_id,insured_amount,policy_type,effective_date,expiry_date,region,industry,deductible,limit
POL0001,1500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0002,2000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0003,2500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0004,3000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0005,3500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0006,4000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0007,4500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0008,5000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0009,5500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0010,1000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0011,1500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0012,2000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0013,2500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0014,3000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0015,3500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0016,4000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0017,4500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0018,5000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0019,5500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0020,1000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0021,1500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0022,2000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0023,2500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0024,3000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0025,3500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0026,4000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0027,4500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0028,5000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0029,5500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0030,1000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0031,1500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0032,2000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0033,2500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0034,3000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0035,3500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0036,4000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0037,4500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0038,5000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0039,5500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0040,1000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0041,1500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0042,2000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0043,2500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0044,3000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0045,3500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,制造,10000,5000000
POL0046,4000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
POL0047,4500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0048,5000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,北京,金融,5000,5000000
POL0049,5500000,企财险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,制造,10000,5000000
POL0050,1000000,车险,2026-01-01T00:00:00,2027-01-01T00:00:00,上海,金融,5000,5000000
