price,converted,customer_size
249,0,23
99,1,5
149,0,29
249,0,36
79,0,35
299,0,59
149,0,46
149,0,31
249,0,18
49,0,3
79,0,30
249,0,24
79,1,26
79,0,5
299,0,6
149,0,57
99,0,19
299,0,39
299,0,20
79,0,20
199,0,51
149,0,11
49,0,22
299,1,12
99,0,13
199,0,14
199,0,25
49,0,12
299,0,70
99,0,8
149,0,16
29,0,12
99,0,85
49,1,24
199,0,56
149,0,4
99,0,26
29,0,48
29,0,21
79,1,58
79,0,11
249,1,82
49,1,200
299,0,13
99,0,12
99,1,85
299,0,97
249,0,11
199,0,13
199,0,15
249,0,5
199,0,8
79,1,7
99,0,9
249,0,19
99,0,25
299,0,94
29,0,7
79,1,53
149,1,16
79,0,19
249,0,39
149,0,6
29,0,29
249,0,23
49,1,32
99,1,26
29,0,233
99,0,10
199,0,11
49,0,10
49,0,11
29,0,10
49,1,65
149,0,83
49,0,11
99,0,8
99,0,32
249,0,11
99,1,37
249,0,24
99,1,4
149,0,94
299,0,121
249,0,10
79,1,13
199,0,26
29,0,28
99,0,38
49,1,149
299,0,16
99,1,9
49,0,5
199,0,9
199,0,19
199,0,120
49,0,11
99,0,25
199,0,19
149,0,65
249,0,251
49,1,11
49,0,12
99,0,57
49,0,39
49,0,127
199,0,36
99,0,14
199,0,36
249,1,60
299,0,45
249,0,33
299,0,58
199,0,64
249,0,80
99,1,38
29,0,16
199,0,23
299,0,67
149,0,8
299,0,29
149,0,13
49,0,20
249,0,72
149,0,24
299,1,21
49,0,5
29,1,42
99,1,38
99,0,174
99,0,14
149,0,25
29,1,25
149,0,97
249,0,18
149,1,26
29,1,36
29,0,24
249,0,12
29,0,24
299,0,58
29,0,7
99,0,22
299,0,9
299,1,66
249,0,4
79,0,11
79,1,29
29,1,96
299,0,18
79,0,11
79,0,131
29,0,4
79,0,2
149,0,31
49,0,12
249,0,7
49,1,40
29,0,25
99,0,11
249,0,5
29,0,48
299,0,38
99,0,18
49,1,127
29,0,6
299,0,4
249,0,10
249,0,19
