ticket_id,customer_id,customer_level,skill_group,create_time,assigned_time,resolve_time,status
T001,C001,VIP,售前咨询,2025-06-01T09:00:00,2025-06-01T09:02:00,2025-06-01T09:15:00,已完成
T002,C002,普通,售前咨询,2025-06-01T08:55:00,2025-06-01T09:45:00,2025-06-01T10:00:00,已完成
T003,C003,VIP,售前咨询,2025-06-01T09:05:00,2025-06-01T09:07:00,2025-06-01T09:20:00,已完成
T004,C004,普通,售前咨询,2025-06-01T08:50:00,2025-06-01T09:50:00,2025-06-01T10:05:00,已完成
T005,C005,普通,技术支持,2025-06-01T08:30:00,2025-06-01T10:00:00,2025-06-01T10:30:00,已完成
T006,C006,普通,技术支持,2025-06-01T08:35:00,2025-06-01T10:10:00,2025-06-01T10:40:00,已完成
T007,C007,普通,技术支持,2025-06-01T08:40:00,2025-06-01T10:20:00,2025-06-01T10:50:00,已完成
T008,C008,普通,技术支持,2025-06-01T08:45:00,2025-06-01T10:30:00,2025-06-01T11:00:00,已完成
T009,C009,普通,技术支持,2025-06-01T09:00:00,2025-06-01T09:20:00,2025-06-01T09:50:00,已完成
T010,C010,普通,技术支持,2025-06-01T09:05:00,2025-06-01T09:25:00,2025-06-01T09:55:00,已完成
T011,C011,VIP,售后退款,2025-06-01T08:00:00,2025-06-01T08:05:00,2025-06-01T08:30:00,已完成
T012,C012,普通,售后退款,2025-06-01T08:10:00,2025-06-01T09:00:00,2025-06-01T09:20:00,已完成
T013,C013,普通,售后退款,2025-06-01T08:15:00,2025-06-01T09:10:00,,处理中
T014,C014,SVIP,售前咨询,2025-06-01T09:10:00,2025-06-01T09:11:00,2025-06-01T09:25:00,已完成
T015,C015,普通,技术支持,2025-06-01T09:15:00,,2025-06-01T12:00:00,待处理
T016,C016,普通,技术支持,2025-06-01T09:20:00,,2025-06-01T12:10:00,待处理
T017,C017,普通,技术支持,2025-06-01T09:25:00,,2025-06-01T12:20:00,待处理
T018,C018,普通,技术支持,2025-06-01T09:30:00,,2025-06-01T12:30:00,排队中
T019,C019,普通,技术支持,2025-06-01T09:35:00,,2025-06-01T12:40:00,排队中
T020,C020,普通,技术支持,2025-06-01T09:40:00,,2025-06-01T12:50:00,排队中
T021,C021,普通,投诉处理,2025-06-01T07:00:00,2025-06-01T08:30:00,,处理中
T022,C022,普通,投诉处理,2025-06-01T08:00:00,2025-06-01T09:40:00,,处理中
T023,C023,普通,投诉处理,2025-06-01T08:30:00,2025-06-01T11:00:00,2025-06-01T11:30:00,已完成
