时间_s,温度_C,材料编号,厚度_m,边界温度_C,批次
0,25.0,Cu-001,0.01,100,Batch-001
1,32.5,Cu-001,0.01,100,Batch-001
2,39.2,Cu-001,0.01,100,Batch-001
3,45.1,Cu-001,0.01,100,Batch-001
4,50.3,Cu-001,0.01,100,Batch-001
5,54.8,Cu-001,0.01,100,Batch-001
6,58.7,Cu-001,0.01,100,Batch-001
7,62.1,Cu-001,0.01,100,Batch-001
8,65.0,Cu-001,0.01,100,Batch-001
9,67.5,Cu-001,0.01,100,Batch-001
10,69.7,Cu-001,0.01,100,Batch-001
0,25.0,Cu-001,0.01,100,Batch-002
1,31.8,Cu-001,0.01,100,Batch-002
2,38.1,Cu-001,0.01,100,Batch-002
3,43.7,Cu-001,0.01,100,Batch-002
4,48.5,Cu-001,0.01,100,Batch-002
5,52.6,Cu-001,0.01,100,Batch-002
6,56.1,Cu-001,0.01,100,Batch-002
7,59.1,Cu-001,0.01,100,Batch-002
8,61.7,Cu-001,0.01,100,Batch-002
9,63.9,Cu-001,0.01,100,Batch-002
10,65.8,Cu-001,0.01,100,Batch-002
