t,x,y,vx,vy
0.00,0.000,0.000,35.355,35.355
0.20,7.071,7.071,34.422,32.404
0.40,13.955,13.552,33.566,29.587
0.60,20.669,19.469,32.780,26.888
0.80,27.225,24.847,32.056,24.293
1.00,33.636,29.705,31.387,21.791
1.20,39.913,34.063,30.768,19.370
1.40,46.067,37.937,30.193,17.021
1.60,52.105,41.342,29.659,14.736
1.80,58.037,44.289,29.160,12.508
2.00,63.869,46.790,28.692,10.331
2.20,69.608,48.857,28.252,8.199
2.40,75.258,50.496,27.837,6.107
2.60,80.825,51.718,27.442,4.051
2.80,86.314,52.528,27.064,2.029
3.00,91.727,52.934,26.702,0.038
