时间(s),x观测(m),x模拟(m),x误差(m),y观测(m),y模拟(m),y误差(m),位置误差(m),θ观测(deg),θ模拟(deg),θ误差(deg),来源
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,轨迹文件: trajectory_normal.csv
0.2,7.071,7.071,0.0,7.071,7.071,0.0,0.0,43.270317594431596,43.27077437216126,-0.0004567777296671238,轨迹文件: trajectory_normal.csv
0.4,13.955,13.955303452620058,-0.0003034526200575982,13.552,13.551812634141386,0.00018736585861311994,0.00035663630997649794,41.39480387264908,41.39522975353142,-0.00042588088233941335,轨迹文件: trajectory_normal.csv
0.6,20.669,20.668460783924097,0.0005392160759036813,19.469,19.469263693070765,-0.000263693070763793,0.0006002399620833349,39.360530680172516,39.36163960933622,-0.001108929163706307,轨迹文件: trajectory_normal.csv
0.8,27.225,27.22434094620833,0.0006590537916721928,24.847,24.84697765553747,2.2344462532686293e-05,0.0006594324645658331,37.15594253183301,37.15805633446855,-0.002113802635534512,轨迹文件: trajectory_normal.csv
1.0,33.636,33.63534319364193,0.0006568063580729699,29.705,29.705800157938018,-0.0008001579380199075,0.0010352039981478764,34.77102309478596,34.77270319853354,-0.0016801037475815406,轨迹文件: trajectory_normal.csv
1.2,39.913,39.912570475053016,0.000429524946980564,34.063,34.06415304269056,-0.0011530426905608238,0.0012304467182021332,32.19247407549994,32.1945293297789,-0.002055254278964469,轨迹文件: trajectory_normal.csv
1.4,46.067,46.06597146270478,0.001028537295219678,37.937,37.93833597178578,-0.0013359717857852615,0.0016860336829589355,29.41169256901645,29.4139566995985,-0.002264130582052104,轨迹文件: trajectory_normal.csv
1.6,52.105,52.10445672823925,0.0005432717607476434,41.342,41.34278575248128,-0.0007857524812777683,0.0009552754408336971,26.420369080289618,26.423835296814048,-0.0034662165244299104,轨迹文件: trajectory_normal.csv
1.8,58.037,58.035993487654906,0.0010065123450928581,44.289,44.29030239724462,-0.001302397244622,0.0016459968662252376,23.216610738025437,23.220596100005956,-0.003985361980518576,轨迹文件: trajectory_normal.csv
2.0,63.869,63.86768257523209,0.0013174247679117457,46.79,46.79224932104469,-0.002249321044693886,0.0026067322803099884,19.802199779708225,19.80554739630596,-0.0033476165977361916,轨迹文件: trajectory_normal.csv
2.2,69.608,69.60582080804522,0.0021791919547808902,48.857,48.8587338032331,-0.0017338032331011277,0.0027847713060310145,16.183232937491045,16.186198623473206,-0.0029656859821614034,轨迹文件: trajectory_normal.csv
2.4,75.258,75.25595161786117,0.0020483821388239676,50.496,50.49877277390661,-0.0027727739066065737,0.00344733875965379,12.3737642650768,12.377425351845341,-0.0036610867685418214,轨迹文件: trajectory_normal.csv
2.6,80.825,80.82290670598663,0.0020932940133775446,51.718,51.72044801034983,-0.0024480103498234485,0.003220967944467158,8.39738042891484,8.402228873563951,-0.004848444649111272,轨迹文件: trajectory_normal.csv
2.8,86.314,86.3108414577215,0.003158542278498544,52.528,52.53105385245271,-0.0030538524527088384,0.004393450139466541,4.287469160356799,4.29182443160005,-0.004355271243251302,轨迹文件: trajectory_normal.csv
3.0,91.727,91.72326685609468,0.0037331439053218674,52.934,52.93723950231749,-0.0032395023174913717,0.004942746067003015,0.08153839231808302,0.08484512803893476,-0.0033067357208517445,轨迹文件: trajectory_normal.csv
