时间(s),轨迹x(m),轨迹y(m),速度vx(m/s),速度vy(m/s),角度(deg),风速(m/s),风向(deg),关联材料
0.0,0.0,0.0,35.355,35.355,45.0,2.0,-2.1,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
0.2,7.071,7.071,34.422,32.404,43.27,2.21,-0.2,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
0.4,13.955,13.552,33.566,29.587,41.39,2.02,-4.2,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
0.6,20.669,19.469,32.78,26.888,39.36,1.56,-2.3,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
0.8,27.225,24.847,32.056,24.293,37.16,2.23,0.9,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
1.0,33.636,29.705,31.387,21.791,34.77,1.62,4.4,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
1.2,39.913,34.063,30.768,19.37,32.19,1.85,2.7,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
1.4,46.067,37.937,30.193,17.021,29.41,1.91,2.3,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
1.6,52.105,41.342,29.659,14.736,26.42,2.09,-2.8,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
1.8,58.037,44.289,29.16,12.508,23.22,1.83,-1.0,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
2.0,63.869,46.79,28.692,10.331,19.8,2.08,-0.1,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
2.2,69.608,48.857,28.252,8.199,16.18,2.11,4.2,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
2.4,75.258,50.496,27.837,6.107,12.37,2.06,2.5,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
2.6,80.825,51.718,27.442,4.051,8.4,1.96,0.5,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
2.8,86.314,52.528,27.064,2.029,4.29,2.03,-0.5,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
3.0,91.727,52.934,26.702,0.038,0.08,2.17,-4.0,"轨迹文件: trajectory_normal.csv, 角度文件: angle_normal.csv, 风速文件: wind_normal.csv"
