x (m),V (kN),M (kN·m),δ (m)
0.000000,38.000000,0.000000,0.00000000
0.100000,37.500000,3.775000,-0.00149662
0.200000,37.000000,7.500000,-0.00298554
0.300000,36.500000,11.175000,-0.00445912
0.400000,36.000000,14.800000,-0.00590984
0.500000,35.500000,18.375000,-0.00733026
0.600000,35.000000,21.900000,-0.00871308
0.700000,34.500000,25.375000,-0.01005107
0.800000,34.000000,28.800000,-0.01133710
0.900000,33.500000,32.175000,-0.01256417
1.000000,33.000000,35.500000,-0.01372537
1.100000,32.500000,38.775000,-0.01481388
1.200000,32.000000,42.000000,-0.01582299
1.300000,31.500000,45.175000,-0.01674610
1.400000,31.000000,48.300000,-0.01757671
1.500000,30.500000,51.375000,-0.01830841
1.600000,30.000000,54.400000,-0.01893491
1.700000,29.500000,57.375000,-0.01945000
1.800000,29.000000,60.300000,-0.01984761
1.900000,28.500000,63.175000,-0.02012173
2.000000,28.000000,66.000000,-0.02026648
2.100000,27.500000,68.775000,-0.02027607
2.200000,27.000000,71.500000,-0.02014481
2.300000,26.500000,74.175000,-0.01986713
2.400000,26.000000,76.800000,-0.01943755
2.500000,25.500000,79.375000,-0.01885068
2.600000,25.000000,81.900000,-0.01810127
2.700000,24.500000,84.375000,-0.01718412
2.800000,24.000000,86.800000,-0.01609418
2.900000,23.500000,89.175000,-0.01482647
3.000000,13.000000,91.500000,-0.01337614
3.100000,12.500000,92.775000,-0.01173893
3.200000,12.000000,94.000000,-0.00991172
3.300000,11.500000,95.175000,-0.00789200
3.400000,11.000000,96.300000,-0.00567736
3.500000,10.500000,97.375000,-0.00326550
3.600000,10.000000,98.400000,-0.00065421
3.700000,9.500000,99.375000,0.00215859
3.800000,9.000000,100.300000,0.00517492
3.900000,8.500000,101.175000,0.00839666
4.000000,8.000000,102.000000,0.01182561
4.100000,7.500000,102.775000,0.01546346
4.200000,7.000000,103.500000,0.01931179
4.300000,6.500000,104.175000,0.02337208
4.400000,6.000000,104.800000,0.02764573
4.500000,5.500000,105.375000,0.03213401
4.600000,5.000000,105.900000,0.03683811
4.700000,4.500000,106.375000,0.04175908
4.800000,4.000000,106.800000,0.04689791
4.900000,3.500000,107.175000,0.05225548
5.000000,3.000000,107.500000,0.05783253
5.100000,2.500000,107.775000,0.06362975
5.200000,2.000000,108.000000,0.06964770
5.300000,1.500000,108.175000,0.07588683
5.400000,1.000000,108.300000,0.08234751
5.500000,0.500000,108.375000,0.08902998
5.600000,-0.000000,108.400000,0.09593441
5.700000,-0.500000,108.375000,0.10306085
5.800000,-1.000000,108.300000,0.11040924
5.900000,-1.500000,108.175000,0.11797943
6.000000,-2.000000,108.000000,0.12577117
6.100000,-2.500000,107.775000,0.13378409
6.200000,-3.000000,107.500000,0.14201774
6.300000,-3.500000,107.175000,0.15047155
6.400000,-4.000000,106.800000,0.15914485
6.500000,-4.500000,106.375000,0.16803689
6.600000,-5.000000,105.900000,0.17714678
6.700000,-5.500000,105.375000,0.18647355
6.800000,-6.000000,104.800000,0.19601614
6.900000,-6.500000,104.175000,0.20577336
7.000000,-27.000000,103.500000,0.21574393
7.100000,-27.500000,100.775000,0.22592544
7.200000,-28.000000,98.000000,0.23631334
7.300000,-28.500000,95.175000,0.24690195
7.400000,-29.000000,92.300000,0.25768547
7.500000,-29.500000,89.375000,0.26865802
7.600000,-30.000000,86.400000,0.27981361
7.700000,-30.500000,83.375000,0.29114614
7.800000,-31.000000,80.300000,0.30264942
7.900000,-31.500000,77.175000,0.31431715
8.000000,-32.000000,74.000000,0.32614293
8.100000,-32.500000,70.775000,0.33812025
8.200000,-33.000000,67.500000,0.35024251
8.300000,-33.500000,64.175000,0.36250301
8.400000,-34.000000,60.800000,0.37489492
8.500000,-34.500000,57.375000,0.38741135
8.600000,-35.000000,53.900000,0.40004527
8.700000,-35.500000,50.375000,0.41278956
8.800000,-36.000000,46.800000,0.42563701
8.900000,-36.500000,43.175000,0.43858029
9.000000,-37.000000,39.500000,0.45161198
9.100000,-37.500000,35.775000,0.46472455
9.200000,-38.000000,32.000000,0.47791037
9.300000,-38.500000,28.175000,0.49116171
9.400000,-39.000000,24.300000,0.50447073
9.500000,-39.500000,20.375000,0.51782950
9.600000,-40.000000,16.400000,0.53122998
9.700000,-40.500000,12.375000,0.54466402
9.800000,-41.000000,8.300000,0.55812339
9.900000,-41.500000,4.175000,0.57159973
10.000000,-42.000000,0.000000,0.58508459
