行号,日期,包厢ID,歌曲ID,歌曲名,版权方,时长(秒),版本标签,版本校验,是否重复,是否退款冲销,核验状态
2,2026-05-01,A01,S001,月亮代表我的心,华纳音乐,240,v2.1,通过,否,否,有效
3,2026-05-01,A01,S002,海阔天空,英皇娱乐,310,v1.0,不通过,否,否,版本异常
4,2026-05-01,A02,S001,月亮代表我的心,华纳音乐,240,v2.1,通过,否,否,有效
5,2026-05-01,A02,S003,小幸运,相信音乐,280,v3.0,通过,否,否,有效
6,2026-05-02,A01,S002,海阔天空,英皇娱乐,310,v1.0,不通过,否,是,版本异常
7,2026-05-02,A01,S004,光年之外,华纳音乐,260,v1.2,通过,否,否,有效
8,2026-05-02,A01,S002,海阔天空,英皇娱乐,310,v1.0,不通过,是,是,版本异常
9,2026-05-02,A03,S005,起风了,索尼音乐,290,v2.0,通过,否,否,有效
10,2026-05-03,A02,S003,小幸运,相信音乐,280,v3.0,通过,否,是,已退款冲销
11,2026-05-03,A03,S001,月亮代表我的心,华纳音乐,240,v1.0,不通过,否,否,版本异常
12,2026-05-03,A03,S006,稻香,杰威尔音乐,250,v1.0,不通过,否,否,版本异常
