客户,日期,机柜ID,电表读数(kWh),PUE系数,分摊后电量(kWh),峰时电费(元),谷时电费(元),总电费(元),抄表记录ID,PUE记录ID
客户A,2026-05-01,R001,24,1.35,32.4,21.06,9.72,30.78,89b4dd7a,a3fd04f0
客户A,2026-05-01,R002,20,1.35,27.0,17.55,8.1,25.65,16ad4098,a3fd04f0
客户C,2026-05-01,R004,18,1.35,24.3,15.79,7.29,23.08,397356a0,a3fd04f0
客户A,2026-05-02,R001,24,1.35,32.4,21.06,9.72,30.78,650d18af,a3fd04f0
客户A,2026-05-02,R002,20,1.35,27.0,17.55,8.1,25.65,729a213a,a3fd04f0
客户C,2026-05-02,R004,18,1.35,24.3,15.79,7.29,23.08,b7a7c3ef,a3fd04f0
客户A,2026-05-03,R001,24,1.35,32.4,21.06,9.72,30.78,46dcc90a,a3fd04f0
客户A,2026-05-03,R002,20,1.35,27.0,17.55,8.1,25.65,aad294ad,a3fd04f0
客户C,2026-05-03,R004,18,1.35,24.3,15.79,7.29,23.08,d7c87e6a,a3fd04f0
客户A,2026-05-04,R001,24,1.35,32.4,21.06,9.72,30.78,63962c43,a3fd04f0
客户A,2026-05-04,R002,20,1.35,27.0,17.55,8.1,25.65,72aa7acf,a3fd04f0
客户C,2026-05-04,R004,18,1.35,24.3,15.79,7.29,23.08,49e364ee,a3fd04f0
客户A,2026-05-05,R001,24,1.35,32.4,21.06,9.72,30.78,597d89d2,a3fd04f0
客户A,2026-05-05,R002,20,1.35,27.0,17.55,8.1,25.65,64d622d2,a3fd04f0
客户C,2026-05-05,R004,18,1.35,24.3,15.79,7.29,23.08,eabf7579,a3fd04f0
客户A,2026-05-06,R001,24,1.35,32.4,21.06,9.72,30.78,2384b384,a3fd04f0
客户A,2026-05-06,R002,20,1.35,27.0,17.55,8.1,25.65,5566e709,a3fd04f0
客户C,2026-05-06,R004,18,1.35,24.3,15.79,7.29,23.08,a5766c2d,a3fd04f0
客户A,2026-05-07,R001,24,1.35,32.4,21.06,9.72,30.78,e405b587,a3fd04f0
客户A,2026-05-07,R002,20,1.35,27.0,17.55,8.1,25.65,a55901de,a3fd04f0
客户C,2026-05-07,R004,18,1.35,24.3,15.79,7.29,23.08,1370d86f,a3fd04f0
客户A,2026-05-08,R001,24,1.35,32.4,21.06,9.72,30.78,ec464ec8,a3fd04f0
客户A,2026-05-08,R002,20,1.35,27.0,17.55,8.1,25.65,19581365,a3fd04f0
客户C,2026-05-08,R004,18,1.35,24.3,15.79,7.29,23.08,7a0cc28d,a3fd04f0
客户A,2026-05-09,R001,24,1.35,32.4,21.06,9.72,30.78,c11c631e,a3fd04f0
客户A,2026-05-09,R002,20,1.35,27.0,17.55,8.1,25.65,3b30a0f7,a3fd04f0
客户C,2026-05-09,R004,18,1.35,24.3,15.79,7.29,23.08,f68127cb,a3fd04f0
客户A,2026-05-10,R001,24,1.35,32.4,21.06,9.72,30.78,5ab0e026,a3fd04f0
客户A,2026-05-10,R002,20,1.35,27.0,17.55,8.1,25.65,864ab1cf,a3fd04f0
客户A,2026-05-11,R001,24,1.35,32.4,21.06,9.72,30.78,26a6c5c6,a3fd04f0
客户A,2026-05-11,R002,20,1.35,27.0,17.55,8.1,25.65,fe59edf0,a3fd04f0
客户A,2026-05-12,R001,24,1.35,32.4,21.06,9.72,30.78,05904f2e,a3fd04f0
客户A,2026-05-12,R002,20,1.35,27.0,17.55,8.1,25.65,fbd7f259,a3fd04f0
客户C,2026-05-12,R004,18,1.35,24.3,15.79,7.29,23.08,b466c990,a3fd04f0
客户A,2026-05-13,R001,24,1.35,32.4,21.06,9.72,30.78,7bf82e41,a3fd04f0
客户A,2026-05-13,R002,20,1.35,27.0,17.55,8.1,25.65,3998e172,a3fd04f0
