合约编号,账户编号,账户名称,证券代码,证券名称,借券数量,出借日期,到期日期,实际归还日期,备注
C001,A001,华泰证券自营,600000,浦发银行,1000000,2026-05-20,2026-05-30,,
C002,A002,中信证券资管,601318,中国平安,500000,2026-05-15,2026-05-25,2026-05-28,客户延期3天归还
C003,A003,国泰君安量化,000001,平安银行,800000,2026-05-01,2026-05-28,,展期申请已提交
C004,A004,广发证券自营,600519,贵州茅台,100000,2026-05-10,2026-06-10,,
C005,A005,招商证券资管,000858,五粮液,200000,2026-04-01,2026-05-01,2026-05-03,
C006,A001,华泰自营,601398,工商银行,1500000,2026-05-25,2026-06-25,,账户更名测试
C007,A006,海通证券,600036,招商银行,600000,2026-05-05,2026-05-15,2026-05-16,逾期1天
C008,A007,申万宏源,000333,美的集团,300000,2026-05-18,2026-05-28,,
C009,A002,中信证券资管,601318,中国平安,250000,2026-05-20,2026-06-20,,
C010,A008,兴业证券,600276,恒瑞医药,400000,2026-05-22,2026-06-22,,
