tokenSymbol,timestamp,priceUSD,source
EDGE,2024-01-01T08:00:00+08:00,2.0000,coingecko
EDGE,2024-01-02T08:00:00+08:00,2.0993,coingecko
EDGE,2024-01-03T08:00:00+08:00,2.1947,coingecko
EDGE,2024-01-04T08:00:00+08:00,2.2823,coingecko
EDGE,2024-01-05T08:00:00+08:00,2.3587,coingecko
EDGE,2024-01-06T08:00:00+08:00,2.4207,coingecko
EDGE,2024-01-07T08:00:00+08:00,2.4660,coingecko
EDGE,2024-01-08T08:00:00+08:00,2.4927,coingecko
EDGE,2024-01-09T08:00:00+08:00,2.4998,coingecko
EDGE,2024-01-10T08:00:00+08:00,2.4869,coingecko
EDGE,2024-01-11T08:00:00+08:00,2.4546,coingecko
EDGE,2024-01-12T08:00:00+08:00,2.4042,coingecko
EDGE,2024-01-13T08:00:00+08:00,2.3377,coingecko
EDGE,2024-01-14T08:00:00+08:00,2.2578,coingecko
EDGE,2024-01-15T08:00:00+08:00,2.1675,coingecko
EDGE,2024-01-19T08:00:00+08:00,1.8564,coingecko
EDGE,2024-01-20T08:00:00+08:00,1.7900,coingecko
EDGE,2024-01-21T08:00:00+08:00,1.7238,coingecko
EDGE,2024-01-22T08:00:00+08:00,1.6597,coingecko
EDGE,2024-01-23T08:00:00+08:00,1.5995,coingecko
EDGE,2024-01-24T08:00:00+08:00,1.5448,coingecko
EDGE,2024-01-25T08:00:00+08:00,1.4973,coingecko
EDGE,2024-01-26T08:00:00+08:00,1.4581,coingecko
EDGE,2024-01-27T08:00:00+08:00,1.4284,coingecko
EDGE,2024-01-28T08:00:00+08:00,1.4090,coingecko
EDGE,2024-01-29T08:00:00+08:00,1.4004,coingecko
EDGE,2024-01-30T08:00:00+08:00,1.4029,coingecko
EDGE,2024-01-31T08:00:00+08:00,1.4164,coingecko
EDGE,2024-02-01T08:00:00+08:00,1.4406,coingecko
EDGE,2024-02-02T08:00:00+08:00,1.4747,coingecko
EDGE,2024-02-03T08:00:00+08:00,1.5178,coingecko
EDGE,2024-02-04T08:00:00+08:00,1.5687,coingecko
EDGE,2024-02-05T08:00:00+08:00,1.6261,coingecko
EDGE,2024-02-06T08:00:00+08:00,1.6882,coingecko
EDGE,2024-02-07T08:00:00+08:00,1.7535,coingecko
EDGE,2024-02-08T08:00:00+08:00,1.8201,coingecko
EDGE,2024-02-09T08:00:00+08:00,1.8860,coingecko
EDGE,2024-02-10T08:00:00+08:00,1.9497,coingecko
EDGE,2024-02-11T08:00:00+08:00,2.0091,coingecko
EDGE,2024-02-12T08:00:00+08:00,2.0628,coingecko
EDGE,2024-02-13T08:00:00+08:00,2.1092,coingecko
EDGE,2024-02-14T08:00:00+08:00,2.1470,coingecko
EDGE,2024-02-15T08:00:00+08:00,2.1752,coingecko
EDGE,2024-02-16T08:00:00+08:00,2.1930,coingecko
EDGE,2024-02-17T08:00:00+08:00,2.1999,coingecko
EDGE,2024-02-18T08:00:00+08:00,2.1957,coingecko
EDGE,2024-02-19T08:00:00+08:00,2.1806,coingecko
EDGE,2024-02-20T08:00:00+08:00,2.1549,coingecko
EDGE,2024-02-21T08:00:00+08:00,2.1194,coingecko
EDGE,2024-02-22T08:00:00+08:00,2.0750,coingecko
EDGE,2024-02-23T08:00:00+08:00,2.0230,coingecko
EDGE,2024-02-24T08:00:00+08:00,1.9648,coingecko
EDGE,2024-02-25T08:00:00+08:00,1.9021,coingecko
EDGE,2024-02-26T08:00:00+08:00,1.8365,coingecko
